OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,text,cluster_id,n_members
fecundity rate,mean number of eggs individual-1 day-1,eggs individual-1 day-1,Trait: fecundity rate. Definition: mean number of eggs individual-1 day-1. Unit: eggs individual-1 day-1.,4,68
fecundity rate,mean number of offspring per reproductive cycle,offspring individual-1 cycle-1,Trait: fecundity rate. Definition: mean number of offspring per reproductive cycle. Unit: offspring individual-1 cycle-1.,4,68
fecundity,mean lifetime eggs,eggs individual-1,Trait: fecundity. Definition: mean lifetime eggs. Unit: eggs individual-1.,4,68
fecundity,individual-level mean eggs per gonotrophic cycle,eggs cycle-1,Trait: fecundity. Definition: individual-level mean eggs per gonotrophic cycle. Unit: eggs cycle-1.,4,68
fecundity,individual-level lifetime eggs,eggs individual-1,Trait: fecundity. Definition: individual-level lifetime eggs. Unit: eggs individual-1.,4,68
fecundity,mean lifetime eggs laid per female,eggs individual-1,Trait: fecundity. Definition: mean lifetime eggs laid per female. Unit: eggs individual-1.,4,68
fecundity,mean lifetime eggs produced by an individual female,eggs individual-1,Trait: fecundity. Definition: mean lifetime eggs produced by an individual female. Unit: eggs individual-1.,4,68
fecundity rate,mean weight of egg mass per day,mg eggs day-1,Trait: fecundity rate. Definition: mean weight of egg mass per day. Unit: mg eggs day-1.,4,68
fecundity,individual-level weight of lifetime eggs per individual,mg eggs individual-1,Trait: fecundity. Definition: individual-level weight of lifetime eggs per individual. Unit: mg eggs individual-1.,4,68
fecundity,total number of eggs produced,eggs individual-1,Trait: fecundity. Definition: total number of eggs produced. Unit: eggs individual-1.,4,68
fecundity,mean number of lifetime eggs by a tick,eggs individual-1,Trait: fecundity. Definition: mean number of lifetime eggs by a tick. Unit: eggs individual-1.,4,68
fecundity rate,mean eggs produced by an individual female per day,eggs individual-1 day-1,Trait: fecundity rate. Definition: mean eggs produced by an individual female per day. Unit: eggs individual-1 day-1.,4,68
fecundity rate,peak number of eggs per day per individual,eggs individual-1 day-1,Trait: fecundity rate. Definition: peak number of eggs per day per individual. Unit: eggs individual-1 day-1.,4,68
fertility,mean number of hatched eggs in an individuals lifetime,eggs individual-1,Trait: fertility. Definition: mean number of hatched eggs in an individuals lifetime. Unit: eggs individual-1.,4,68
fecundity,mean eggs individual-1,eggs,Trait: fecundity. Definition: mean eggs individual-1. Unit: eggs.,4,68
fecundity,mean lifetime total number of nymphs,progeny individual-1,Trait: fecundity. Definition: mean lifetime total number of nymphs. Unit: progeny individual-1.,4,68
fecundity,mean liftetime eggs,eggs individual-1,Trait: fecundity. Definition: mean liftetime eggs. Unit: eggs individual-1.,4,68
fecundity,mean lifetime progeny,progeny individual-1,Trait: fecundity. Definition: mean lifetime progeny. Unit: progeny individual-1.,4,68
fecundity rate,mean progeny per unit time,progeny individual-1 day-1,Trait: fecundity rate. Definition: mean progeny per unit time. Unit: progeny individual-1 day-1.,4,68
fecundity rate,mean maximum progeny per unit time,progeny individual-1 day-1,Trait: fecundity rate. Definition: mean maximum progeny per unit time. Unit: progeny individual-1 day-1.,4,68
fecundity rate,maximum number of offspring per female per day,nymphs individual-1 day-1,Trait: fecundity rate. Definition: maximum number of offspring per female per day. Unit: nymphs individual-1 day-1.,4,68
fecundity rate,mean number of nymphs per day per female,progeny individual-1 day-1,Trait: fecundity rate. Definition: mean number of nymphs per day per female. Unit: progeny individual-1 day-1.,4,68
fecundity,mean duration of life stage,progeny individual-1,Trait: fecundity. Definition: mean duration of life stage. Unit: progeny individual-1.,4,68
fecundity rate,maximum progeny per unit time,progeny individual-1 day-1,Trait: fecundity rate. Definition: maximum progeny per unit time. Unit: progeny individual-1 day-1.,4,68
effective fecundity,mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time,nymphs unit time-1,Trait: effective fecundity. Definition: mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time. Unit: nymphs unit time-1.,4,68
maximum fecundity,mean duration from onset of reproduction to maximum reproductive output,days,Trait: maximum fecundity. Definition: mean duration from onset of reproduction to maximum reproductive output. Unit: days.,4,68
fecundity rate,mean duration of life stage,progeny individual-1 day-1,Trait: fecundity rate. Definition: mean duration of life stage. Unit: progeny individual-1 day-1.,4,68
fecundity (alate),mean lifetime offspring,days,Trait: fecundity (alate). Definition: mean lifetime offspring. Unit: days.,4,68
fecundity (apterous),mean lifetime offspring,days,Trait: fecundity (apterous). Definition: mean lifetime offspring. Unit: days.,4,68
fecundity,mean population-level offspring (100 individuals),days,Trait: fecundity. Definition: mean population-level offspring (100 individuals). Unit: days.,4,68
fecundity,total population-level number of offspring produced,offspring,Trait: fecundity. Definition: total population-level number of offspring produced. Unit: offspring.,4,68
fecundity rate,mean offspring per reproduction day,offspring individual-1 day-1,Trait: fecundity rate. Definition: mean offspring per reproduction day. Unit: offspring individual-1 day-1.,4,68
fecundity,mean lifetime progeny per female,progeny individual-1,Trait: fecundity. Definition: mean lifetime progeny per female. Unit: progeny individual-1.,4,68
fecundity rate (apterous),mean offspring per unit time,offspring individual-1 day-1,Trait: fecundity rate (apterous). Definition: mean offspring per unit time. Unit: offspring individual-1 day-1.,4,68
fecundity rate (alate),mean offspring per unit time,offspring individual-1 day-1,Trait: fecundity rate (alate). Definition: mean offspring per unit time. Unit: offspring individual-1 day-1.,4,68
fertility,number of offspring produced,number of offspring,Trait: fertility. Definition: number of offspring produced. Unit: number of offspring.,4,68
fecundity,mean of daily newborn nymph counts,mean number of nymphs,Trait: fecundity. Definition: mean of daily newborn nymph counts. Unit: mean number of nymphs.,4,68
average daily fecundity,daily fecundity of female aphids,mx,Trait: average daily fecundity. Definition: daily fecundity of female aphids. Unit: mx.,4,68
mean fecundity,number of nymphs deposited,oviparae/gynoparae,Trait: mean fecundity. Definition: number of nymphs deposited. Unit: oviparae/gynoparae.,4,68
age-specific daily fecundity,new nymphs produced each day,mean number of nymphs,Trait: age-specific daily fecundity. Definition: new nymphs produced each day. Unit: mean number of nymphs.,4,68
mean fecundity,mean number of offspring produced by females,female/female,Trait: mean fecundity. Definition: mean number of offspring produced by females. Unit: female/female.,4,68
Reproductive average daily fecundity,the number of newborn nymphs (N1) per female per day,nymphs per day,Trait: Reproductive average daily fecundity. Definition: the number of newborn nymphs (N1) per female per day. Unit: nymphs per day.,4,68
Reproductive average total fecundity,the number of newborn nymphs (N1) per female,nymphs,Trait: Reproductive average total fecundity. Definition: the number of newborn nymphs (N1) per female. Unit: nymphs.,4,68
fecundity,number of aphids produced,number of offspring,Trait: fecundity. Definition: number of aphids produced. Unit: number of offspring.,4,68
fecundity rate,maximum number of eggs produced in a single day by an individual female,eggs individual-1 day-1,Trait: fecundity rate. Definition: maximum number of eggs produced in a single day by an individual female. Unit: eggs individual-1 day-1.,4,68
weight,"Weight of developing Hyalomma impeltatum nymphs held at four different temperatures and 75% relative humidity""",mg,"Trait: weight. Definition: Weight of developing Hyalomma impeltatum nymphs held at four different temperatures and 75% relative humidity"". Unit: mg.",5,7
weight,Weight of undisturbed female Hyalomma impeltatum after molting,mg,Trait: weight. Definition: Weight of undisturbed female Hyalomma impeltatum after molting. Unit: mg.,5,7
weight,Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt),mg,Trait: weight. Definition: Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt). Unit: mg.,5,7
weight,Weight of undisturbed female Hyalomma impeltatum after engorgement,mg,Trait: weight. Definition: Weight of undisturbed female Hyalomma impeltatum after engorgement. Unit: mg.,5,7
Weight,Weight of undisturbed female Hyalomma impeltatum after molting,mg,Trait: Weight. Definition: Weight of undisturbed female Hyalomma impeltatum after molting. Unit: mg.,5,7
Weight,Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt),mg,Trait: Weight. Definition: Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt). Unit: mg.,5,7
Weight,Weight of undisturbed female Hyalomma impeltatum after engorgement,mg,Trait: Weight. Definition: Weight of undisturbed female Hyalomma impeltatum after engorgement. Unit: mg.,5,7
body size,mean wing length (mm),mm,Trait: body size. Definition: mean wing length (mm). Unit: mm.,6,11
body size,mean length,mm,Trait: body size. Definition: mean length. Unit: mm.,6,11
body size,mean width,mm,Trait: body size. Definition: mean width. Unit: mm.,6,11
body size,mean head width,mm,Trait: body size. Definition: mean head width. Unit: mm.,6,11
body size,mean thorax length,mm,Trait: body size. Definition: mean thorax length. Unit: mm.,6,11
body size,mean wing length,mm,Trait: body size. Definition: mean wing length. Unit: mm.,6,11
body size (length),mean body length,mm,Trait: body size (length). Definition: mean body length. Unit: mm.,6,11
body size (length),mean body length (adult),mm,Trait: body size (length). Definition: mean body length (adult). Unit: mm.,6,11
body length,mean length (unfed ),mm,Trait: body length. Definition: mean length (unfed ). Unit: mm.,6,11
body length,mean length (engorged ),mm,Trait: body length. Definition: mean length (engorged ). Unit: mm.,6,11
body width,mean width (unfed),mm,Trait: body width. Definition: mean width (unfed). Unit: mm.,6,11
body size,mean wet mass,mg,Trait: body size. Definition: mean wet mass. Unit: mg.,7,31
body size,mean wet mass (waxless and gravid),mg,Trait: body size. Definition: mean wet mass (waxless and gravid). Unit: mg.,7,31
body size,mean dry mass,mg,Trait: body size. Definition: mean dry mass. Unit: mg.,7,31
body size,mean body weight,mg,Trait: body size. Definition: mean body weight. Unit: mg.,7,31
body size,individual-level mass,mg,Trait: body size. Definition: individual-level mass. Unit: mg.,7,31
body size,individual-level wet mass,mg,Trait: body size. Definition: individual-level wet mass. Unit: mg.,7,31
body size,mean wet mass on the day feeding was completed,mg,Trait: body size. Definition: mean wet mass on the day feeding was completed. Unit: mg.,7,31
body size,mean weight of nymphs post-feeding,mg,Trait: body size. Definition: mean weight of nymphs post-feeding. Unit: mg.,7,31
body size,mean body weight of engorged adult females,mg,Trait: body size. Definition: mean body weight of engorged adult females. Unit: mg.,7,31
body size,mean wet mass on the day feeding was completed (engorged),mg,Trait: body size. Definition: mean wet mass on the day feeding was completed (engorged). Unit: mg.,7,31
body mass,mean weight of female,mg,Trait: body mass. Definition: mean weight of female. Unit: mg.,7,31
body size,mean dry mass. relationship between dry mass and wing length,mg,Trait: body size. Definition: mean dry mass. relationship between dry mass and wing length. Unit: mg.,7,31
body size,dry mass,mg,Trait: body size. Definition: dry mass. Unit: mg.,7,31
body size (alate),mean wet mass,mg,Trait: body size (alate). Definition: mean wet mass. Unit: mg.,7,31
body size (apterous),mean wet mass,mg,Trait: body size (apterous). Definition: mean wet mass. Unit: mg.,7,31
body size (apterous nymph),mean wet mass,days,Trait: body size (apterous nymph). Definition: mean wet mass. Unit: days.,7,31
body size (mass),mean wet mass,mg,Trait: body size (mass). Definition: mean wet mass. Unit: mg.,7,31
body size,mean of weight (unfed),mg,Trait: body size. Definition: mean of weight (unfed). Unit: mg.,7,31
body size,mean of weight (engorged),mg,Trait: body size. Definition: mean of weight (engorged). Unit: mg.,7,31
body size,mean wet mass of an individual tick post engorgement,mg,Trait: body size. Definition: mean wet mass of an individual tick post engorgement. Unit: mg.,7,31
Weight,mean weight of larvae during their feeding period,mg,Trait: Weight. Definition: mean weight of larvae during their feeding period. Unit: mg.,7,31
Weight,mean weight of nymphs during their feeding period,mg,Trait: Weight. Definition: mean weight of nymphs during their feeding period. Unit: mg.,7,31
Weight,mean weight of engorged nymphs moulting to males,mg,Trait: Weight. Definition: mean weight of engorged nymphs moulting to males. Unit: mg.,7,31
weight,Mean weight 14 days after hatching,ug,Trait: weight. Definition: Mean weight 14 days after hatching. Unit: ug.,7,31
weight,Mean weight on day of engorgement,ug,Trait: weight. Definition: Mean weight on day of engorgement. Unit: ug.,7,31
body size,mean weight of engorged tick,mg,Trait: body size. Definition: mean weight of engorged tick. Unit: mg.,7,31
body size,mean weight of engored nymphs,mg,Trait: body size. Definition: mean weight of engored nymphs. Unit: mg.,7,31
Body Mass,Weight of an individual engorged female,mg,Trait: Body Mass. Definition: Weight of an individual engorged female. Unit: mg.,7,31
Body Mass,mean daily weight of larvae during their feeding periods,mg,Trait: Body Mass. Definition: mean daily weight of larvae during their feeding periods. Unit: mg.,7,31
Body Mass,mean daily weight of nymphs during their pharate periods,mg,Trait: Body Mass. Definition: mean daily weight of nymphs during their pharate periods. Unit: mg.,7,31
Body Mass,mean daily weight of nymphs during their feeding periods,mg,Trait: Body Mass. Definition: mean daily weight of nymphs during their feeding periods. Unit: mg.,7,31
egg mass,mean egg mass weight,mg,Trait: egg mass. Definition: mean egg mass weight. Unit: mg.,8,6
weight,Mean weight on day of hatching,ug,Trait: weight. Definition: Mean weight on day of hatching. Unit: ug.,8,6
weight,Mean egg mass,mg,Trait: weight. Definition: Mean egg mass. Unit: mg.,8,6
egg mass,Mean egg mass by oviposition day of females raised at constant temps,mg,Trait: egg mass. Definition: Mean egg mass by oviposition day of females raised at constant temps. Unit: mg.,8,6
egg mass,mean weight of eggs,mg,Trait: egg mass. Definition: mean weight of eggs. Unit: mg.,8,6
Egg Mass,Weight of eggs laid by an individual female,mg,Trait: Egg Mass. Definition: Weight of eggs laid by an individual female. Unit: mg.,8,6
survival time,mean survival time of fasting larvae,days,Trait: survival time. Definition: mean survival time of fasting larvae. Unit: days.,9,9
survival time,mean survival time of larvae post hatch,days,Trait: survival time. Definition: mean survival time of larvae post hatch. Unit: days.,9,9
survival time,mean survival time of fasting nymphs,days,Trait: survival time. Definition: mean survival time of fasting nymphs. Unit: days.,9,9
survival time,mean time for egg survival,days,Trait: survival time. Definition: mean time for egg survival. Unit: days.,9,9
survival time,mean time for unfed larva survival,days,Trait: survival time. Definition: mean time for unfed larva survival. Unit: days.,9,9
survival time,mean time for engorged nymph survival,days,Trait: survival time. Definition: mean time for engorged nymph survival. Unit: days.,9,9
survival time,mean time for unfed adult survival,days,Trait: survival time. Definition: mean time for unfed adult survival. Unit: days.,9,9
survival time,mean time for engorged adult survival,days,Trait: survival time. Definition: mean time for engorged adult survival. Unit: days.,9,9
survival time,average number of days unfed nymphs survived,days,Trait: survival time. Definition: average number of days unfed nymphs survived. Unit: days.,9,9
molt success rate (larval),percentage that molted,percent,Trait: molt success rate (larval). Definition: percentage that molted. Unit: percent.,10,6
molt success rate (nymphal),percentage that molted,percent,Trait: molt success rate (nymphal). Definition: percentage that molted. Unit: percent.,10,6
molting ratio (larval),percentage that molted during life stage,percent,Trait: molting ratio (larval). Definition: percentage that molted during life stage. Unit: percent.,10,6
molting ratio (nymphal),percentage that molted during life stage,percent,Trait: molting ratio (nymphal). Definition: percentage that molted during life stage. Unit: percent.,10,6
molt success rate (larval),percentage that molted during life stage,percent,Trait: molt success rate (larval). Definition: percentage that molted during life stage. Unit: percent.,10,6
molt success rate (nymphal),percentage that molted during life stage,percent,Trait: molt success rate (nymphal). Definition: percentage that molted during life stage. Unit: percent.,10,6
incubation period,mean duration of egg incubation period (lay to hatching),days,Trait: incubation period. Definition: mean duration of egg incubation period (lay to hatching). Unit: days.,11,8
incubation period,median time from oviposition to hatching,days,Trait: incubation period. Definition: median time from oviposition to hatching. Unit: days.,11,8
incubation period,time from start of oviposition until first eggs hatched,days,Trait: incubation period. Definition: time from start of oviposition until first eggs hatched. Unit: days.,11,8
incubation period,mean duration from oviposition to hatching,days,Trait: incubation period. Definition: mean duration from oviposition to hatching. Unit: days.,11,8
incubation period,mean Incubation Period in days from egg to larvae at constant temps,days,Trait: incubation period. Definition: mean Incubation Period in days from egg to larvae at constant temps. Unit: days.,11,8
incubation period,mean time required for an egg to hatch (from time of completion of egg deposition to eclosion of first larva),days,Trait: incubation period. Definition: mean time required for an egg to hatch (from time of completion of egg deposition to eclosion of first larva). Unit: days.,11,8
incubation period,mean egg incubation period,days,Trait: incubation period. Definition: mean egg incubation period. Unit: days.,11,8
incubation period,Mean Incubation Period,days,Trait: incubation period. Definition: Mean Incubation Period. Unit: days.,11,8
hatching rate,percent surviving life stage,percent,Trait: hatching rate. Definition: percent surviving life stage. Unit: percent.,12,13
hatching rate,mean duration of life stage,percent,Trait: hatching rate. Definition: mean duration of life stage. Unit: percent.,12,13
hatchability,mean percentage of eggs hatching,percent,Trait: hatchability. Definition: mean percentage of eggs hatching. Unit: percent.,12,13
hatch rate,mean hatching rate of egg batches,percent,Trait: hatch rate. Definition: mean hatching rate of egg batches. Unit: percent.,12,13
larval hatch rate,percentage of unfertilized eggs that were subsequently fertilized,percent,Trait: larval hatch rate. Definition: percentage of unfertilized eggs that were subsequently fertilized. Unit: percent.,12,13
hatch rate,percentage of unfertilized eggs that were subsequently fertilized,percent,Trait: hatch rate. Definition: percentage of unfertilized eggs that were subsequently fertilized. Unit: percent.,12,13
hatch rate,percentage of egg masses producing larvae,percent,Trait: hatch rate. Definition: percentage of egg masses producing larvae. Unit: percent.,12,13
hatch ratio,hatching ratio of eggs,percent,Trait: hatch ratio. Definition: hatching ratio of eggs. Unit: percent.,12,13
hatchability,the percent of laid eggs that successfully hatched,percent,Trait: hatchability. Definition: the percent of laid eggs that successfully hatched. Unit: percent.,12,13
hatchability,percent of eggs successfully hatching based on the day of oviposition during which it was laid,percent,Trait: hatchability. Definition: percent of eggs successfully hatching based on the day of oviposition during which it was laid. Unit: percent.,12,13
hatching period,mean time from initiation to completion of hatching,days,Trait: hatching period. Definition: mean time from initiation to completion of hatching. Unit: days.,12,13
hatchability,percent surviving life stage,percent,Trait: hatchability. Definition: percent surviving life stage. Unit: percent.,12,13
egg hatch,Mean percentage of eggs hatched,percent,Trait: egg hatch. Definition: Mean percentage of eggs hatched. Unit: percent.,12,13
longevity,aphid lifespan,days,Trait: longevity. Definition: aphid lifespan. Unit: days.,13,5
longevity,lifespan of aphids,days,Trait: longevity. Definition: lifespan of aphids. Unit: days.,13,5
longevity,adult aphid survival,days,Trait: longevity. Definition: adult aphid survival. Unit: days.,13,5
adult longevity,lifespan of adult aphids,days,Trait: adult longevity. Definition: lifespan of adult aphids. Unit: days.,13,5
aphid longevity,lifespan of aphids,days,Trait: aphid longevity. Definition: lifespan of aphids. Unit: days.,13,5
reproductive period,mean duration of life stage,days,Trait: reproductive period. Definition: mean duration of life stage. Unit: days.,14,39
ovipositional period,mean duration of life stage,days,Trait: ovipositional period. Definition: mean duration of life stage. Unit: days.,14,39
pre-oviposition period,mean duration from adult emergence to onset of reproduction,days,Trait: pre-oviposition period. Definition: mean duration from adult emergence to onset of reproduction. Unit: days.,14,39
post-oviposition period,mean duration of life stage,days,Trait: post-oviposition period. Definition: mean duration of life stage. Unit: days.,14,39
pre-reproductive period,mean duration of life stage,days,Trait: pre-reproductive period. Definition: mean duration of life stage. Unit: days.,14,39
pre-reproductive period,mean duration from adult emergence to onset of reproduction,days,Trait: pre-reproductive period. Definition: mean duration from adult emergence to onset of reproduction. Unit: days.,14,39
age at first reproduction,mean age at first reproduction,days,Trait: age at first reproduction. Definition: mean age at first reproduction. Unit: days.,14,39
pre-reproductive period,mean duration to production of first larva,days,Trait: pre-reproductive period. Definition: mean duration to production of first larva. Unit: days.,14,39
preoviposition period,mean duration of prereproductive period (end of feeding until oviposition),days,Trait: preoviposition period. Definition: mean duration of prereproductive period (end of feeding until oviposition). Unit: days.,14,39
ovipositional period,mean duration of reproductive period,days,Trait: ovipositional period. Definition: mean duration of reproductive period. Unit: days.,14,39
preoviposition period,mean duration of period before oviposition,days,Trait: preoviposition period. Definition: mean duration of period before oviposition. Unit: days.,14,39
ovipositional period,mean duration of ovipositional period,days,Trait: ovipositional period. Definition: mean duration of ovipositional period. Unit: days.,14,39
preoviposition period,mean duration of life stage,days,Trait: preoviposition period. Definition: mean duration of life stage. Unit: days.,14,39
preoviposition period,mean duration from adult emergence to onset of reproduction,days,Trait: preoviposition period. Definition: mean duration from adult emergence to onset of reproduction. Unit: days.,14,39
total preoviposition period,mean duration from egg to onset of reproduction,days,Trait: total preoviposition period. Definition: mean duration from egg to onset of reproduction. Unit: days.,14,39
oviposition period,mean duration of life stage,days,Trait: oviposition period. Definition: mean duration of life stage. Unit: days.,14,39
reproductive and post-reproductive periods,mean duration of life stage,days,Trait: reproductive and post-reproductive periods. Definition: mean duration of life stage. Unit: days.,14,39
age at first reproduction,mean duration of life stage,days,Trait: age at first reproduction. Definition: mean duration of life stage. Unit: days.,14,39
age at first reproduction,mean duration from birth to onset of reproduction,days,Trait: age at first reproduction. Definition: mean duration from birth to onset of reproduction. Unit: days.,14,39
age at first reproduction,mean age at the onset of reproduction,days,Trait: age at first reproduction. Definition: mean age at the onset of reproduction. Unit: days.,14,39
post-reproductive period,mean duration of life stage,days,Trait: post-reproductive period. Definition: mean duration of life stage. Unit: days.,14,39
pre-reproductive period,mean rate of life stage completion,days,Trait: pre-reproductive period. Definition: mean rate of life stage completion. Unit: days.,14,39
reproductive period,mean rate of life stage completion,days,Trait: reproductive period. Definition: mean rate of life stage completion. Unit: days.,14,39
post-reproductive period,mean rate of life stage completion,days,Trait: post-reproductive period. Definition: mean rate of life stage completion. Unit: days.,14,39
oviposition,period of oviposition in days,days,Trait: oviposition. Definition: period of oviposition in days. Unit: days.,14,39
pre-reproduction period,duration of developmental phases in days,days,Trait: pre-reproduction period. Definition: duration of developmental phases in days. Unit: days.,14,39
reproduction period,duration of developmental phases in days,days,Trait: reproduction period. Definition: duration of developmental phases in days. Unit: days.,14,39
post-reproduction period,duration of developmental phases in days,days,Trait: post-reproduction period. Definition: duration of developmental phases in days. Unit: days.,14,39
preoviposition period,mean days in preoviposition,days,Trait: preoviposition period. Definition: mean days in preoviposition. Unit: days.,14,39
preoviposition period,individual-level duration of prereproductive period (end of feeding until oviposition),days,Trait: preoviposition period. Definition: individual-level duration of prereproductive period (end of feeding until oviposition). Unit: days.,14,39
ovipositional period,individual-level duration of reproductive period,days,Trait: ovipositional period. Definition: individual-level duration of reproductive period. Unit: days.,14,39
preoviposition period,mean Preoviposition Period in days at adult female state at const temps,days,Trait: preoviposition period. Definition: mean Preoviposition Period in days at adult female state at const temps. Unit: days.,14,39
oviposition period,mean Oviposition Period in days at adult female state at const temps,days,Trait: oviposition period. Definition: mean Oviposition Period in days at adult female state at const temps. Unit: days.,14,39
preoviposition period,mean time required for an engorged female tick to begin laying eggs,days,Trait: preoviposition period. Definition: mean time required for an engorged female tick to begin laying eggs. Unit: days.,14,39
preoviposition period,mean time until onset of oviposition,days,Trait: preoviposition period. Definition: mean time until onset of oviposition. Unit: days.,14,39
preoviposition,Mean preoviposition period in days,days,Trait: preoviposition. Definition: Mean preoviposition period in days. Unit: days.,14,39
oviposition,Mean ovipostion period in days,days,Trait: oviposition. Definition: Mean ovipostion period in days. Unit: days.,14,39
Oviposition Period,Oviposition Period 1/period(day) in engorged females,days-1,Trait: Oviposition Period. Definition: Oviposition Period 1/period(day) in engorged females. Unit: days-1.,14,39
preoviposition period,Mean Pre-Oviposition Period,days,Trait: preoviposition period. Definition: Mean Pre-Oviposition Period. Unit: days.,14,39
development time,mean duration of life stage,days,Trait: development time. Definition: mean duration of life stage. Unit: days.,15,31
development time,median duration of life stage,days,Trait: development time. Definition: median duration of life stage. Unit: days.,15,31
development time,mean duration period from aphid birth to its first reproduction,days,Trait: development time. Definition: mean duration period from aphid birth to its first reproduction. Unit: days.,15,31
development rate,mean rate of life stage completion,days-1,Trait: development rate. Definition: mean rate of life stage completion. Unit: days-1.,15,31
development rate,rate of life stage completion,days-1,Trait: development rate. Definition: rate of life stage completion. Unit: days-1.,15,31
development time,mean duration of life cycle (egg-to-egg),days,Trait: development time. Definition: mean duration of life cycle (egg-to-egg). Unit: days.,15,31
development time,mean duration of life stage (across all humidity levels),days,Trait: development time. Definition: mean duration of life stage (across all humidity levels). Unit: days.,15,31
development time,mean duration for 50 percent of eggs to hatch,days,Trait: development time. Definition: mean duration for 50 percent of eggs to hatch. Unit: days.,15,31
development time,median duration for egg development,days,Trait: development time. Definition: median duration for egg development. Unit: days.,15,31
development time,mean duration for egg development,days,Trait: development time. Definition: mean duration for egg development. Unit: days.,15,31
development time,duration of life stage,days,Trait: development time. Definition: duration of life stage. Unit: days.,15,31
development rate,mean duration of life stage,days,Trait: development rate. Definition: mean duration of life stage. Unit: days.,15,31
development time,mean duration of life cycle,days,Trait: development time. Definition: mean duration of life cycle. Unit: days.,15,31
development time,individual-level duration of life stage,days,Trait: development time. Definition: individual-level duration of life stage. Unit: days.,15,31
development rate,individual-level rate of life stage completion,days-1,Trait: development rate. Definition: individual-level rate of life stage completion. Unit: days-1.,15,31
development time,mean duration of larval attachment developmental phase,days,Trait: development time. Definition: mean duration of larval attachment developmental phase. Unit: days.,15,31
development rate,mean development rate per day,percent day-1,Trait: development rate. Definition: mean development rate per day. Unit: percent day-1.,15,31
development time,mean duration from when eggs were deposited to hatch,days,Trait: development time. Definition: mean duration from when eggs were deposited to hatch. Unit: days.,15,31
development time,mean time to complete nymphal devlopment,days,Trait: development time. Definition: mean time to complete nymphal devlopment. Unit: days.,15,31
developmental time,mean duration of life stage,days,Trait: developmental time. Definition: mean duration of life stage. Unit: days.,15,31
development rate,replicate-level mean rate of life stage completion,days-1,Trait: development rate. Definition: replicate-level mean rate of life stage completion. Unit: days-1.,15,31
development time,mean duration of juvenile stages and from adult emergence to the onset of reproduction,days,Trait: development time. Definition: mean duration of juvenile stages and from adult emergence to the onset of reproduction. Unit: days.,15,31
development rate,inverse of the mean duration of life stage,days-1,Trait: development rate. Definition: inverse of the mean duration of life stage. Unit: days-1.,15,31
development time,mean duration of life stage as a function of rearing food type (secondstressor) and temperature,days,Trait: development time. Definition: mean duration of life stage as a function of rearing food type (secondstressor) and temperature. Unit: days.,15,31
development time,nymphal development time,days,Trait: development time. Definition: nymphal development time. Unit: days.,15,31
developmental time,number of days at each developmental stage,days,Trait: developmental time. Definition: number of days at each developmental stage. Unit: days.,15,31
development time,mean nymphal development time,days,Trait: development time. Definition: mean nymphal development time. Unit: days.,15,31
development time,mean duration of incubation period,days,Trait: development time. Definition: mean duration of incubation period. Unit: days.,15,31
development time,mean duration of attachment period,days,Trait: development time. Definition: mean duration of attachment period. Unit: days.,15,31
development time,mean duration of premoulting period,days,Trait: development time. Definition: mean duration of premoulting period. Unit: days.,15,31
Development time,Mean time from engorgement to moulting,days,Trait: Development time. Definition: Mean time from engorgement to moulting. Unit: days.,15,31
longevity,mean duration of life stage,days,Trait: longevity. Definition: mean duration of life stage. Unit: days.,16,29
longevity,median duration of life stage,days,Trait: longevity. Definition: median duration of life stage. Unit: days.,16,29
mortality,percent not surviving life stage,percent,Trait: mortality. Definition: percent not surviving life stage. Unit: percent.,16,29
longevity,median adult lifespan,days,Trait: longevity. Definition: median adult lifespan. Unit: days.,16,29
mortality rate,mean per capita rate of mortality during life stage,individual-1 day-1,Trait: mortality rate. Definition: mean per capita rate of mortality during life stage. Unit: individual-1 day-1.,16,29
mortality,mean duration of life stage,days,Trait: mortality. Definition: mean duration of life stage. Unit: days.,16,29
mortality,cummulative mortality percentage across immature stages,percent,Trait: mortality. Definition: cummulative mortality percentage across immature stages. Unit: percent.,16,29
mortality,proportion not surviving life stage,proportion,Trait: mortality. Definition: proportion not surviving life stage. Unit: proportion.,16,29
mortality,time to 50% mortality,days,Trait: mortality. Definition: time to 50% mortality. Unit: days.,16,29
mortality rate,mean death rate during life stage,individual-1 day-1,Trait: mortality rate. Definition: mean death rate during life stage. Unit: individual-1 day-1.,16,29
longevity,individual-level duration of life stage,days,Trait: longevity. Definition: individual-level duration of life stage. Unit: days.,16,29
mortality rate,individual-level per capita daily rate of mortality,indivdual-1 day-1,Trait: mortality rate. Definition: individual-level per capita daily rate of mortality. Unit: indivdual-1 day-1.,16,29
longevity,duration for 50% mortality,days,Trait: longevity. Definition: duration for 50% mortality. Unit: days.,16,29
lifespan,mean duration of entire life,days,Trait: lifespan. Definition: mean duration of entire life. Unit: days.,16,29
