query_trait,ontology,term_id,term_label,term_definition
percent moult,OBA,HP:0010813,Abnormal number of hair whorls,"Most individuals have one clockwise hair whorl at a single point on the scalp lateral to the midline but close to the vertex of the skull. Five percent of the population has two whorls. A double hair whorl is sometimes referred to as a double crown. In 10%, whorl direction is counter-clockwise."
percent survival,OBA,OBA:2044232,level of survival motor neuron protein in blood serum,The amount of a survival motor neuron protein when measured in blood serum.
percent survival,OBA,OBA:2059004,level of survival motor neuron protein (human) in cerebrospinal fluid,The amount of a survival motor neuron protein (human) when measured in cerebrospinal fluid.
percent survival,OBA,OBA:2050909,level of survival of motor neuron-related-splicing factor 30 in blood,The amount of a survival of motor neuron-related-splicing factor 30 when measured in blood.
percent survival,OBA,OBA:2043556,level of survival of motor neuron-related-splicing factor 30 in blood serum,The amount of a survival of motor neuron-related-splicing factor 30 when measured in blood serum.
percent survival,OBA,OBA:2056414,level of survival of motor neuron-related-splicing factor 30 (human) in cerebrospinal fluid,The amount of a survival of motor neuron-related-splicing factor 30 (human) when measured in cerebrospinal fluid.
percent survival,PATO,PATO:0000718,lethal (sensu genetics),A viability quality inhering in a population by virtue of the bearer's long term survival inability.
percent survival,PATO,PATO:0000719,viable,A viability quality inhering in a bearer or a population by virtue of the bearer's ability to survive or the long term survival ability of a given population.
percent survival,PATO,GO:0043066,negative regulation of apoptotic process,"This term should only be used when it is not possible to determine which phase or subtype of the apoptotic process is negatively regulated by a gene product. Whenever detailed information is available, the more granular children terms should be used."
percent survival,PATO,GO:0043524,negative regulation of neuron apoptotic process,"Any process that stops, prevents, or reduces the frequency, rate or extent of cell death by apoptotic process in neurons."
percent survival,PATO,CHEBI:38323,cholinergic drug,"Any drug used for its actions on cholinergic systems. Included here are agonists and antagonists, drugs that affect the life cycle of acetylcholine, and drugs that affect the survival of cholinergic neurons."
post-oviposition period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
post-oviposition period,OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
post-oviposition period,OBA,PR:000050150,period circadian protein homolog,Category=family.
post-oviposition period,OBA,PR:000012549,period circadian protein homolog 3,Category=gene.
post-oviposition period,OBA,PR:O70361,period circadian protein homolog 3 (mouse),Category=organism-gene.
post-oviposition period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
post-oviposition period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
post-oviposition period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
post-oviposition period,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
post-oviposition period,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
post-reproduction period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
post-reproduction period,OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
post-reproduction period,OBA,PR:000050150,period circadian protein homolog,Category=family.
post-reproduction period,OBA,PR:000012549,period circadian protein homolog 3,Category=gene.
post-reproduction period,OBA,PR:O70361,period circadian protein homolog 3 (mouse),Category=organism-gene.
post-reproduction period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
post-reproduction period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
post-reproduction period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
post-reproduction period,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
post-reproduction period,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
post-reproductive period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
post-reproductive period,OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
post-reproductive period,OBA,PR:000050150,period circadian protein homolog,Category=family.
post-reproductive period,OBA,PR:000012549,period circadian protein homolog 3,Category=gene.
post-reproductive period,OBA,PR:O70361,period circadian protein homolog 3 (mouse),Category=organism-gene.
post-reproductive period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
post-reproductive period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
post-reproductive period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
post-reproductive period,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
post-reproductive period,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
pre hatching period,OBA,OBA:0003853,blastocyst hatching amount,The amount of a blastocyst hatching.
pre hatching period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
pre hatching period,OBA,OBA:0003854,blastocyst hatching onset quality,The onset quality of a blastocyst hatching.
pre hatching period,OBA,GO:0035188,hatching,NA
pre hatching period,OBA,OBA:0005182,pre-Botzinger complex morphology,The morphology of a pre-Botzinger complex.
pre hatching period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
pre hatching period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
pre hatching period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
pre hatching period,PATO,UBERON:0005865,pre-muscle condensation,NA
pre hatching period,PATO,UBERON:0005866,pre-cartilage condensation,A delimited region of dense mesenchyme within looser mesenchyme whose cells are committed to become chondroblasts.
pre-blood meal period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
pre-blood meal period,OBA,OBA:2051375,level of pre-pro-epidermal growth factor in blood,The amount of a pre-pro-epidermal growth factor when measured in blood.
pre-blood meal period,OBA,OBA:2043038,level of pre-mRNA-processing factor 19 in blood serum,The amount of a pre-mRNA-processing factor 19 when measured in blood serum.
pre-blood meal period,OBA,OBA:2044144,level of pre-mRNA-splicing regulator WTAP in blood serum,The amount of a pre-mRNA-splicing regulator WTAP when measured in blood serum.
pre-blood meal period,OBA,OBA:2052659,amount of pre-pro-epidermal growth factor (human) in blood,The amount of a pre-pro-epidermal growth factor (human) when measured in blood.
pre-blood meal period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
pre-blood meal period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
pre-blood meal period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
pre-blood meal period,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
pre-blood meal period,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
pre-hatch period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
pre-hatch period,OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
pre-hatch period,OBA,PR:000050150,period circadian protein homolog,Category=family.
pre-hatch period,OBA,PR:000012549,period circadian protein homolog 3,Category=gene.
pre-hatch period,OBA,PR:O70361,period circadian protein homolog 3 (mouse),Category=organism-gene.
pre-hatch period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
pre-hatch period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
pre-hatch period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
pre-hatch period,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
pre-hatch period,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
pre-oviposition period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
pre-oviposition period,OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
pre-oviposition period,OBA,PR:000050150,period circadian protein homolog,Category=family.
pre-oviposition period,OBA,PR:000012549,period circadian protein homolog 3,Category=gene.
pre-oviposition period,OBA,PR:O70361,period circadian protein homolog 3 (mouse),Category=organism-gene.
pre-oviposition period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
pre-oviposition period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
pre-oviposition period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
pre-oviposition period,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
pre-oviposition period,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
pre-reproduction period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
pre-reproduction period,OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
pre-reproduction period,OBA,PR:000050150,period circadian protein homolog,Category=family.
pre-reproduction period,OBA,PR:000012549,period circadian protein homolog 3,Category=gene.
pre-reproduction period,OBA,PR:O70361,period circadian protein homolog 3 (mouse),Category=organism-gene.
pre-reproduction period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
pre-reproduction period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
pre-reproduction period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
pre-reproduction period,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
pre-reproduction period,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
pre-reproductive period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
pre-reproductive period,OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
pre-reproductive period,OBA,PR:000050150,period circadian protein homolog,Category=family.
pre-reproductive period,OBA,PR:000012549,period circadian protein homolog 3,Category=gene.
pre-reproductive period,OBA,PR:O70361,period circadian protein homolog 3 (mouse),Category=organism-gene.
pre-reproductive period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
pre-reproductive period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
pre-reproductive period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
pre-reproductive period,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
pre-reproductive period,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
prefeeding period (adult),OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
prefeeding period (adult),OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
prefeeding period (adult),OBA,OBA:1000037,adult organism mass,The mass of a adult organism.
prefeeding period (adult),OBA,PR:000050150,period circadian protein homolog,Category=family.
prefeeding period (adult),OBA,OBA:2041551,level of fetal and adult testis-expressed transcript protein in blood serum,The amount of a fetal and adult testis-expressed transcript protein when measured in blood serum.
prefeeding period (adult),PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
prefeeding period (adult),PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
prefeeding period (adult),PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
prefeeding period (adult),PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
prefeeding period (adult),PATO,CL:0008017,adult skeletal muscle myoblast,"The vast majority of these cells develop from skeletal muscle satellite cells, although there are some reports of other origins."
prefeeding period (larval),OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
prefeeding period (larval),OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
prefeeding period (larval),OBA,PATO:0001185,larval,NA
prefeeding period (larval),OBA,PR:000050150,period circadian protein homolog,Category=family.
prefeeding period (larval),OBA,PR:000012549,period circadian protein homolog 3,Category=gene.
prefeeding period (larval),PATO,PATO:0001185,larval,"A maturity quality inhering in a bearer by virtue of the bearer's indirect development, undergoing metamorphosis."
prefeeding period (larval),PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
prefeeding period (larval),PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
prefeeding period (larval),PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
prefeeding period (larval),PATO,PATO:0001187,pupal,A maturity quality inhering in a insect by virtue of the bearer's being in the chrysalis (cocoon) or post larval stage.
prefeeding period (nymphal),OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
prefeeding period (nymphal),OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
prefeeding period (nymphal),OBA,PR:000050150,period circadian protein homolog,Category=family.
prefeeding period (nymphal),OBA,PR:000012549,period circadian protein homolog 3,Category=gene.
prefeeding period (nymphal),OBA,PR:O70361,period circadian protein homolog 3 (mouse),Category=organism-gene.
prefeeding period (nymphal),PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
prefeeding period (nymphal),PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
prefeeding period (nymphal),PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
prefeeding period (nymphal),PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
prefeeding period (nymphal),PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
premolt period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
premolt period,OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
premolt period,OBA,PR:000050150,period circadian protein homolog,Category=family.
premolt period,OBA,PR:000012549,period circadian protein homolog 3,Category=gene.
premolt period,OBA,PR:O70361,period circadian protein homolog 3 (mouse),Category=organism-gene.
premolt period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
premolt period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
premolt period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
premolt period,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
premolt period,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
premolt period (larval),OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
premolt period (larval),OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
premolt period (larval),OBA,PATO:0001185,larval,NA
premolt period (larval),OBA,PR:000050150,period circadian protein homolog,Category=family.
premolt period (larval),OBA,PR:000012549,period circadian protein homolog 3,Category=gene.
premolt period (larval),PATO,PATO:0001185,larval,"A maturity quality inhering in a bearer by virtue of the bearer's indirect development, undergoing metamorphosis."
premolt period (larval),PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
premolt period (larval),PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
premolt period (larval),PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
premolt period (larval),PATO,PATO:0001187,pupal,A maturity quality inhering in a insect by virtue of the bearer's being in the chrysalis (cocoon) or post larval stage.
premolt period (nymphal),OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
premolt period (nymphal),OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
premolt period (nymphal),OBA,PR:000050150,period circadian protein homolog,Category=family.
premolt period (nymphal),OBA,PR:000012549,period circadian protein homolog 3,Category=gene.
premolt period (nymphal),OBA,PR:O70361,period circadian protein homolog 3 (mouse),Category=organism-gene.
premolt period (nymphal),PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
premolt period (nymphal),PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
premolt period (nymphal),PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
premolt period (nymphal),PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
premolt period (nymphal),PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
premolting period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
premolting period,OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
premolting period,OBA,PR:000050150,period circadian protein homolog,Category=family.
premolting period,OBA,PR:000012549,period circadian protein homolog 3,Category=gene.
premolting period,OBA,PR:O70361,period circadian protein homolog 3 (mouse),Category=organism-gene.
premolting period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
premolting period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
premolting period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
premolting period,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
premolting period,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
preoviposition period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
preoviposition period,OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
preoviposition period,OBA,PR:000050150,period circadian protein homolog,Category=family.
preoviposition period,OBA,PR:000012549,period circadian protein homolog 3,Category=gene.
preoviposition period,OBA,PR:O70361,period circadian protein homolog 3 (mouse),Category=organism-gene.
preoviposition period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
preoviposition period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
preoviposition period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
preoviposition period,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
preoviposition period,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
prey consumption,OBA,OBA:1000654,saccharin consumption quality,The quality of a saccharin consumption.
prey consumption,OBA,OBA:1000679,cocaine consumption quality,The quality of a cocaine consumption.
prey consumption,OBA,OBA:1000690,food consumption quality,The quality of a food consumption.
prey consumption,OBA,OBA:1000840,alcohol consumption quality,The quality of a alcohol consumption.
prey consumption,OBA,NBO:0000130,liquid consumption,NA
protein content,OBA,OBA:2045435,stomach content pH,The acidity of a stomach lumen.
protein content,OBA,OBA:VT0010714,milk zinc content,The amount of a zinc atom when measured in milk.
protein content,OBA,OBA:2045301,erythrocyte hemoglobin content trait,The amount of a hemoglobin when measured in erythrocyte.
protein content,OBA,OBA:2045305,reticulocyte corpuscular hemoglobin content attribute,The amount of a hemoglobin when measured in reticulocyte.
protein content,OBA,IAO:0000030,information content entity,NA
protein content,PATO,PATO:0000025,composition,"For example calcium composition (which may inhere in bone), haemoglobin composition (which may inhere in blood)."
protein content,PATO,PATO:0015009,humidity,A quality inhering in air by virtue of the partial pressure exerted by the bearer's water vapour content.
protein content,PATO,PATO:0001540,glutinous,An amylose composition quality inhering in an bearer by virtue of the bearer's having negligible or no amylose content.
protein content,PATO,PATO:0001541,non-glutinous,An amylose composition quality inhering in an bearer by virtue of the bearer's having high amount of amylose content.
protein content,PATO,PATO:0103004,total amount,"A quantitative quality that represents the sum of all 'amount' qualities of the component parts that constitute a whole entity. The total amount quality inheres in the whole entity and reflects the aggregate measure across all its components, such that changes in the amount of individual components may not necessarily correspond to equivalent changes in the total amount of the whole.

Example of usage: ""blood total protein amount"" represents the sum of the amounts of all protein types in blood, while ""blood leptin amount"" represents only the amount of leptin proteins. An increase in blood leptin amount does not necessarily mean an increase in blood total protein amount, as other protein levels may decrease simultaneously."
recovery time,OBA,PATO:0000165,time,NA
recovery time,OBA,OBA:2040171,sleep duration trait,The duration of a sleep.
recovery time,OBA,OBA:2040011,trait in response to mycophenolic acid,A trait that affects the response to a stimulus with mycophenolic acid.
recovery time,OBA,OBA:2045215,menstrual cycle attribute,The quality of a menstrual cycle.
recovery time,OBA,OBA:2001010,age of onset of essential hypertension,The age at which essential hypertension manifestations first appear.
recovery time,PATO,PATO:0000165,time,A quality in which events occur in sequence.
recovery time,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
recovery time,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
recovery time,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
recovery time,PATO,PATO:0001005,latency,"This class is a candidate for obsoletion. The definition is not clear, and the placement under ""delayed"" is not consistent with the definition."
relative activity,OBA,OBA:2045259,urine relative density,The concentration of of a urine.
relative activity,OBA,OBA:2045294,asparaginase activity,The process quality of a L-asparagine catabolic process.
relative activity,OBA,OBA:VT0002504,serotonin activity,The functionality of a serotonin when measured in anatomical entity.
relative activity,OBA,OBA:0003310,catalase activity rate,The rate of a catalase activity.
relative activity,OBA,OBA:0005492,glucokinase activity rate,The rate of a glucokinase activity.
relative activity,PATO,PATO:0040010,mobile relative to,"For example, distinct anteroposterior mobility of palatine relative to mesethmoid."
relative activity,PATO,PATO:0040011,immobile relative to,For example: distinct anteroposterior immobility of palatine relative to mesethmoid.
relative activity,PATO,PATO:0002515,increased elevation relative to,An elevation quality inhering in a bearer by virtue the bearer's being in a high position relative to another entity.
relative activity,PATO,PATO:0000014,color,"A composite chromatic quality composed of hue, saturation and intensity parts."
relative activity,PATO,PATO:0001414,catalytic activity,A physical quality inhering in a catalyst by virtue of the amount of the catalyst's action.
reproduction period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
reproduction period,OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
reproduction period,OBA,GO:0019953,sexual reproduction,"Note that gametes may come from two organisms or from a single organism in the case of self-fertilizing hermaphrodites, e.g. C. elegans, or self-fertilization in plants. Note also that sexual reproduction may be seen as the regular alternation, in the life cycle of haplontic, diplontic and diplohaplontic organisms, of meiosis and fertilization which provides for the production offspring. In diplontic organisms there is a life cycle in which the products of meiosis behave directly as gametes, fusing to form a zygote from which the diploid, or sexually reproductive polyploid, adult organism will develop. In diplohaplontic organisms a haploid phase (gametophyte) exists in the life cycle between meiosis and fertilization (e.g. higher plants, many algae and Fungi); the products of meiosis are spores that develop as haploid individuals from which haploid gametes develop to form a diploid zygote; diplohaplontic organisms show an alternation of haploid and diploid generations. In haplontic organisms meiosis occurs in the zygote, giving rise to four haploid cells (e.g. many algae and protozoa), only the zygote is diploid and this may form a resistant spore, tiding organisms over hard times."
reproduction period,OBA,GO:0003006,developmental process involved in reproduction,NA
reproduction period,OBA,PR:000050150,period circadian protein homolog,Category=family.
reproduction period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
reproduction period,PATO,GO:0019953,sexual reproduction,"Note that gametes may come from two organisms or from a single organism in the case of self-fertilizing hermaphrodites, e.g. C. elegans, or self-fertilization in plants. Note also that sexual reproduction may be seen as the regular alternation, in the life cycle of haplontic, diplontic and diplohaplontic organisms, of meiosis and fertilization which provides for the production offspring. In diplontic organisms there is a life cycle in which the products of meiosis behave directly as gametes, fusing to form a zygote from which the diploid, or sexually reproductive polyploid, adult organism will develop. In diplohaplontic organisms a haploid phase (gametophyte) exists in the life cycle between meiosis and fertilization (e.g. higher plants, many algae and Fungi); the products of meiosis are spores that develop as haploid individuals from which haploid gametes develop to form a diploid zygote; diplohaplontic organisms show an alternation of haploid and diploid generations. In haplontic organisms meiosis occurs in the zygote, giving rise to four haploid cells (e.g. many algae and protozoa), only the zygote is diploid and this may form a resistant spore, tiding organisms over hard times."
reproduction period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
reproduction period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
reproduction period,PATO,GO:0003006,developmental process involved in reproduction,"A developmental process in which a progressive change in the state of some part of an organism, germline or somatic, specifically contributes to its ability to form offspring."
reproductive and post-reproductive periods,OBA,OBA:0002007,reproductive system size,The size of a reproductive system.
reproductive and post-reproductive periods,OBA,OBA:0002409,reproductive system displaced,The displaced of a reproductive system.
reproductive and post-reproductive periods,OBA,OBA:2050117,reproductive behavior trait,The quality of a reproductive behavior.
reproductive and post-reproductive periods,OBA,OBA:VT0005389,reproductive system trait,The quality when measured in reproductive system.
reproductive and post-reproductive periods,OBA,OBA:0004643,male reproductive organ morphology,The morphology of a male reproductive organ.
reproductive and post-reproductive periods,PATO,PATO:0001434,reproductive quality,An organismal quality inhering in a bearer by virtue of the bearer's ability to produce new life or offspring.
reproductive and post-reproductive periods,PATO,PATO:0002049,lateral and rotional curvature,A curvature quality inhering in a bearer by virtue of the bearer's being curved around an axis and towards the side.
reproductive and post-reproductive periods,PATO,PATO:0040030,decreased width and length,"A width and length quality which is relatively small, where both width and length are decreased."
reproductive and post-reproductive periods,PATO,PATO:0040031,increased width and length,"A width and length quality that is relatively large, where both width and length are increased."
reproductive and post-reproductive periods,PATO,GO:0019098,reproductive behavior,The specific behavior of an organism that is associated with reproduction.
reproductive capacity,OBA,OBA:VT0001942,lung capacity,The volume of a lung.
reproductive capacity,OBA,OBA:VT0002846,aorta capacity,The volume of a aorta.
reproductive capacity,OBA,OBA:VT0010133,gizzard capacity,The volume of a gizzard.
reproductive capacity,OBA,OBA:VT0010199,stomach capacity,The volume of a stomach.
reproductive capacity,OBA,OBA:VT0010204,proventriculus capacity,The volume of a proventriculus.
reproductive capacity,PATO,PATO:0001434,reproductive quality,An organismal quality inhering in a bearer by virtue of the bearer's ability to produce new life or offspring.
reproductive capacity,PATO,GO:0019098,reproductive behavior,The specific behavior of an organism that is associated with reproduction.
reproductive capacity,PATO,GO:0022414,reproductive process,A biological process that directly contributes to the process of producing new individuals by one or two organisms. The new individuals inherit some proportion of their genetic material from the parent or parents.
reproductive capacity,PATO,UBERON:0000990,reproductive system,Anatomical system that has as its parts the organs concerned with reproduction.
reproductive capacity,PATO,UBERON:0003133,reproductive organ,An organ involved in reproduction.
reproductive efficiency index,OBA,OBA:0002007,reproductive system size,The size of a reproductive system.
reproductive efficiency index,OBA,OBA:0002409,reproductive system displaced,The displaced of a reproductive system.
reproductive efficiency index,OBA,OBA:2050117,reproductive behavior trait,The quality of a reproductive behavior.
