cluster,trait,family,genus,stage,habitat,labfield
28,weight loss,Ixodidae,Hyalomma,adult,terrestrial,laboratory
27,weight,Ixodidae,Hyalomma,nymph,terrestrial,laboratory
27,weight,Ixodidae,Hyalomma,adult,terrestrial,laboratory
27,weight,Ixodidae,Hyalomma,adult,terrestrial,laboratory
27,weight,Ixodidae,Hyalomma,adult,terrestrial,laboratory
27,weight,Ixodidae,Hyalomma,adult,terrestrial,laboratory
-1,Efficency,Ixodidae,Hyalomma,adult,terrestrial,laboratory
27,Weight,Ixodidae,Hyalomma,adult,terrestrial,laboratory
27,Weight,Ixodidae,Hyalomma,adult,terrestrial,laboratory
27,Weight,Ixodidae,Hyalomma,adult,terrestrial,laboratory
-1,egg mass,Ixodidae,Hyalomma,adult,terrestrial,laboratory
23,preoviposition period,Ixodidae,Hyalomma,adult,terrestrial,laboratory
23,incubation period,Ixodidae,Hyalomma,egg,terrestrial,laboratory
23,hardening period,Ixodidae,Hyalomma,adult,terrestrial,laboratory
23,feeding period,Ixodidae,Hyalomma,nymph,terrestrial,laboratory
23,moulting period,Ixodidae,Hyalomma,nymph,terrestrial,laboratory
23,engorgement period,Ixodidae,Hyalomma,adult,terrestrial,laboratory
23,body size,Ixodidae,Hyalomma,adult,terrestrial,laboratory
23,egg mass,Ixodidae,Hyalomma,egg,terrestrial,laboratory
23,egg count,Ixodidae,Hyalomma,adult,terrestrial,laboratory
23,body size,Ixodidae,Hyalomma,nymph,terrestrial,laboratory
23,hatchability,Ixodidae,Hyalomma,egg,terrestrial,laboratory
23,conversion efficiency,Ixodidae,Hyalomma,adult,terrestrial,laboratory
23,survival time,Ixodidae,Hyalomma,egg,terrestrial,laboratory
23,survival time,Ixodidae,Hyalomma,larval,terrestrial,laboratory
23,survival time,Ixodidae,Hyalomma,nymph,terrestrial,laboratory
23,survival time,Ixodidae,Hyalomma,adult,terrestrial,laboratory
23,survival time,Ixodidae,Hyalomma,adult,terrestrial,laboratory
14,survival rate,Ixodidae,Hyalomma,adult,terrestrial,laboratory
14,survival rate,Ixodidae,Hyalomma,adult,terrestrial,laboratory
14,survival rate,Ixodidae,Hyalomma,adult,terrestrial,laboratory
14,survival rate,Ixodidae,Hyalomma,adult,terrestrial,laboratory
14,survival rate,Ixodidae,Hyalomma,adult,terrestrial,laboratory
18,percent moult,Ixodidae,Hyalomma,adult,terrestrial,laboratory
18,premolting period,Ixodidae,Hyalomma,adult,terrestrial,laboratory
18,survival time,Ixodidae,Hyalomma,larvae,terrestrial,laboratory
18,percent moult,Ixodidae,Hyalomma,nymph,terrestrial,laboratory
18,engorgement period,Ixodidae,Hyalomma,larvae,terrestrial,laboratory
18,engorgement period,Ixodidae,Hyalomma,larvae,terrestrial,laboratory
18,hatchability,Ixodidae,Hyalomma,egg,terrestrial,laboratory
-1,feeding time,Ixodidae,Amblyomma,larval,terrestrial,laboratory
15,molting period,Ixodidae,Amblyomma,larval,terrestrial,laboratory
15,survival rate,Ixodidae,Amblyomma,larval,terrestrial,laboratory
15,preoviposition period,Ixodidae,Amblyomma,adult,terrestrial,lab
15,pre hatching period,Ixodidae,Amblyomma,adult,terrestrial,lab
15,hatching period,Ixodidae,Amblyomma,adult,terrestrial,lab
15,egg conversion ratio,Ixodidae,Amblyomma,NA,terrestrial,lab
15,hatchability,Ixodidae,Amblyomma,egg,terrestrial,lab
12,questing,Ixodidae,Ixodes,nymph,terrestrial,laboratory
2,preoviposition,Ixodidae,Demacentor,adult,terrestrial,laboratory
2,oviposition,Ixodidae,Demacentor,adult,terrestrial,laboratory
2,conversion efficiency,Ixodidae,Demacentor,adult,terrestrial,laboratory
2,egg hatch,Ixodidae,Demacentor,egg,terrestrial,laboratory
2,incubation period,Ixodidae,Demacentor,egg,terrestrial,laboratory
12,lipid content,Ixodidae,Ixodes,adult,terrestrial,laboratory
13,Questing Height,Ixodidae,Ixodes,nymph,terrestrial,laboratory
13,Distance Traveled,Ixodidae,Ixodes,nymph,terrestrial,laboratory
13,Questing Time,Ixodidae,Ixodes,nymph,terrestrial,laboratory
13,Questing Height,Ixodidae,Ixodes,nymph,terrestrial,laboratory
13,Mortality Rate,Ixodidae,Ixodes,nymph,terrestrial,laboratory
13,Mortality Rate,Ixodidae,Ixodes,nymph,terrestrial,laboratory
12,Water loss,Ixodidae,Ixodes,adult,terrestrial,laboratory
12,Weight loss,Ixodidae,Ixodes,adult,terrestrial,laboratory
-1,Water loss,Ixodidae,Amblyomma,adult,terrestrial,laboratory
12,Development time,Ixodidae,Ixodes,larva,terrestrial,laboratory
12,Mortality Rate,Ixodidae,Ixodes,larva,terrestrial,laboratory
8,Oviposition Period,Ixodidae,Rhipicephalus,adult,terrestrial,laboratory
8,Pre-Oviposition Period in engorged females,Ixodidae,Rhipicephalus,adult,terrestrial,laboratory
8,Development Rate (Egg),Ixodidae,Rhipicephalus,egg,terrestrial,laboratory
8,Development Rate (Larva),Ixodidae,Rhipicephalus,nymph,terrestrial,laboratory
8,Development Rate (Nymph),Ixodidae,Rhipicephalus,larvae,terrestrial,laboratory
19,preoviposition period,Ixodidae,Rhipicephalus,adult,terrestrial,laboratory
19,incubation period,Ixodidae,Rhipicephalus,egg,terrestrial,laboratory
19,oviposition,Ixodidae,Rhipicephalus,adult,terrestrial,laboratory
19,Body Mass,Ixodidae,Rhipicephalus,adult,terrestrial,laboratory
19,Egg Mass,Ixodidae,Rhipicephalus,adult,terrestrial,laboratory
19,Body Mass,Ixodidae,Rhipicephalus,larva,terrestrial,laboratory
19,Body Mass,Ixodidae,Rhipicephalus,pharate nymph,terrestrial,laboratory
19,Body Mass,Ixodidae,Rhipicephalus,pharate nymph,terrestrial,laboratory
19,Development Rate,Ixodidae,Rhipicephalus,larva,terrestrial,laboratory
19,Development Rate,Ixodidae,Rhipicephalus,nymph,terrestrial,laboratory
19,Development Rate,Ixodidae,Rhipicephalus,nymph,terrestrial,laboratory
