OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,text,cluster_id,uncertainty
reproductive period,mean rate of life stage completion,days,Trait: reproductive period. Definition: mean rate of life stage completion. Unit: days.,2,0
post-reproductive period,mean rate of life stage completion,days,Trait: post-reproductive period. Definition: mean rate of life stage completion. Unit: days.,2,0
body size (alate nymph),mean wet mass,days,Trait: body size (alate nymph). Definition: mean wet mass. Unit: days.,2,0
body size (apterous nymph),mean wet mass,days,Trait: body size (apterous nymph). Definition: mean wet mass. Unit: days.,2,0
fecundity (alate),mean lifetime offspring,days,Trait: fecundity (alate). Definition: mean lifetime offspring. Unit: days.,2,0
fecundity (apterous),mean lifetime offspring,days,Trait: fecundity (apterous). Definition: mean lifetime offspring. Unit: days.,2,0
development time,mean duration of life stage as a function of rearing food type (secondstressor) and temperature,days,Trait: development time. Definition: mean duration of life stage as a function of rearing food type (secondstressor) and temperature. Unit: days.,2,8.183231869907104e-12
longevity,mean duration of life stage as a function of rearing food type (secondstressor) and temperature,days,Trait: longevity. Definition: mean duration of life stage as a function of rearing food type (secondstressor) and temperature. Unit: days.,2,1.9555952185390524e-6
fecundity,mean population-level offspring (100 individuals),days,Trait: fecundity. Definition: mean population-level offspring (100 individuals). Unit: days.,2,3.0042190957146886e-11
longevity,mean duration of adult lifespan as a function of temperature and the number of instars completed prior to reproductive adulthood (secondstressor),days,Trait: longevity. Definition: mean duration of adult lifespan as a function of temperature and the number of instars completed prior to reproductive adulthood (secondstressor). Unit: days.,2,3.185496533220089e-9
fecundity,total population-level number of offspring produced,offspring,Trait: fecundity. Definition: total population-level number of offspring produced. Unit: offspring.,2,0
body size (length),mean body length,mm,Trait: body size (length). Definition: mean body length. Unit: mm.,2,0
fecundity,mean lifetime progeny per female,progeny individual-1,Trait: fecundity. Definition: mean lifetime progeny per female. Unit: progeny individual-1.,2,0
body size (length),mean body length (adult),mm,Trait: body size (length). Definition: mean body length (adult). Unit: mm.,2,0
body size (mass),mean wet mass,mg,Trait: body size (mass). Definition: mean wet mass. Unit: mg.,2,0
fecundity rate (apterous),mean offspring per unit time,offspring individual-1 day-1,Trait: fecundity rate (apterous). Definition: mean offspring per unit time. Unit: offspring individual-1 day-1.,2,0
fecundity rate (alate),mean offspring per unit time,offspring individual-1 day-1,Trait: fecundity rate (alate). Definition: mean offspring per unit time. Unit: offspring individual-1 day-1.,2,0
longevity (alate),mean duration of life stage,days,Trait: longevity (alate). Definition: mean duration of life stage. Unit: days.,2,1.385319370328375e-8
development duration,period at 4th instar,days,Trait: development duration. Definition: period at 4th instar. Unit: days.,2,0
fertility,number of offspring produced,number of offspring,Trait: fertility. Definition: number of offspring produced. Unit: number of offspring.,2,0
pre-reproductive period,period of time before female aphids reproduce,days,Trait: pre-reproductive period. Definition: period of time before female aphids reproduce. Unit: days.,2,0
reproductive period,period of time where female aphids reproduce,days,Trait: reproductive period. Definition: period of time where female aphids reproduce. Unit: days.,2,0
nymph production,number of nymphs produced / female,number of nymphs produced / female,Trait: nymph production. Definition: number of nymphs produced / female. Unit: number of nymphs produced / female.,2,0
fecundity,mean of daily newborn nymph counts,mean number of nymphs,Trait: fecundity. Definition: mean of daily newborn nymph counts. Unit: mean number of nymphs.,2,1.1102230246251565e-15
pre-reproduction period,duration of developmental phases in days,days,Trait: pre-reproduction period. Definition: duration of developmental phases in days. Unit: days.,2,0
reproduction period,duration of developmental phases in days,days,Trait: reproduction period. Definition: duration of developmental phases in days. Unit: days.,2,0
post-reproduction period,duration of developmental phases in days,days,Trait: post-reproduction period. Definition: duration of developmental phases in days. Unit: days.,2,0
survival,cumulative daily survival,lx,Trait: survival. Definition: cumulative daily survival. Unit: lx.,2,0
average daily fecundity,daily fecundity of female aphids,mx,Trait: average daily fecundity. Definition: daily fecundity of female aphids. Unit: mx.,2,0
adult longevity,period from adult emergence until death,days,Trait: adult longevity. Definition: period from adult emergence until death. Unit: days.,2,0
mean fecundity,number of nymphs deposited,oviparae/gynoparae,Trait: mean fecundity. Definition: number of nymphs deposited. Unit: oviparae/gynoparae.,2,0
percent survival,percent of adult aphids that were still alive each day,percent,Trait: percent survival. Definition: percent of adult aphids that were still alive each day. Unit: percent.,2,0
longevity,adult aphid survival,days,Trait: longevity. Definition: adult aphid survival. Unit: days.,2,1.4954048181081703e-5
age-specific daily fecundity,new nymphs produced each day,mean number of nymphs,Trait: age-specific daily fecundity. Definition: new nymphs produced each day. Unit: mean number of nymphs.,2,0
feeding behavior,initiation of stylet penetration of leaf tissue,percent,Trait: feeding behavior. Definition: initiation of stylet penetration of leaf tissue. Unit: percent.,2,0
developmental time,number of days at each developmental stage,days,Trait: developmental time. Definition: number of days at each developmental stage. Unit: days.,2,3.6703512373836844e-7
mean fecundity,mean number of offspring produced by females,female/female,Trait: mean fecundity. Definition: mean number of offspring produced by females. Unit: female/female.,2,0
Pre-reproductive average,Period from birth until first molt,days,Trait: Pre-reproductive average. Definition: Period from birth until first molt. Unit: days.,2,0
Reproductive average,Period from the adult stage (genital plate appeared and the complete development of the cauda) until the end of reproduction,days,Trait: Reproductive average. Definition: Period from the adult stage (genital plate appeared and the complete development of the cauda) until the end of reproduction. Unit: days.,2,0
Reproductive average daily fecundity,the number of newborn nymphs (N1) per female per day,nymphs per day,Trait: Reproductive average daily fecundity. Definition: the number of newborn nymphs (N1) per female per day. Unit: nymphs per day.,2,0
Reproductive average total fecundity,the number of newborn nymphs (N1) per female,nymphs,Trait: Reproductive average total fecundity. Definition: the number of newborn nymphs (N1) per female. Unit: nymphs.,2,0
Post-reproductive average,period from the end of reproduction until death,days,Trait: Post-reproductive average. Definition: period from the end of reproduction until death. Unit: days.,2,0
adult longevity,lifespan of adult aphids,days,Trait: adult longevity. Definition: lifespan of adult aphids. Unit: days.,2,0
fecundity,number of aphids produced,number of offspring,Trait: fecundity. Definition: number of aphids produced. Unit: number of offspring.,2,0
body size,mean of weight (unfed),mg,Trait: body size. Definition: mean of weight (unfed). Unit: mg.,2,4.440892098500626e-16
body size,mean of weight (engorged),mg,Trait: body size. Definition: mean of weight (engorged). Unit: mg.,2,0
hypostome length,mean length of hypostome (appendage on the mouth),mm,Trait: hypostome length. Definition: mean length of hypostome (appendage on the mouth). Unit: mm.,2,0
body length,mean length (unfed ),mm,Trait: body length. Definition: mean length (unfed ). Unit: mm.,2,0
body length,mean length (engorged ),mm,Trait: body length. Definition: mean length (engorged ). Unit: mm.,2,0
body width,mean width (unfed),mm,Trait: body width. Definition: mean width (unfed). Unit: mm.,2,0
body width,mean width (engorged),mm,Trait: body width. Definition: mean width (engorged). Unit: mm.,2,0
development time,mean duration of attachment period,days,Trait: development time. Definition: mean duration of attachment period. Unit: days.,2,9.568325052278226e-7
feeding period,mean duration of feeding period,days,Trait: feeding period. Definition: mean duration of feeding period. Unit: days.,2,0
fecundity rate,maximum number of eggs produced in a single day by an individual female,eggs individual-1 day-1,Trait: fecundity rate. Definition: maximum number of eggs produced in a single day by an individual female. Unit: eggs individual-1 day-1.,2,0
peak fecundity,day post engorgement on which an individual female laid most eggs,days,Trait: peak fecundity. Definition: day post engorgement on which an individual female laid most eggs. Unit: days.,2,0
body size,mean wet mass of an individual tick post engorgement,mg,Trait: body size. Definition: mean wet mass of an individual tick post engorgement. Unit: mg.,2,0
survival rate,percentage of starved larval ticks that survived to the days listed,percent,Trait: survival rate. Definition: percentage of starved larval ticks that survived to the days listed. Unit: percent.,2,4.459765889919254e-12
Pre-Oviposition Period,Pre-oviposition period of ticks held at constant temperature,days,Trait: Pre-Oviposition Period. Definition: Pre-oviposition period of ticks held at constant temperature. Unit: days.,2,0
Oviposition Rate,mean number of eggs per female,eggs,Trait: Oviposition Rate. Definition: mean number of eggs per female. Unit: eggs.,2,0
Weight,Weight of eggs laid by an individual engorged female raised at constant temp,g,Trait: Weight. Definition: Weight of eggs laid by an individual engorged female raised at constant temp. Unit: g.,2,0
Weight,Weight of an individual engorged female in grams held at constant temperature,g,Trait: Weight. Definition: Weight of an individual engorged female in grams held at constant temperature. Unit: g.,2,0
Weight,mean weight of larvae during their feeding period,mg,Trait: Weight. Definition: mean weight of larvae during their feeding period. Unit: mg.,2,0
Weight,mean weight of nymphs during their feeding period,mg,Trait: Weight. Definition: mean weight of nymphs during their feeding period. Unit: mg.,2,0
Weight,mean weight of engorged nymphs moulting to males,mg,Trait: Weight. Definition: mean weight of engorged nymphs moulting to males. Unit: mg.,2,4.440892098500626e-16
Molting Period,number of days required for an individual engorged nymph to molt into an adult,days,Trait: Molting Period. Definition: number of days required for an individual engorged nymph to molt into an adult. Unit: days.,2,0
Feeding Period,number of days required for nymphs to fully engorge,days,Trait: Feeding Period. Definition: number of days required for nymphs to fully engorge. Unit: days.,2,0
Feeding Period of Nymphs (Days),number of days required for nymphs to fully engorge,days,Trait: Feeding Period of Nymphs (Days). Definition: number of days required for nymphs to fully engorge. Unit: days.,2,0
feeding period,mean Feeding Period in days at larval state at constant temps,days,Trait: feeding period. Definition: mean Feeding Period in days at larval state at constant temps. Unit: days.,2,0
premolting period,mean Premolting Period in days at larval state at const temps,days,Trait: premolting period. Definition: mean Premolting Period in days at larval state at const temps. Unit: days.,2,0
feeding period,mean Feeding Period in days at nymph state at constant temps,days,Trait: feeding period. Definition: mean Feeding Period in days at nymph state at constant temps. Unit: days.,2,0
premolting period,mean Premolting Period in days at nymph state at constant temps,days,Trait: premolting period. Definition: mean Premolting Period in days at nymph state at constant temps. Unit: days.,2,0
feeding period,mean Feeding Period in days at adult female state at const temps,days,Trait: feeding period. Definition: mean Feeding Period in days at adult female state at const temps. Unit: days.,2,0
preoviposition period,mean Preoviposition Period in days at adult female state at const temps,days,Trait: preoviposition period. Definition: mean Preoviposition Period in days at adult female state at const temps. Unit: days.,2,0
oviposition period,mean Oviposition Period in days at adult female state at const temps,days,Trait: oviposition period. Definition: mean Oviposition Period in days at adult female state at const temps. Unit: days.,2,0
weight,Mean weight on day of hatching,ug,Trait: weight. Definition: Mean weight on day of hatching. Unit: ug.,2,0
weight,Mean weight 14 days after hatching,ug,Trait: weight. Definition: Mean weight 14 days after hatching. Unit: ug.,2,0
weight,Mean weight on day of engorgement,ug,Trait: weight. Definition: Mean weight on day of engorgement. Unit: ug.,2,0
weight loss,Percentage loss in body weight during female prefeeding period,percent,Trait: weight loss. Definition: Percentage loss in body weight during female prefeeding period. Unit: percent.,2,0
weight,"Weight of developing Hyalomma impeltatum nymphs held at four different temperatures and 75% relative humidity""",mg,"Trait: weight. Definition: Weight of developing Hyalomma impeltatum nymphs held at four different temperatures and 75% relative humidity"". Unit: mg.",2,0
weight,Mean egg mass,mg,Trait: weight. Definition: Mean egg mass. Unit: mg.,2,0
Efficency,Percent weight transfered from engorged female at constant temperature to mass of eggs,percent,Trait: Efficency. Definition: Percent weight transfered from engorged female at constant temperature to mass of eggs. Unit: percent.,2,0
egg mass,Mean egg mass by oviposition day of females raised at constant temps,mg,Trait: egg mass. Definition: Mean egg mass by oviposition day of females raised at constant temps. Unit: mg.,2,0
hardening period,mean time for a tick to become hardened,days,Trait: hardening period. Definition: mean time for a tick to become hardened. Unit: days.,2,0
feeding period,mean time required for nymphs to feed,days,Trait: feeding period. Definition: mean time required for nymphs to feed. Unit: days.,2,1.354472090042691e-14
moulting period,mean time required for nymphs to moult,days,Trait: moulting period. Definition: mean time required for nymphs to moult. Unit: days.,2,0
engorgement period,mean time required for females to become engorged,days,Trait: engorgement period. Definition: mean time required for females to become engorged. Unit: days.,2,0
body size,mean weight of engorged tick,mg,Trait: body size. Definition: mean weight of engorged tick. Unit: mg.,2,0
egg count,mean number of eggs layed,mg,Trait: egg count. Definition: mean number of eggs layed. Unit: mg.,2,0
body size,mean weight of engored nymphs,mg,Trait: body size. Definition: mean weight of engored nymphs. Unit: mg.,2,8.881784197001252e-16
conversion efficiency,the ratio of laid eggs to engorged female body mass calculated as the sum of all eggs laid divided by the sum of all females laying eggs,ratio,Trait: conversion efficiency. Definition: the ratio of laid eggs to engorged female body mass calculated as the sum of all eggs laid divided by the sum of all females laying eggs. Unit: ratio.,2,0
survival rate,percentage of unfed adults that survive,percent,Trait: survival rate. Definition: percentage of unfed adults that survive. Unit: percent.,2,0
percent moult,percentage moulted engorged on calves,days,Trait: percent moult. Definition: percentage moulted engorged on calves. Unit: days.,2,0
premolting period,average pre-moulting period engorged on calves,days,Trait: premolting period. Definition: average pre-moulting period engorged on calves. Unit: days.,2,0
percent moult,percentage moulted engorged on rabbits,percent,Trait: percent moult. Definition: percentage moulted engorged on rabbits. Unit: percent.,2,0
engorgement period,average duration of engorgement on calves,days,Trait: engorgement period. Definition: average duration of engorgement on calves. Unit: days.,2,0
engorgement period,average duration of engorgement on rabbits,days,Trait: engorgement period. Definition: average duration of engorgement on rabbits. Unit: days.,2,0
feeding time,time required for larval ticks to reach engorgement post attachment,days,Trait: feeding time. Definition: time required for larval ticks to reach engorgement post attachment. Unit: days.,2,0
molting period,time required for engorged larval ticks to molt,days,Trait: molting period. Definition: time required for engorged larval ticks to molt. Unit: days.,2,0
pre hatching period,mean time until hatching,days,Trait: pre hatching period. Definition: mean time until hatching. Unit: days.,2,2.220446049250313e-16
hatching period,mean time from initiation to completion of hatching,days,Trait: hatching period. Definition: mean time from initiation to completion of hatching. Unit: days.,2,0
egg conversion ratio,mean weight of eggs / mean weight of engorged females,percent,Trait: egg conversion ratio. Definition: mean weight of eggs / mean weight of engorged females. Unit: percent.,2,0
questing,mean percent of ticks questing,percent,Trait: questing. Definition: mean percent of ticks questing. Unit: percent.,2,0
conversion efficiency,Mean index of conversion efficiency- (cumulative egg weight (g)/ replete female tick wt (g) )*100,percent,Trait: conversion efficiency. Definition: Mean index of conversion efficiency- (cumulative egg weight (g)/ replete female tick wt (g) )*100. Unit: percent.,2,0
egg hatch,Mean percentage of eggs hatched,percent,Trait: egg hatch. Definition: Mean percentage of eggs hatched. Unit: percent.,2,0
lipid content,median proportion of lipid content of the tick- calculated by (dried weight - lipid weight) / dried weight,NA,Trait: lipid content. Definition: median proportion of lipid content of the tick- calculated by (dried weight - lipid weight) / dried weight. Unit: NA.,2,0
Distance Traveled,Average distance covered per hour while questing,mm,Trait: Distance Traveled. Definition: Average distance covered per hour while questing. Unit: mm.,2,0
Questing Time,Mean proportion of time tick seen questing (legs spread more than 50 percent) across the 38 hours,percent,Trait: Questing Time. Definition: Mean proportion of time tick seen questing (legs spread more than 50 percent) across the 38 hours. Unit: percent.,2,0
Water loss,Water loss of ticks exposed to dry air for 24 hours,mg/cm2,Trait: Water loss. Definition: Water loss of ticks exposed to dry air for 24 hours. Unit: mg/cm2.,2,0
Weight loss,Weight loss of ticks exposed to dry air for 24 hours,percent,Trait: Weight loss. Definition: Weight loss of ticks exposed to dry air for 24 hours. Unit: percent.,2,0
Water loss,Water loss of dead engorged ticks exposed to dry air at a certain temperature for 30 mins,mg/cm2,Trait: Water loss. Definition: Water loss of dead engorged ticks exposed to dry air at a certain temperature for 30 mins. Unit: mg/cm2.,2,0
Mortality Rate,Percent mortality in engorged ticks before moulting,percent,Trait: Mortality Rate. Definition: Percent mortality in engorged ticks before moulting. Unit: percent.,2,0
Oviposition Period,Oviposition Period 1/period(day) in engorged females,days-1,Trait: Oviposition Period. Definition: Oviposition Period 1/period(day) in engorged females. Unit: days-1.,2,3.5408539241776893e-6
Pre-Oviposition Period in engorged females,Pre-Oviposition Period in engorged females,days-1,Trait: Pre-Oviposition Period in engorged females. Definition: Pre-Oviposition Period in engorged females. Unit: days-1.,2,0
Development Rate (Egg),1 / time for egg incubation across const temps,days-1,Trait: Development Rate (Egg). Definition: 1 / time for egg incubation across const temps. Unit: days-1.,2,0
Development Rate (Larva),1 / development time of Engorged Larva,days-1,Trait: Development Rate (Larva). Definition: 1 / development time of Engorged Larva. Unit: days-1.,2,0
Development Rate (Nymph),1 / development time of Engorged Nymph,days-1,Trait: Development Rate (Nymph). Definition: 1 / development time of Engorged Nymph. Unit: days-1.,2,6.927791673660977e-14
preoviposition period,Mean Pre-Oviposition Period,days,Trait: preoviposition period. Definition: Mean Pre-Oviposition Period. Unit: days.,2,0
oviposition,daily average number of eggs / female,eggs,Trait: oviposition. Definition: daily average number of eggs / female. Unit: eggs.,2,0
Body Mass,Weight of an individual engorged female,mg,Trait: Body Mass. Definition: Weight of an individual engorged female. Unit: mg.,2,0
Egg Mass,Weight of eggs laid by an individual female,mg,Trait: Egg Mass. Definition: Weight of eggs laid by an individual female. Unit: mg.,2,0
Body Mass,mean daily weight of larvae during their feeding periods,mg,Trait: Body Mass. Definition: mean daily weight of larvae during their feeding periods. Unit: mg.,2,0
Body Mass,mean daily weight of nymphs during their pharate periods,mg,Trait: Body Mass. Definition: mean daily weight of nymphs during their pharate periods. Unit: mg.,2,0
Body Mass,mean daily weight of nymphs during their feeding periods,mg,Trait: Body Mass. Definition: mean daily weight of nymphs during their feeding periods. Unit: mg.,2,0
Development Rate,percent of immature stages remaining x days after attatchment,percent,Trait: Development Rate. Definition: percent of immature stages remaining x days after attatchment. Unit: percent.,2,0
Development Rate,Percent of emerging males who develop on day X after attatchment (premolt period),percent,Trait: Development Rate. Definition: Percent of emerging males who develop on day X after attatchment (premolt period). Unit: percent.,2,0
Development Rate,Percent of emerging females who develop on day X after attatchment (premolt period),percent,Trait: Development Rate. Definition: Percent of emerging females who develop on day X after attatchment (premolt period). Unit: percent.,2,0
longevity,mean duration of life stage,days,Trait: longevity. Definition: mean duration of life stage. Unit: days.,3,0
longevity,median duration of life stage,days,Trait: longevity. Definition: median duration of life stage. Unit: days.,3,0
longevity,median adult lifespan,days,Trait: longevity. Definition: median adult lifespan. Unit: days.,3,2.2426505097428162e-14
longevity,individual-level duration of life stage,days,Trait: longevity. Definition: individual-level duration of life stage. Unit: days.,3,0
longevity,duration for 50% mortality,days,Trait: longevity. Definition: duration for 50% mortality. Unit: days.,3,7.235075871747654e-9
longevity,mean duration of life stage as a function of body size,days,Trait: longevity. Definition: mean duration of life stage as a function of body size. Unit: days.,3,0
longevity,mean duration of life,days,Trait: longevity. Definition: mean duration of life. Unit: days.,3,0
longevity,percent not surviving life stage,days,Trait: longevity. Definition: percent not surviving life stage. Unit: days.,3,1.0608047440463508e-8
longevity,mean rate of life stage completion,days,Trait: longevity. Definition: mean rate of life stage completion. Unit: days.,3,4.951594689828198e-14
longevity (apterous),mean duration of life stage,days,Trait: longevity (apterous). Definition: mean duration of life stage. Unit: days.,3,9.42845801432668e-11
adult longevity,lifespan over time,days,Trait: adult longevity. Definition: lifespan over time. Unit: days.,3,6.274144567494089e-4
mean longevity,mean lifespan in days,days,Trait: mean longevity. Definition: mean lifespan in days. Unit: days.,3,3.5420473647462813e-6
Longevity,"sum of all life stage periods in study (pre-reproductive, reproductive, and post-reproductive)",days,"Trait: Longevity. Definition: sum of all life stage periods in study (pre-reproductive, reproductive, and post-reproductive). Unit: days.",3,2.4224921957305412e-8
longevity,individual-level duration of adult female life stage,days,Trait: longevity. Definition: individual-level duration of adult female life stage. Unit: days.,3,9.956480084838404e-13
ovipositional period,mean duration of life stage,days,Trait: ovipositional period. Definition: mean duration of life stage. Unit: days.,4,0
ovipositional period,mean duration of reproductive period,days,Trait: ovipositional period. Definition: mean duration of reproductive period. Unit: days.,4,0
ovipositional period,mean duration of ovipositional period,days,Trait: ovipositional period. Definition: mean duration of ovipositional period. Unit: days.,4,0
oviposition period,mean duration of life stage,days,Trait: oviposition period. Definition: mean duration of life stage. Unit: days.,4,0
oviposition,period of oviposition in days,days,Trait: oviposition. Definition: period of oviposition in days. Unit: days.,4,0
ovipositional period,individual-level duration of reproductive period,days,Trait: ovipositional period. Definition: individual-level duration of reproductive period. Unit: days.,4,8.881784197001252e-16
oviposition,Mean ovipostion period in days,days,Trait: oviposition. Definition: Mean ovipostion period in days. Unit: days.,4,0
mortality,percent not surviving life stage,percent,Trait: mortality. Definition: percent not surviving life stage. Unit: percent.,5,0
mortality,percentage not surviving life stage,percent,Trait: mortality. Definition: percentage not surviving life stage. Unit: percent.,5,0
mortality,mean percent not surviving life stage,percent,Trait: mortality. Definition: mean percent not surviving life stage. Unit: percent.,5,0
pre-oviposition period,mean duration from adult emergence to onset of reproduction,days,Trait: pre-oviposition period. Definition: mean duration from adult emergence to onset of reproduction. Unit: days.,6,0
preoviposition period,mean duration of prereproductive period (end of feeding until oviposition),days,Trait: preoviposition period. Definition: mean duration of prereproductive period (end of feeding until oviposition). Unit: days.,6,0
preoviposition period,mean duration of period before oviposition,days,Trait: preoviposition period. Definition: mean duration of period before oviposition. Unit: days.,6,0
preoviposition period,mean duration of life stage,days,Trait: preoviposition period. Definition: mean duration of life stage. Unit: days.,6,0
preoviposition period,mean duration from adult emergence to onset of reproduction,days,Trait: preoviposition period. Definition: mean duration from adult emergence to onset of reproduction. Unit: days.,6,0
total preoviposition period,mean duration from egg to onset of reproduction,days,Trait: total preoviposition period. Definition: mean duration from egg to onset of reproduction. Unit: days.,6,7.718270467194088e-13
preoviposition period,mean days in preoviposition,days,Trait: preoviposition period. Definition: mean days in preoviposition. Unit: days.,6,0
preoviposition period,individual-level duration of prereproductive period (end of feeding until oviposition),days,Trait: preoviposition period. Definition: individual-level duration of prereproductive period (end of feeding until oviposition). Unit: days.,6,3.228528555609955e-13
preoviposition period,mean time required for an engorged female tick to begin laying eggs,days,Trait: preoviposition period. Definition: mean time required for an engorged female tick to begin laying eggs. Unit: days.,6,3.062456066516006e-9
preoviposition period,mean time until onset of oviposition,days,Trait: preoviposition period. Definition: mean time until onset of oviposition. Unit: days.,6,0
preoviposition,Mean preoviposition period in days,days,Trait: preoviposition. Definition: Mean preoviposition period in days. Unit: days.,6,0
fecundity rate,mean eggs individual-1 day-1,eggs individual-1 day-1,Trait: fecundity rate. Definition: mean eggs individual-1 day-1. Unit: eggs individual-1 day-1.,7,0
fecundity rate,mean eggs per unit time,eggs individual-1 day-1,Trait: fecundity rate. Definition: mean eggs per unit time. Unit: eggs individual-1 day-1.,7,0
fecundity rate,mean number of eggs individual-1 day-1,eggs individual-1 day-1,Trait: fecundity rate. Definition: mean number of eggs individual-1 day-1. Unit: eggs individual-1 day-1.,7,0
fecundity rate,mean eggs produced by an individual female per day,eggs individual-1 day-1,Trait: fecundity rate. Definition: mean eggs produced by an individual female per day. Unit: eggs individual-1 day-1.,7,0
fecundity rate,mean offspring per day,eggs individual-1 day-1,Trait: fecundity rate. Definition: mean offspring per day. Unit: eggs individual-1 day-1.,8,0
fecundity rate,mean offspring per unit time,offspring individual-1 day-1,Trait: fecundity rate. Definition: mean offspring per unit time. Unit: offspring individual-1 day-1.,8,0
fecundity rate,mean lifetime offspring,offspring individual-1 day-1,Trait: fecundity rate. Definition: mean lifetime offspring. Unit: offspring individual-1 day-1.,8,0
fecundity,mean offspring per reproduction day,offspring individual-1 day-1,Trait: fecundity. Definition: mean offspring per reproduction day. Unit: offspring individual-1 day-1.,8,0
fecundity rate,mean number of offspring per reproductive cycle,offspring individual-1 cycle-1,Trait: fecundity rate. Definition: mean number of offspring per reproductive cycle. Unit: offspring individual-1 cycle-1.,8,4.440892098500626e-16
fecundity rate,mean offspring per reproduction day,offspring individual-1 day-1,Trait: fecundity rate. Definition: mean offspring per reproduction day. Unit: offspring individual-1 day-1.,8,0
body size,mean wing length (mm),mm,Trait: body size. Definition: mean wing length (mm). Unit: mm.,9,0
body size,mean wing length,mm,Trait: body size. Definition: mean wing length. Unit: mm.,9,0
development rate,mean rate of life stage completion,days-1,Trait: development rate. Definition: mean rate of life stage completion. Unit: days-1.,10,0
development rate,rate of life stage completion,days-1,Trait: development rate. Definition: rate of life stage completion. Unit: days-1.,10,0
development rate,individual-level rate of life stage completion,days-1,Trait: development rate. Definition: individual-level rate of life stage completion. Unit: days-1.,10,0
fecundity,mean lifetime eggs individual-1,eggs individual-1,Trait: fecundity. Definition: mean lifetime eggs individual-1. Unit: eggs individual-1.,11,0
fecundity,mean lifetime eggs per 10 individuals,eggs 10 individuals-1,Trait: fecundity. Definition: mean lifetime eggs per 10 individuals. Unit: eggs 10 individuals-1.,11,0
fecundity,mean lifetime eggs per individual,eggs individual-1,Trait: fecundity. Definition: mean lifetime eggs per individual. Unit: eggs individual-1.,11,0
fecundity,mean lifetime eggs,eggs individual-1,Trait: fecundity. Definition: mean lifetime eggs. Unit: eggs individual-1.,11,0
fecundity,mean lifetime eggs laid per female,eggs individual-1,Trait: fecundity. Definition: mean lifetime eggs laid per female. Unit: eggs individual-1.,11,0
fecundity,mean lifetime eggs produced by an individual female,eggs individual-1,Trait: fecundity. Definition: mean lifetime eggs produced by an individual female. Unit: eggs individual-1.,11,0
fecundity,mean liftetime eggs,eggs individual-1,Trait: fecundity. Definition: mean liftetime eggs. Unit: eggs individual-1.,11,0
fecundity,mean number of eggs per cycle,eggs individual-1 cycle-1,Trait: fecundity. Definition: mean number of eggs per cycle. Unit: eggs individual-1 cycle-1.,12,0
fecundity,mean number of eggs per cycle (1st),eggs individual-1 cycle-1,Trait: fecundity. Definition: mean number of eggs per cycle (1st). Unit: eggs individual-1 cycle-1.,12,0
fecundity rate,maximum progengy individual-1 day-1,progeny individual-1 day-1,Trait: fecundity rate. Definition: maximum progengy individual-1 day-1. Unit: progeny individual-1 day-1.,13,0
fecundity rate,mean progeny per unit time,progeny individual-1 day-1,Trait: fecundity rate. Definition: mean progeny per unit time. Unit: progeny individual-1 day-1.,13,0
fecundity rate,mean maximum progeny per unit time,progeny individual-1 day-1,Trait: fecundity rate. Definition: mean maximum progeny per unit time. Unit: progeny individual-1 day-1.,13,0
fecundity rate,maximum progeny per unit time,progeny individual-1 day-1,Trait: fecundity rate. Definition: maximum progeny per unit time. Unit: progeny individual-1 day-1.,13,0
age at first reproduction,mean age at first reproduction,days,Trait: age at first reproduction. Definition: mean age at first reproduction. Unit: days.,14,0
age at first reproduction,mean duration of life stage,days,Trait: age at first reproduction. Definition: mean duration of life stage. Unit: days.,14,0
age at first reproduction,mean duration from birth to onset of reproduction,days,Trait: age at first reproduction. Definition: mean duration from birth to onset of reproduction. Unit: days.,14,0
age at first reproduction,mean age at the onset of reproduction,days,Trait: age at first reproduction. Definition: mean age at the onset of reproduction. Unit: days.,14,0
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of growth temperature,minutes,Trait: chill-coma recovery time. Definition: mean duration for individuals to regain full movement after being cold shocked as function of growth temperature. Unit: minutes.,15,0
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of adult temperature,minutes,Trait: chill-coma recovery time. Definition: mean duration for individuals to regain full movement after being cold shocked as function of adult temperature. Unit: minutes.,15,0
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature,minutes,Trait: heat knockdown time. Definition: mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature. Unit: minutes.,16,0
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature,minutes,Trait: heat knockdown time. Definition: mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature. Unit: minutes.,16,0
hatchability,mean percentage of eggs hatching,percent,Trait: hatchability. Definition: mean percentage of eggs hatching. Unit: percent.,17,0
hatchability,the percent of laid eggs that successfully hatched,percent,Trait: hatchability. Definition: the percent of laid eggs that successfully hatched. Unit: percent.,17,0
hatchability,percent of eggs successfully hatching based on the day of oviposition during which it was laid,percent,Trait: hatchability. Definition: percent of eggs successfully hatching based on the day of oviposition during which it was laid. Unit: percent.,17,0
hatchability,percent surviving life stage,percent,Trait: hatchability. Definition: percent surviving life stage. Unit: percent.,17,0
incubation period,mean duration of egg incubation period (lay to hatching),days,Trait: incubation period. Definition: mean duration of egg incubation period (lay to hatching). Unit: days.,18,0
