OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,ConOrder,ConFamily,ConStage,text,version,cluster_id
Escape Jump Contact Time,Time that a resource exerts force on substrate during an escape jump,second / 1 individual,NA,NA,NA,Trait: Escape Jump Contact Time. Definition: Time that a resource exerts force on substrate during an escape jump. Unit: second / 1 individual.,v5,-1
Escape Jump Distance,Distance animal travels in a single jump for escape,centimeter / 1 individual,Primates,Hominidae,adult,Trait: Escape Jump Distance. Definition: Distance animal travels in a single jump for escape. Unit: centimeter / 1 individual. Organism order: Primates. Organism family: Hominidae.,v5,-1
Square Root-Linear Gut Clearance Rate,The slope of the regression of square root gut content mass versus time,event / (1 individual * 1 hour),Pleuronectiformes,Pleuronectidae,juvenile,Trait: Square Root-Linear Gut Clearance Rate. Definition: The slope of the regression of square root gut content mass versus time. Unit: event / (1 individual * 1 hour). Organism order: Pleuronectiformes. Organism family: Pleuronectidae.,v5,2
Foraging Gill Beat Rate,Rate of beating cilia on gill within live consumer (measured by direct examination of cilia),event / (1 individual * 1 second),Veneroida,Semelidae,juvenile,Trait: Foraging Gill Beat Rate. Definition: Rate of beating cilia on gill within live consumer (measured by direct examination of cilia). Unit: event / (1 individual * 1 second). Organism order: Veneroida. Organism family: Semelidae.,v5,-1
Surface Area-Specific Foraging Gill Filtration Rate,"Area-specific volumetric flow rate of water across the gills of a filter feeding organism (flow rate measured directly, or by the clearance method where flow rate is estimated by the volume of water cleared of material per time)",milliliter / (1 square centimeter * 1 minute),Mytiloida,Mytilidae,adult,"Trait: Surface Area-Specific Foraging Gill Filtration Rate. Definition: Area-specific volumetric flow rate of water across the gills of a filter feeding organism (flow rate measured directly, or by the clearance method where flow rate is estimated by the volume of water cleared of material per time). Unit: milliliter / (1 square centimeter * 1 minute). Organism order: Mytiloida. Organism family: Mytilidae.",v5,-1
Linear-Linear Gut Clearance Rate,The slope of the regression of gut content mass per consumer individual per time,event / (1 individual * 1 minute),Calanoida,Centropagidae,adult,Trait: Linear-Linear Gut Clearance Rate. Definition: The slope of the regression of gut content mass per consumer individual per time. Unit: event / (1 individual * 1 minute). Organism order: Calanoida. Organism family: Centropagidae.,v5,2
Grazing Rate,The area grazed per consumer individual per time,square millimeter / (1 individual * 24 hour),Trichoptera,Glossosomatidae,larvae,Trait: Grazing Rate. Definition: The area grazed per consumer individual per time. Unit: square millimeter / (1 individual * 24 hour). Organism order: Trichoptera. Organism family: Glossosomatidae.,v5,-1
Chlorophyll-a-Specific Carbon Production Rate,"Production rate of carbon by a primary producer, measured as mass of carbon produced per mass of chlorophyll-a per time",milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),NA,NA,NA,"Trait: Chlorophyll-a-Specific Carbon Production Rate. Definition: Production rate of carbon by a primary producer, measured as mass of carbon produced per mass of chlorophyll-a per time. Unit: milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour).",v5,-1
In Vitro Gill Beat Rate,Rate of cilia beating cilia on gill fragments removed from the organism (measured by direct examination of cilia),event / 1 second,Veneroida,Dreissenidae,adult,Trait: In Vitro Gill Beat Rate. Definition: Rate of cilia beating cilia on gill fragments removed from the organism (measured by direct examination of cilia). Unit: event / 1 second. Organism order: Veneroida. Organism family: Dreissenidae.,v5,-1
Escape Stroke Peak Force,Force attained on the substrate by the resource during a locomotory stroke for escape,micronewton / 1 individual,NA,NA,NA,Trait: Escape Stroke Peak Force. Definition: Force attained on the substrate by the resource during a locomotory stroke for escape. Unit: micronewton / 1 individual.,v5,10
Escape Stroke Peak Force Rate,The ratio of the magnitude of the first clear peak in force divided by the rise time during a stroke by a resource during escape,micronewton / (1 individual * 1 millisecond),NA,NA,NA,Trait: Escape Stroke Peak Force Rate. Definition: The ratio of the magnitude of the first clear peak in force divided by the rise time during a stroke by a resource during escape. Unit: micronewton / (1 individual * 1 millisecond).,v5,-1
Escape Stroke Rate,Rate of locomotory strokes of a resource individual during escape,event / (1 individual * 1 second),NA,NA,NA,Trait: Escape Stroke Rate. Definition: Rate of locomotory strokes of a resource individual during escape. Unit: event / (1 individual * 1 second).,v5,10
Voluntary Eye Saccade Angular Velocity,"Angular velocity of fast eye movements, or saccade velocity, of an individual organism during voluntary activity",degree / (1 individual * 1 second),Perciformes,Kyphosidae,adult,"Trait: Voluntary Eye Saccade Angular Velocity. Definition: Angular velocity of fast eye movements, or saccade velocity, of an individual organism during voluntary activity. Unit: degree / (1 individual * 1 second). Organism order: Perciformes. Organism family: Kyphosidae.",v5,-1
Voluntary Wing Beat Rate,Rate of wing beating in a flying organism with no apparent stimulus,event / (1 individual * 1 second),Coleoptera,Coccinellidae,adult,Trait: Voluntary Wing Beat Rate. Definition: Rate of wing beating in a flying organism with no apparent stimulus. Unit: event / (1 individual * 1 second). Organism order: Coleoptera. Organism family: Coccinellidae.,v5,-1
Point-Encounter Rate,Number of crossings across an artificial line by an organism per time,event / (1 individual * 1 hour),Decapoda,Nephropidae,adult,Trait: Point-Encounter Rate. Definition: Number of crossings across an artificial line by an organism per time. Unit: event / (1 individual * 1 hour). Organism order: Decapoda. Organism family: Nephropidae.,v5,11
'Consumer-Disorientation' Defence Probability,"Probability that each resource from a population will exhibit 'consumer disorienting' behaviour when attacked (i.e., consists of the resource stopping suddenly and reversing its direction so it faces the direction from which it was being attacked)",percent / 1 individual,Primates,Hominidae,adult,"Trait: 'Consumer-Disorientation' Defence Probability. Definition: Probability that each resource from a population will exhibit 'consumer disorienting' behaviour when attacked (i.e., consists of the resource stopping suddenly and reversing its direction so it faces the direction from which it was being attacked). Unit: percent / 1 individual. Organism order: Primates. Organism family: Hominidae.",v5,12
In Vitro Muscle Power Output,Power output of muscle measured in muscle removed from animal,watt / 1 kilogram (muscle mass - wet),Lepidoptera,Sphingidae,adult,Trait: In Vitro Muscle Power Output. Definition: Power output of muscle measured in muscle removed from animal. Unit: watt / 1 kilogram (muscle mass - wet). Organism order: Lepidoptera. Organism family: Sphingidae.,v5,5
In Vitro Muscle Optimal Rate,Optimal rate corresponding to the maximum power output of the muscle,event / 1 second,Lepidoptera,Sphingidae,adult,Trait: In Vitro Muscle Optimal Rate. Definition: Optimal rate corresponding to the maximum power output of the muscle. Unit: event / 1 second. Organism order: Lepidoptera. Organism family: Sphingidae.,v5,5
In Vitro Muscle Work Per Cycle,Muscle work per cycle at optimal frequency measured in excised muscle,joule / 1 kilogram (muscle mass - wet),Lepidoptera,Sphingidae,adult,Trait: In Vitro Muscle Work Per Cycle. Definition: Muscle work per cycle at optimal frequency measured in excised muscle. Unit: joule / 1 kilogram (muscle mass - wet). Organism order: Lepidoptera. Organism family: Sphingidae.,v5,-1
In Vitro Muscle Optimal Strain,Strain at which the power output of the muscle is maximum,percent,Lepidoptera,Sphingidae,adult,Trait: In Vitro Muscle Optimal Strain. Definition: Strain at which the power output of the muscle is maximum. Unit: percent. Organism order: Lepidoptera. Organism family: Sphingidae.,v5,5
In Vitro Muscle Optimal Phase,Phase at which the power output of the muscle is maximum in muscle removed from organism,percent,Lepidoptera,Sphingidae,adult,Trait: In Vitro Muscle Optimal Phase. Definition: Phase at which the power output of the muscle is maximum in muscle removed from organism. Unit: percent. Organism order: Lepidoptera. Organism family: Sphingidae.,v5,5
Voluntary Tongue Flick Strike Duration Rate,Rate of up-and-down motions or cycles of the tongue per flick in an organism with no obvious stimulus,event / (1 individual * 1 second),Squamata,Colubridae,adult,Trait: Voluntary Tongue Flick Strike Duration Rate. Definition: Rate of up-and-down motions or cycles of the tongue per flick in an organism with no obvious stimulus. Unit: event / (1 individual * 1 second). Organism order: Squamata. Organism family: Colubridae.,v5,-1
Digestion Rate,Rate of digestion of ingested material expressed as resource number per consumer number per time,individual / 1 day,Squamata,Colubridae,adult,Trait: Digestion Rate. Definition: Rate of digestion of ingested material expressed as resource number per consumer number per time. Unit: individual / 1 day. Organism order: Squamata. Organism family: Colubridae.,v5,9
Nest Provisioning Rate,Number of resource bought back to the nest for consumption (for itself or its young) by a consumer per time,individual / (1 individual * 1 day),Accipitriformes,Accipitridae,adult,Trait: Nest Provisioning Rate. Definition: Number of resource bought back to the nest for consumption (for itself or its young) by a consumer per time. Unit: individual / (1 individual * 1 day). Organism order: Accipitriformes. Organism family: Accipitridae.,v5,-1
Resource Size Capture Intent Acceptance Probability,Proportion of times that a 6 mg resource item was accepted when presented to a consumer after a captured 32 mg resource was taken from it,proportion / 1 individual,Hymenoptera,Formicidae,adult (worker),Trait: Resource Size Capture Intent Acceptance Probability. Definition: Proportion of times that a 6 mg resource item was accepted when presented to a consumer after a captured 32 mg resource was taken from it. Unit: proportion / 1 individual. Organism order: Hymenoptera. Organism family: Formicidae.,v5,-1
Voluntary Tail Beat Velocity,Tail velocity in the traverse plane (perpendicular to the anteriorÐposterior axis of the organism) during voluntary movement,millimeter / (1 individual * 1 second),Clupeiformes,Clupeidae,larvae,Trait: Voluntary Tail Beat Velocity. Definition: Tail velocity in the traverse plane (perpendicular to the anteriorÐposterior axis of the organism) during voluntary movement. Unit: millimeter / (1 individual * 1 second). Organism order: Clupeiformes. Organism family: Clupeidae.,v5,10
Foraging Submergence Duration,Mean duration of periods when consumer swims underwater while foraging,minute / 1 individual,Hemiptera,Notonectidae,adult,Trait: Foraging Submergence Duration. Definition: Mean duration of periods when consumer swims underwater while foraging. Unit: minute / 1 individual. Organism order: Hemiptera. Organism family: Notonectidae.,v5,6
Foraging Submergence Time,Time spent submerged in water from total observation time (can include multiple foraging bouts or a part of a single bout),minute / 1 individual,Hemiptera,Notonectidae,adult,Trait: Foraging Submergence Time. Definition: Time spent submerged in water from total observation time (can include multiple foraging bouts or a part of a single bout). Unit: minute / 1 individual. Organism order: Hemiptera. Organism family: Notonectidae.,v5,6
Voluntary Stroke Rate,Stroke rate of an organism during voluntary locomotion,event / (1 individual * 5 minute),Hemiptera,Notonectidae,adult,Trait: Voluntary Stroke Rate. Definition: Stroke rate of an organism during voluntary locomotion. Unit: event / (1 individual * 5 minute). Organism order: Hemiptera. Organism family: Notonectidae.,v5,10
Attack-Field Encounter Rate,Rate of encounter of resource with its consumer's known attack field per resource per time,event / (1 individual * 60 minute),NA,NA,NA,Trait: Attack-Field Encounter Rate. Definition: Rate of encounter of resource with its consumer's known attack field per resource per time. Unit: event / (1 individual * 60 minute).,v5,-1
Strike-Field Encounter Rate,Rate of encounter of a resource with consumers known strike field,event / (1 individual * 60 minute),NA,NA,NA,Trait: Strike-Field Encounter Rate. Definition: Rate of encounter of a resource with consumers known strike field. Unit: event / (1 individual * 60 minute).,v5,11
Subjugation-through-Consumption Time,Total amount of time a consumer spends subduing and eating resource (within a fraction of a single foraging bout or over several foraging bouts),hour / 1 individual,Sorbeoconcha,Muricidae,adult,Trait: Subjugation-through-Consumption Time. Definition: Total amount of time a consumer spends subduing and eating resource (within a fraction of a single foraging bout or over several foraging bouts). Unit: hour / 1 individual. Organism order: Sorbeoconcha. Organism family: Muricidae.,v5,12
Post-Feeding Time,"Time animal spends in between meals (includes all other activities, including non-feeding activities)",day / 1 individual,Sorbeoconcha,Muricidae,adult,"Trait: Post-Feeding Time. Definition: Time animal spends in between meals (includes all other activities, including non-feeding activities). Unit: day / 1 individual. Organism order: Sorbeoconcha. Organism family: Muricidae.",v5,-1
Intraspecific Confrontation Probability,Proportion of time organism spends in intraspecific confrontations out of total observation time,proportion / 1 individual,Coleoptera,Carabidae,adult,Trait: Intraspecific Confrontation Probability. Definition: Proportion of time organism spends in intraspecific confrontations out of total observation time. Unit: proportion / 1 individual. Organism order: Coleoptera. Organism family: Carabidae.,v5,-1
Attack-Field Encounter Density Rate,Rate of encounter of a resource individual with its consumer's known attack field (measured experimentally or estimated from the literature),event / (1 individual * 30 minute),Hemiptera,Naucoridae,adult,Trait: Attack-Field Encounter Density Rate. Definition: Rate of encounter of a resource individual with its consumer's known attack field (measured experimentally or estimated from the literature). Unit: event / (1 individual * 30 minute). Organism order: Hemiptera. Organism family: Naucoridae.,v5,11
Attack-Field Reaction Probability,"Proportion of times a consumer reacts (i.e., orients or moves toward) to a resource entering its attack field",proportion,Hemiptera,Naucoridae,adult,"Trait: Attack-Field Reaction Probability. Definition: Proportion of times a consumer reacts (i.e., orients or moves toward) to a resource entering its attack field. Unit: proportion. Organism order: Hemiptera. Organism family: Naucoridae.",v5,-1
Population Catchability,Number of resources caught in baited fishing traps per number of traps set per time,event / (1 individual * 2400 hour),Decapoda,Nephropidae,adult,Trait: Population Catchability. Definition: Number of resources caught in baited fishing traps per number of traps set per time. Unit: event / (1 individual * 2400 hour). Organism order: Decapoda. Organism family: Nephropidae.,v5,-1
Cilia Flow Velocity,Velocity of the water flow in filter feeders that results from the beating of cilia measured in a live animal,micrometer / (1 individual * 1 second),Clypeasteroida,Dendrasteridae,juvenile,Trait: Cilia Flow Velocity. Definition: Velocity of the water flow in filter feeders that results from the beating of cilia measured in a live animal. Unit: micrometer / (1 individual * 1 second). Organism order: Clypeasteroida. Organism family: Dendrasteridae.,v5,-1
Food Assimilation Efficiency,Efficiency of a consumer of digesting ingested energy (expressed as the amount of energy that is digested in proportion to that which is ingested),percent / 1 individual,Squamata,Phrynosomatidae,adult,Trait: Food Assimilation Efficiency. Definition: Efficiency of a consumer of digesting ingested energy (expressed as the amount of energy that is digested in proportion to that which is ingested). Unit: percent / 1 individual. Organism order: Squamata. Organism family: Phrynosomatidae.,v5,-1
Consumption Probability of Trial,Proportion of experimental trials in which resource was consumed to total number of trials (each trial consisted of multiple opportunities of a single consumer to attack multiple resources so probably represents real limits to resource consumption),proportion / 1 individual,Hemiptera,Notonectidae,adult,Trait: Consumption Probability of Trial. Definition: Proportion of experimental trials in which resource was consumed to total number of trials (each trial consisted of multiple opportunities of a single consumer to attack multiple resources so probably represents real limits to resource consumption). Unit: proportion / 1 individual. Organism order: Hemiptera. Organism family: Notonectidae.,v5,12
In Vitro Muscle Isometric Tension,Isometric tension of muscle measured in muscle removed from live animal,kilonewton / 1 square meter,Scorpaeniformes,Cottidae,adult,Trait: In Vitro Muscle Isometric Tension. Definition: Isometric tension of muscle measured in muscle removed from live animal. Unit: kilonewton / 1 square meter. Organism order: Scorpaeniformes. Organism family: Cottidae.,v5,-1
In Vitro Muscle Shortening Velocity,Velocity of muscle shortening measured in muscle removed from animal,muscle length / 1 second,Scorpaeniformes,Cottidae,adult,Trait: In Vitro Muscle Shortening Velocity. Definition: Velocity of muscle shortening measured in muscle removed from animal. Unit: muscle length / 1 second. Organism order: Scorpaeniformes. Organism family: Cottidae.,v5,-1
Eggs-Per-Parasitoid Parasitization Rate,Number of eggs laid per parasitoid on a population of hosts per time,event / (20 individual * 24 hour),Hymenoptera,Eulophidae,adult,Trait: Eggs-Per-Parasitoid Parasitization Rate. Definition: Number of eggs laid per parasitoid on a population of hosts per time. Unit: event / (20 individual * 24 hour). Organism order: Hymenoptera. Organism family: Eulophidae.,v5,0
Egg-Per-Host Parasitization Rate,Number of eggs laid per host by parasitoid's per time,event / (1 individual * 1 individual * 24 hour),Hymenoptera,Eulophidae,adult,Trait: Egg-Per-Host Parasitization Rate. Definition: Number of eggs laid per host by parasitoid's per time. Unit: event / (1 individual * 1 individual * 24 hour). Organism order: Hymenoptera. Organism family: Eulophidae.,v5,0
Escape Body Velocity Probability,Velocity of the whole body during escape burst movement (expressed as the ratio of sprint velocity of an individual to the maximum velocity of that individual in all trials at all temperatures),percent / 1 individual,NA,NA,NA,Trait: Escape Body Velocity Probability. Definition: Velocity of the whole body during escape burst movement (expressed as the ratio of sprint velocity of an individual to the maximum velocity of that individual in all trials at all temperatures). Unit: percent / 1 individual.,v5,7
Line -Encounter Rate,Encounter rate of individuals in a population moving past an arbitrary line per time,event / 2 minute,Hymenoptera,Formicidae,adult (worker),Trait: Line -Encounter Rate. Definition: Encounter rate of individuals in a population moving past an arbitrary line per time. Unit: event / 2 minute. Organism order: Hymenoptera. Organism family: Formicidae.,v5,11
Log-Linear Gut Clearance Rate,The slope of the regression of log gut content mass per consumer individual per time,event / (1 individual * 1 minute),Calanoida,Temoridae,adult,Trait: Log-Linear Gut Clearance Rate. Definition: The slope of the regression of log gut content mass per consumer individual per time. Unit: event / (1 individual * 1 minute). Organism order: Calanoida. Organism family: Temoridae.,v5,2
Mass-Specific Oxygen Mass Scope For Activity,Amount of oxygen available for use for activity by an organism measured as mass of oxygen per organism mass per time,milligram / (1 kilogram (body mass - wet) * 1 hour),Salmoniformes,Salmonidae,adult,Trait: Mass-Specific Oxygen Mass Scope For Activity. Definition: Amount of oxygen available for use for activity by an organism measured as mass of oxygen per organism mass per time. Unit: milligram / (1 kilogram (body mass - wet) * 1 hour). Organism order: Salmoniformes. Organism family: Salmonidae.,v5,-1
Feeding Heart Beat Rate,Mean number of times heart beats per time while a consumer individual is filter feeding,event / (1 individual * 1 minute),Ostreoida,Ostreidae,adult,Trait: Feeding Heart Beat Rate. Definition: Mean number of times heart beats per time while a consumer individual is filter feeding. Unit: event / (1 individual * 1 minute). Organism order: Ostreoida. Organism family: Ostreidae.,v5,-1
Voluntary Moving Time,Total time organism spends physically moving through space measured over observation time,second / 1 individual,Perciformes,Sciaenidae,juvenile,Trait: Voluntary Moving Time. Definition: Total time organism spends physically moving through space measured over observation time. Unit: second / 1 individual. Organism order: Perciformes. Organism family: Sciaenidae.,v5,4
Foraging Pause Rate,Rate of pauses during a fraction of a single foraging bout per consumer individual (assumed to be important to saltatory consumers in which movement is interspersed with periods of brief pauses during which searching occurs),event / (1 individual * 300 second),Perciformes,Sciaenidae,juvenile,Trait: Foraging Pause Rate. Definition: Rate of pauses during a fraction of a single foraging bout per consumer individual (assumed to be important to saltatory consumers in which movement is interspersed with periods of brief pauses during which searching occurs). Unit: event / (1 individual * 300 second). Organism order: Perciformes. Organism family: Sciaenidae.,v5,4
Voluntary Pause Time,Duration of pauses during voluntary movement (assumed to be important to saltatory consumers in which movement is interspersed with brief pauses during which searching occurs),second / 1 individual,Perciformes,Sciaenidae,juvenile,Trait: Voluntary Pause Time. Definition: Duration of pauses during voluntary movement (assumed to be important to saltatory consumers in which movement is interspersed with brief pauses during which searching occurs). Unit: second / 1 individual. Organism order: Perciformes. Organism family: Sciaenidae.,v5,4
Sediment Mass Processing Rate,Mass of sediment ingested and processed for food by a deposit feeder per time (in general most of what is ingested in non-digestible inorganic sediment),gram (body mass - dry) / (1 individual * 1 day),Canalipalpata,Pectinariidae,adult,Trait: Sediment Mass Processing Rate. Definition: Mass of sediment ingested and processed for food by a deposit feeder per time (in general most of what is ingested in non-digestible inorganic sediment). Unit: gram (body mass - dry) / (1 individual * 1 day). Organism order: Canalipalpata. Organism family: Pectinariidae.,v5,-1
Strike Body Acceleration,Acceleration of a consumer's head during a strike at a resource,meter / (1 second * 1 second),Squamata,Colubridae,adult,Trait: Strike Body Acceleration. Definition: Acceleration of a consumer's head during a strike at a resource. Unit: meter / (1 second * 1 second). Organism order: Squamata. Organism family: Colubridae.,v5,-1
Strike Duration,Time taken for a consumer to complete a strike,second / 1 individual,Squamata,Colubridae,adult,Trait: Strike Duration. Definition: Time taken for a consumer to complete a strike. Unit: second / 1 individual. Organism order: Squamata. Organism family: Colubridae.,v5,10
Voluntary Heart Beat Rate,Heart beat rate measured in an intact organism that is voluntarily stationary,event / (1 individual * 1 minute),Anura,Ranidae,adult,Trait: Voluntary Heart Beat Rate. Definition: Heart beat rate measured in an intact organism that is voluntarily stationary. Unit: event / (1 individual * 1 minute). Organism order: Anura. Organism family: Ranidae.,v5,10
Subjugation-Consumption Body Contraction Rate,Rate of body contractions for locomotion of a consumer during subjugation and consumption of resources,event / (1 individual * 1 minute),Semaeostomeae,Ulmaridae,juvenile,Trait: Subjugation-Consumption Body Contraction Rate. Definition: Rate of body contractions for locomotion of a consumer during subjugation and consumption of resources. Unit: event / (1 individual * 1 minute). Organism order: Semaeostomeae. Organism family: Ulmaridae.,v5,12
'Mouth Gape' Defence  Probability,"Probability that each resource from a population will gape its mouth when attacked by a consumer (i.e., resource held its ground and gaped and lunged to bite if the consumer approached too closely)",proportion / 1 individual,Primates,Hominidae,adult,"Trait: 'Mouth Gape' Defence  Probability. Definition: Probability that each resource from a population will gape its mouth when attacked by a consumer (i.e., resource held its ground and gaped and lunged to bite if the consumer approached too closely). Unit: proportion / 1 individual. Organism order: Primates. Organism family: Hominidae.",v5,-1
In Vitro Muscle 50% Relaxation Time,Time interval from peak twitch until 50 percent relaxation of muscle removed from the organism,millisecond,Cypriniformes,Cyprinidae,adult,Trait: In Vitro Muscle 50% Relaxation Time. Definition: Time interval from peak twitch until 50 percent relaxation of muscle removed from the organism. Unit: millisecond. Organism order: Cypriniformes. Organism family: Cyprinidae.,v5,5
Escape Angular Rate of Body Turning,Velocity of the turning of the snout of the animal relative to the mid-point throughout movement for locomotion,degree / (1 individual * 1 millisecond),NA,NA,NA,Trait: Escape Angular Rate of Body Turning. Definition: Velocity of the turning of the snout of the animal relative to the mid-point throughout movement for locomotion. Unit: degree / (1 individual * 1 millisecond).,v5,-1
Escape Jump Rate,Jump rate of a resource during escape locomotion,event / (1 individual * 1 second),Primates,Hominidae,adult,Trait: Escape Jump Rate. Definition: Jump rate of a resource during escape locomotion. Unit: event / (1 individual * 1 second). Organism order: Primates. Organism family: Hominidae.,v5,10
'Probing-Pecking' Foraging Probability,Proportion of times a consumer 'probed' for food in the substrate relative to the total number of times it both 'probed' and 'pecked' (pecking involves searching for food only on the sediment surface),proportion / 1 individual,Charadriiformes,Scolopacidae,adult,Trait: 'Probing-Pecking' Foraging Probability. Definition: Proportion of times a consumer 'probed' for food in the substrate relative to the total number of times it both 'probed' and 'pecked' (pecking involves searching for food only on the sediment surface). Unit: proportion / 1 individual. Organism order: Charadriiformes. Organism family: Scolopacidae.,v5,6
Instantaneous Digestion Mass Rate,The instantaneous rate of reduction in the amount of resource in the consumers stomach calculated from regression between log weight of resource and time,milligram (body mass - dry) / 1 hour,Perciformes,Percidae,adult,Trait: Instantaneous Digestion Mass Rate. Definition: The instantaneous rate of reduction in the amount of resource in the consumers stomach calculated from regression between log weight of resource and time. Unit: milligram (body mass - dry) / 1 hour. Organism order: Perciformes. Organism family: Percidae.,v5,-1
'Retaliate' Defence Probability,"Probability that each resource from a population will attack, strike or bite when attacked by a consumer (often associated with prior warning signs such as hissing, teeth bearing and stout posture)",proportion / 1 individual,Primates,Hominidae,adult,"Trait: 'Retaliate' Defence Probability. Definition: Probability that each resource from a population will attack, strike or bite when attacked by a consumer (often associated with prior warning signs such as hissing, teeth bearing and stout posture). Unit: proportion / 1 individual. Organism order: Primates. Organism family: Hominidae.",v5,12
'Still' Defence Probability,"Probability that each resource from a population will remain still when attacked by a consumer (occurred when the resource remained still, without any overt reaction to the stimulus",proportion / 1 individual,Primates,Hominidae,adult,"Trait: 'Still' Defence Probability. Definition: Probability that each resource from a population will remain still when attacked by a consumer (occurred when the resource remained still, without any overt reaction to the stimulus. Unit: proportion / 1 individual. Organism order: Primates. Organism family: Hominidae.",v5,-1
Population Voluntary Movement Probability,Proportion of individuals in a population that are physically moving through space at time of observation,proportion,Architaenioglossa,Ampullariidae,adult,Trait: Population Voluntary Movement Probability. Definition: Proportion of individuals in a population that are physically moving through space at time of observation. Unit: proportion. Organism order: Architaenioglossa. Organism family: Ampullariidae.,v5,4
Survival Time,Time from when a consumer and resource were introduced into an arena until the resource is consumed,second,Salmoniformes,Salmonidae,juvenile,Trait: Survival Time. Definition: Time from when a consumer and resource were introduced into an arena until the resource is consumed. Unit: second. Organism order: Salmoniformes. Organism family: Salmonidae.,v5,-1
Escape Angle of Body Turning,The sum of the absolute angles of turning of the head relative to the body during escape movement,degree / 1 individual,NA,NA,NA,Trait: Escape Angle of Body Turning. Definition: The sum of the absolute angles of turning of the head relative to the body during escape movement. Unit: degree / 1 individual.,v5,-1
Mass-Specific Escape Inertial Hydrodynamic Power Requirement,Power required to accelerate a resource through space (estimated by the ratio of the inertial power required to accelerate the animal in its direction of travel to the total muscle power output),watt / 1 kilogram (body mass - wet),NA,NA,NA,Trait: Mass-Specific Escape Inertial Hydrodynamic Power Requirement. Definition: Power required to accelerate a resource through space (estimated by the ratio of the inertial power required to accelerate the animal in its direction of travel to the total muscle power output). Unit: watt / 1 kilogram (body mass - wet).,v5,-1
In Vitro Muscle Contraction Duration,Time for muscle to contract measured in muscle excised from organism,second,Cypriniformes,Cyprinidae,juvenile,Trait: In Vitro Muscle Contraction Duration. Definition: Time for muscle to contract measured in muscle excised from organism. Unit: second. Organism order: Cypriniformes. Organism family: Cyprinidae.,v5,-1
In Vitro Muscle Strain,Muscle strain during locomotion as change in length of muscle in proportion to resting length measured in excised muscle,proportion,Cypriniformes,Cyprinidae,juvenile,Trait: In Vitro Muscle Strain. Definition: Muscle strain during locomotion as change in length of muscle in proportion to resting length measured in excised muscle. Unit: proportion. Organism order: Cypriniformes. Organism family: Cyprinidae.,v5,-1
In Vitro Muscle Strain Rate,"Muscle strain is the change in length of muscle in proportion to resting length, and stain rate is the change in this probability over time measured in muscle excised from animal",percent / 1 second,Cypriniformes,Cyprinidae,juvenile,"Trait: In Vitro Muscle Strain Rate. Definition: Muscle strain is the change in length of muscle in proportion to resting length, and stain rate is the change in this probability over time measured in muscle excised from animal. Unit: percent / 1 second. Organism order: Cypriniformes. Organism family: Cyprinidae.",v5,5
Escape Muscle 50% Twitch Time,Time interval from the stimulation of the muscle until 50 percent of peak twitch measured in live animal during escape,millisecond / 1 individual,NA,NA,NA,Trait: Escape Muscle 50% Twitch Time. Definition: Time interval from the stimulation of the muscle until 50 percent of peak twitch measured in live animal during escape. Unit: millisecond / 1 individual.,v5,5
Escape Muscle Peak Twitch Time,Time interval from the stimulation of the muscle until peak twitch force measured in a living resource during escape,millisecond / 1 individual,NA,NA,NA,Trait: Escape Muscle Peak Twitch Time. Definition: Time interval from the stimulation of the muscle until peak twitch force measured in a living resource during escape. Unit: millisecond / 1 individual.,v5,5
Escape Muscle 50% Relaxation Time,Time interval from peak twitch until 50 percent relaxation of muscle measured in live animal during escape,millisecond / 1 individual,NA,NA,NA,Trait: Escape Muscle 50% Relaxation Time. Definition: Time interval from peak twitch until 50 percent relaxation of muscle measured in live animal during escape. Unit: millisecond / 1 individual.,v5,5
Critical Travel Distance,Estimated distance travelled to stay at a fixed position within a moving terrain that incrementally increases in speed (measured using a multi-speed flow chamber or treadmill),meter / 1 individual,NA,NA,NA,Trait: Critical Travel Distance. Definition: Estimated distance travelled to stay at a fixed position within a moving terrain that incrementally increases in speed (measured using a multi-speed flow chamber or treadmill). Unit: meter / 1 individual.,v5,-1
In Vitro Muscle Peak Twitch Force,Peak twitch force of muscle measured in excised muscle,kilonewton / 1 square meter,Caudata,Ambystomatidae,adult,Trait: In Vitro Muscle Peak Twitch Force. Definition: Peak twitch force of muscle measured in excised muscle. Unit: kilonewton / 1 square meter. Organism order: Caudata. Organism family: Ambystomatidae.,v5,5
In Vitro Muscle Pressure Rate,Rate of pressure change for in vitro muscle in response to stimulation in muscle removed from the organism,kilonewton / (1 square meter * 1 millisecond),Caudata,Ambystomatidae,adult,Trait: In Vitro Muscle Pressure Rate. Definition: Rate of pressure change for in vitro muscle in response to stimulation in muscle removed from the organism. Unit: kilonewton / (1 square meter * 1 millisecond). Organism order: Caudata. Organism family: Ambystomatidae.,v5,5
In Vitro Muscle Peak Twitch Time,Time interval from the stimulation of the muscle until peak twitch force measured in vitro in muscles removed from live organism,millisecond,Caudata,Ambystomatidae,adult,Trait: In Vitro Muscle Peak Twitch Time. Definition: Time interval from the stimulation of the muscle until peak twitch force measured in vitro in muscles removed from live organism. Unit: millisecond. Organism order: Caudata. Organism family: Ambystomatidae.,v5,5
