OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,ConOrder,ConFamily,ConStage,text,version,cluster_id
Nest Provisioning Rate,Number of resource bought back to the nest for consumption (for itself or its young) by a consumer per time,individual / (1 individual * 1 day),Accipitriformes,Accipitridae,adult,Trait: Nest Provisioning Rate. Definition: Number of resource bought back to the nest for consumption (for itself or its young) by a consumer per time.,v2,-1
Resource Size Capture Intent Acceptance Probability,Proportion of times that a 6 mg resource item was accepted when presented to a consumer after a captured 32 mg resource was taken from it,proportion / 1 individual,Hymenoptera,Formicidae,adult (worker),Trait: Resource Size Capture Intent Acceptance Probability. Definition: Proportion of times that a 6 mg resource item was accepted when presented to a consumer after a captured 32 mg resource was taken from it.,v2,-1
Voluntary Tail Beat Velocity,Tail velocity in the traverse plane (perpendicular to the anteriorÐposterior axis of the organism) during voluntary movement,millimeter / (1 individual * 1 second),Clupeiformes,Clupeidae,larvae,Trait: Voluntary Tail Beat Velocity. Definition: Tail velocity in the traverse plane (perpendicular to the anteriorÐposterior axis of the organism) during voluntary movement.,v2,6
Foraging Submergence Duration,Mean duration of periods when consumer swims underwater while foraging,minute / 1 individual,Hemiptera,Notonectidae,adult,Trait: Foraging Submergence Duration. Definition: Mean duration of periods when consumer swims underwater while foraging.,v2,5
Foraging Submergence Time,Time spent submerged in water from total observation time (can include multiple foraging bouts or a part of a single bout),minute / 1 individual,Hemiptera,Notonectidae,adult,Trait: Foraging Submergence Time. Definition: Time spent submerged in water from total observation time (can include multiple foraging bouts or a part of a single bout).,v2,5
Voluntary Stroke Rate,Stroke rate of an organism during voluntary locomotion,event / (1 individual * 5 minute),Hemiptera,Notonectidae,adult,Trait: Voluntary Stroke Rate. Definition: Stroke rate of an organism during voluntary locomotion.,v2,6
Attack-Field Encounter Rate,Rate of encounter of resource with its consumer's known attack field per resource per time,event / (1 individual * 60 minute),NA,NA,NA,Trait: Attack-Field Encounter Rate. Definition: Rate of encounter of resource with its consumer's known attack field per resource per time.,v2,-1
Strike-Field Encounter Rate,Rate of encounter of a resource with consumers known strike field,event / (1 individual * 60 minute),NA,NA,NA,Trait: Strike-Field Encounter Rate. Definition: Rate of encounter of a resource with consumers known strike field.,v2,-1
Subjugation-through-Consumption Time,Total amount of time a consumer spends subduing and eating resource (within a fraction of a single foraging bout or over several foraging bouts),hour / 1 individual,Sorbeoconcha,Muricidae,adult,Trait: Subjugation-through-Consumption Time. Definition: Total amount of time a consumer spends subduing and eating resource (within a fraction of a single foraging bout or over several foraging bouts).,v2,7
Post-Feeding Time,"Time animal spends in between meals (includes all other activities, including non-feeding activities)",day / 1 individual,Sorbeoconcha,Muricidae,adult,"Trait: Post-Feeding Time. Definition: Time animal spends in between meals (includes all other activities, including non-feeding activities).",v2,-1
Intraspecific Confrontation Probability,Proportion of time organism spends in intraspecific confrontations out of total observation time,proportion / 1 individual,Coleoptera,Carabidae,adult,Trait: Intraspecific Confrontation Probability. Definition: Proportion of time organism spends in intraspecific confrontations out of total observation time.,v2,-1
Attack-Field Encounter Density Rate,Rate of encounter of a resource individual with its consumer's known attack field (measured experimentally or estimated from the literature),event / (1 individual * 30 minute),Hemiptera,Naucoridae,adult,Trait: Attack-Field Encounter Density Rate. Definition: Rate of encounter of a resource individual with its consumer's known attack field (measured experimentally or estimated from the literature).,v2,-1
Attack-Field Reaction Probability,"Proportion of times a consumer reacts (i.e., orients or moves toward) to a resource entering its attack field",proportion,Hemiptera,Naucoridae,adult,"Trait: Attack-Field Reaction Probability. Definition: Proportion of times a consumer reacts (i.e., orients or moves toward) to a resource entering its attack field.",v2,-1
Population Catchability,Number of resources caught in baited fishing traps per number of traps set per time,event / (1 individual * 2400 hour),Decapoda,Nephropidae,adult,Trait: Population Catchability. Definition: Number of resources caught in baited fishing traps per number of traps set per time.,v2,-1
Cilia Flow Velocity,Velocity of the water flow in filter feeders that results from the beating of cilia measured in a live animal,micrometer / (1 individual * 1 second),Clypeasteroida,Dendrasteridae,juvenile,Trait: Cilia Flow Velocity. Definition: Velocity of the water flow in filter feeders that results from the beating of cilia measured in a live animal.,v2,-1
Food Assimilation Efficiency,Efficiency of a consumer of digesting ingested energy (expressed as the amount of energy that is digested in proportion to that which is ingested),percent / 1 individual,Squamata,Phrynosomatidae,adult,Trait: Food Assimilation Efficiency. Definition: Efficiency of a consumer of digesting ingested energy (expressed as the amount of energy that is digested in proportion to that which is ingested).,v2,-1
Consumption Probability of Trial,Proportion of experimental trials in which resource was consumed to total number of trials (each trial consisted of multiple opportunities of a single consumer to attack multiple resources so probably represents real limits to resource consumption),proportion / 1 individual,Hemiptera,Notonectidae,adult,Trait: Consumption Probability of Trial. Definition: Proportion of experimental trials in which resource was consumed to total number of trials (each trial consisted of multiple opportunities of a single consumer to attack multiple resources so probably represents real limits to resource consumption).,v2,8
In Vitro Muscle Isometric Tension,Isometric tension of muscle measured in muscle removed from live animal,kilonewton / 1 square meter,Scorpaeniformes,Cottidae,adult,Trait: In Vitro Muscle Isometric Tension. Definition: Isometric tension of muscle measured in muscle removed from live animal.,v2,4
In Vitro Muscle Shortening Velocity,Velocity of muscle shortening measured in muscle removed from animal,muscle length / 1 second,Scorpaeniformes,Cottidae,adult,Trait: In Vitro Muscle Shortening Velocity. Definition: Velocity of muscle shortening measured in muscle removed from animal.,v2,-1
Eggs-Per-Parasitoid Parasitization Rate,Number of eggs laid per parasitoid on a population of hosts per time,event / (20 individual * 24 hour),Hymenoptera,Eulophidae,adult,Trait: Eggs-Per-Parasitoid Parasitization Rate. Definition: Number of eggs laid per parasitoid on a population of hosts per time.,v2,-1
Egg-Per-Host Parasitization Rate,Number of eggs laid per host by parasitoid's per time,event / (1 individual * 1 individual * 24 hour),Hymenoptera,Eulophidae,adult,Trait: Egg-Per-Host Parasitization Rate. Definition: Number of eggs laid per host by parasitoid's per time.,v2,-1
Escape Body Velocity Probability,Velocity of the whole body during escape burst movement (expressed as the ratio of sprint velocity of an individual to the maximum velocity of that individual in all trials at all temperatures),percent / 1 individual,NA,NA,NA,Trait: Escape Body Velocity Probability. Definition: Velocity of the whole body during escape burst movement (expressed as the ratio of sprint velocity of an individual to the maximum velocity of that individual in all trials at all temperatures).,v2,6
Line -Encounter Rate,Encounter rate of individuals in a population moving past an arbitrary line per time,event / 2 minute,Hymenoptera,Formicidae,adult (worker),Trait: Line -Encounter Rate. Definition: Encounter rate of individuals in a population moving past an arbitrary line per time.,v2,-1
Log-Linear Gut Clearance Rate,The slope of the regression of log gut content mass per consumer individual per time,event / (1 individual * 1 minute),Calanoida,Temoridae,adult,Trait: Log-Linear Gut Clearance Rate. Definition: The slope of the regression of log gut content mass per consumer individual per time.,v2,-1
Mass-Specific Oxygen Mass Scope For Activity,Amount of oxygen available for use for activity by an organism measured as mass of oxygen per organism mass per time,milligram / (1 kilogram (body mass - wet) * 1 hour),Salmoniformes,Salmonidae,adult,Trait: Mass-Specific Oxygen Mass Scope For Activity. Definition: Amount of oxygen available for use for activity by an organism measured as mass of oxygen per organism mass per time.,v2,-1
Feeding Heart Beat Rate,Mean number of times heart beats per time while a consumer individual is filter feeding,event / (1 individual * 1 minute),Ostreoida,Ostreidae,adult,Trait: Feeding Heart Beat Rate. Definition: Mean number of times heart beats per time while a consumer individual is filter feeding.,v2,-1
Voluntary Moving Time,Total time organism spends physically moving through space measured over observation time,second / 1 individual,Perciformes,Sciaenidae,juvenile,Trait: Voluntary Moving Time. Definition: Total time organism spends physically moving through space measured over observation time.,v2,2
Foraging Pause Rate,Rate of pauses during a fraction of a single foraging bout per consumer individual (assumed to be important to saltatory consumers in which movement is interspersed with periods of brief pauses during which searching occurs),event / (1 individual * 300 second),Perciformes,Sciaenidae,juvenile,Trait: Foraging Pause Rate. Definition: Rate of pauses during a fraction of a single foraging bout per consumer individual (assumed to be important to saltatory consumers in which movement is interspersed with periods of brief pauses during which searching occurs).,v2,-1
Voluntary Pause Time,Duration of pauses during voluntary movement (assumed to be important to saltatory consumers in which movement is interspersed with brief pauses during which searching occurs),second / 1 individual,Perciformes,Sciaenidae,juvenile,Trait: Voluntary Pause Time. Definition: Duration of pauses during voluntary movement (assumed to be important to saltatory consumers in which movement is interspersed with brief pauses during which searching occurs).,v2,2
Sediment Mass Processing Rate,Mass of sediment ingested and processed for food by a deposit feeder per time (in general most of what is ingested in non-digestible inorganic sediment),gram (body mass - dry) / (1 individual * 1 day),Canalipalpata,Pectinariidae,adult,Trait: Sediment Mass Processing Rate. Definition: Mass of sediment ingested and processed for food by a deposit feeder per time (in general most of what is ingested in non-digestible inorganic sediment).,v2,-1
Strike Body Acceleration,Acceleration of a consumer's head during a strike at a resource,meter / (1 second * 1 second),Squamata,Colubridae,adult,Trait: Strike Body Acceleration. Definition: Acceleration of a consumer's head during a strike at a resource.,v2,-1
Strike Duration,Time taken for a consumer to complete a strike,second / 1 individual,Squamata,Colubridae,adult,Trait: Strike Duration. Definition: Time taken for a consumer to complete a strike.,v2,-1
Voluntary Heart Beat Rate,Heart beat rate measured in an intact organism that is voluntarily stationary,event / (1 individual * 1 minute),Anura,Ranidae,adult,Trait: Voluntary Heart Beat Rate. Definition: Heart beat rate measured in an intact organism that is voluntarily stationary.,v2,6
Subjugation-Consumption Body Contraction Rate,Rate of body contractions for locomotion of a consumer during subjugation and consumption of resources,event / (1 individual * 1 minute),Semaeostomeae,Ulmaridae,juvenile,Trait: Subjugation-Consumption Body Contraction Rate. Definition: Rate of body contractions for locomotion of a consumer during subjugation and consumption of resources.,v2,-1
'Mouth Gape' Defence  Probability,"Probability that each resource from a population will gape its mouth when attacked by a consumer (i.e., resource held its ground and gaped and lunged to bite if the consumer approached too closely)",proportion / 1 individual,Primates,Hominidae,adult,"Trait: 'Mouth Gape' Defence  Probability. Definition: Probability that each resource from a population will gape its mouth when attacked by a consumer (i.e., resource held its ground and gaped and lunged to bite if the consumer approached too closely).",v2,-1
In Vitro Muscle 50% Relaxation Time,Time interval from peak twitch until 50 percent relaxation of muscle removed from the organism,millisecond,Cypriniformes,Cyprinidae,adult,Trait: In Vitro Muscle 50% Relaxation Time. Definition: Time interval from peak twitch until 50 percent relaxation of muscle removed from the organism.,v2,4
Escape Angular Rate of Body Turning,Velocity of the turning of the snout of the animal relative to the mid-point throughout movement for locomotion,degree / (1 individual * 1 millisecond),NA,NA,NA,Trait: Escape Angular Rate of Body Turning. Definition: Velocity of the turning of the snout of the animal relative to the mid-point throughout movement for locomotion.,v2,-1
Escape Jump Rate,Jump rate of a resource during escape locomotion,event / (1 individual * 1 second),Primates,Hominidae,adult,Trait: Escape Jump Rate. Definition: Jump rate of a resource during escape locomotion.,v2,6
'Probing-Pecking' Foraging Probability,Proportion of times a consumer 'probed' for food in the substrate relative to the total number of times it both 'probed' and 'pecked' (pecking involves searching for food only on the sediment surface),proportion / 1 individual,Charadriiformes,Scolopacidae,adult,Trait: 'Probing-Pecking' Foraging Probability. Definition: Proportion of times a consumer 'probed' for food in the substrate relative to the total number of times it both 'probed' and 'pecked' (pecking involves searching for food only on the sediment surface).,v2,5
Instantaneous Digestion Mass Rate,The instantaneous rate of reduction in the amount of resource in the consumers stomach calculated from regression between log weight of resource and time,milligram (body mass - dry) / 1 hour,Perciformes,Percidae,adult,Trait: Instantaneous Digestion Mass Rate. Definition: The instantaneous rate of reduction in the amount of resource in the consumers stomach calculated from regression between log weight of resource and time.,v2,-1
'Retaliate' Defence Probability,"Probability that each resource from a population will attack, strike or bite when attacked by a consumer (often associated with prior warning signs such as hissing, teeth bearing and stout posture)",proportion / 1 individual,Primates,Hominidae,adult,"Trait: 'Retaliate' Defence Probability. Definition: Probability that each resource from a population will attack, strike or bite when attacked by a consumer (often associated with prior warning signs such as hissing, teeth bearing and stout posture).",v2,-1
'Still' Defence Probability,"Probability that each resource from a population will remain still when attacked by a consumer (occurred when the resource remained still, without any overt reaction to the stimulus",proportion / 1 individual,Primates,Hominidae,adult,"Trait: 'Still' Defence Probability. Definition: Probability that each resource from a population will remain still when attacked by a consumer (occurred when the resource remained still, without any overt reaction to the stimulus.",v2,-1
Population Voluntary Movement Probability,Proportion of individuals in a population that are physically moving through space at time of observation,proportion,Architaenioglossa,Ampullariidae,adult,Trait: Population Voluntary Movement Probability. Definition: Proportion of individuals in a population that are physically moving through space at time of observation.,v2,2
Survival Time,Time from when a consumer and resource were introduced into an arena until the resource is consumed,second,Salmoniformes,Salmonidae,juvenile,Trait: Survival Time. Definition: Time from when a consumer and resource were introduced into an arena until the resource is consumed.,v2,-1
Escape Angle of Body Turning,The sum of the absolute angles of turning of the head relative to the body during escape movement,degree / 1 individual,NA,NA,NA,Trait: Escape Angle of Body Turning. Definition: The sum of the absolute angles of turning of the head relative to the body during escape movement.,v2,-1
Mass-Specific Escape Inertial Hydrodynamic Power Requirement,Power required to accelerate a resource through space (estimated by the ratio of the inertial power required to accelerate the animal in its direction of travel to the total muscle power output),watt / 1 kilogram (body mass - wet),NA,NA,NA,Trait: Mass-Specific Escape Inertial Hydrodynamic Power Requirement. Definition: Power required to accelerate a resource through space (estimated by the ratio of the inertial power required to accelerate the animal in its direction of travel to the total muscle power output).,v2,-1
In Vitro Muscle Contraction Duration,Time for muscle to contract measured in muscle excised from organism,second,Cypriniformes,Cyprinidae,juvenile,Trait: In Vitro Muscle Contraction Duration. Definition: Time for muscle to contract measured in muscle excised from organism.,v2,4
In Vitro Muscle Strain,Muscle strain during locomotion as change in length of muscle in proportion to resting length measured in excised muscle,proportion,Cypriniformes,Cyprinidae,juvenile,Trait: In Vitro Muscle Strain. Definition: Muscle strain during locomotion as change in length of muscle in proportion to resting length measured in excised muscle.,v2,4
In Vitro Muscle Strain Rate,"Muscle strain is the change in length of muscle in proportion to resting length, and stain rate is the change in this probability over time measured in muscle excised from animal",percent / 1 second,Cypriniformes,Cyprinidae,juvenile,"Trait: In Vitro Muscle Strain Rate. Definition: Muscle strain is the change in length of muscle in proportion to resting length, and stain rate is the change in this probability over time measured in muscle excised from animal.",v2,-1
Escape Muscle 50% Twitch Time,Time interval from the stimulation of the muscle until 50 percent of peak twitch measured in live animal during escape,millisecond / 1 individual,NA,NA,NA,Trait: Escape Muscle 50% Twitch Time. Definition: Time interval from the stimulation of the muscle until 50 percent of peak twitch measured in live animal during escape.,v2,4
Escape Muscle Peak Twitch Time,Time interval from the stimulation of the muscle until peak twitch force measured in a living resource during escape,millisecond / 1 individual,NA,NA,NA,Trait: Escape Muscle Peak Twitch Time. Definition: Time interval from the stimulation of the muscle until peak twitch force measured in a living resource during escape.,v2,4
Escape Muscle 50% Relaxation Time,Time interval from peak twitch until 50 percent relaxation of muscle measured in live animal during escape,millisecond / 1 individual,NA,NA,NA,Trait: Escape Muscle 50% Relaxation Time. Definition: Time interval from peak twitch until 50 percent relaxation of muscle measured in live animal during escape.,v2,4
Critical Travel Distance,Estimated distance travelled to stay at a fixed position within a moving terrain that incrementally increases in speed (measured using a multi-speed flow chamber or treadmill),meter / 1 individual,NA,NA,NA,Trait: Critical Travel Distance. Definition: Estimated distance travelled to stay at a fixed position within a moving terrain that incrementally increases in speed (measured using a multi-speed flow chamber or treadmill).,v2,-1
In Vitro Muscle Peak Twitch Force,Peak twitch force of muscle measured in excised muscle,kilonewton / 1 square meter,Caudata,Ambystomatidae,adult,Trait: In Vitro Muscle Peak Twitch Force. Definition: Peak twitch force of muscle measured in excised muscle.,v2,4
In Vitro Muscle Pressure Rate,Rate of pressure change for in vitro muscle in response to stimulation in muscle removed from the organism,kilonewton / (1 square meter * 1 millisecond),Caudata,Ambystomatidae,adult,Trait: In Vitro Muscle Pressure Rate. Definition: Rate of pressure change for in vitro muscle in response to stimulation in muscle removed from the organism.,v2,4
In Vitro Muscle Peak Twitch Time,Time interval from the stimulation of the muscle until peak twitch force measured in vitro in muscles removed from live organism,millisecond,Caudata,Ambystomatidae,adult,Trait: In Vitro Muscle Peak Twitch Time. Definition: Time interval from the stimulation of the muscle until peak twitch force measured in vitro in muscles removed from live organism.,v2,4
Unsuccessful Attack Probability of Trial,Probability of a consumer-resource experimental trial including attacks that did not result in consumption of the resource (each trial consisted of multiple attacks),percent / 1 individual,Cypriniformes,Cyprinidae,adult,Trait: Unsuccessful Attack Probability of Trial. Definition: Probability of a consumer-resource experimental trial including attacks that did not result in consumption of the resource (each trial consisted of multiple attacks).,v2,8
Voluntary Walk/Run Probability,"Proportion of time organism spends walking or running (i.e., fast directed movement with little turning) over actual observation time",proportion / 1 individual,Coleoptera,Carabidae,adult,"Trait: Voluntary Walk/Run Probability. Definition: Proportion of time organism spends walking or running (i.e., fast directed movement with little turning) over actual observation time.",v2,2
Capture Rate,Per-capita rate of captures in encounters between consumer and resource number,event / (1 individual * 1 individual * 8 hour),Decapoda,Crangonidae,adult,Trait: Capture Rate. Definition: Per-capita rate of captures in encounters between consumer and resource number.,v2,-1
Random Resource Encounter Rate,The number of unintentional physical contacts  of a consumer with a resource that resulted in a noticeable reaction from the consumer and/or resource per consumer per time,event / (1 individual * 1 individual * 8 hour),Decapoda,Crangonidae,adult,Trait: Random Resource Encounter Rate. Definition: The number of unintentional physical contacts  of a consumer with a resource that resulted in a noticeable reaction from the consumer and/or resource per consumer per time.,v2,-1
Resource Encounter Rate,The total number of resources a consumer physically encounters per time,event / (1 individual * 8 hour),Decapoda,Crangonidae,adult,Trait: Resource Encounter Rate. Definition: The total number of resources a consumer physically encounters per time.,v2,-1
Digestion Time 75%,Time taken for 75 percent of the mass of a meal to be digested by a consumer,hour / 1 individual,Salmoniformes,Salmonidae,juvenile,Trait: Digestion Time 75%. Definition: Time taken for 75 percent of the mass of a meal to be digested by a consumer.,v2,-1
Digestion Time 90%,Time taken for 90 percent of the mass of a meal to be digested by a consumer,hour / 1 individual,Salmoniformes,Salmonidae,juvenile,Trait: Digestion Time 90%. Definition: Time taken for 90 percent of the mass of a meal to be digested by a consumer.,v2,-1
Digestion Time 99%,Time taken for 99 percent of the mass of a meal to be digested by a consumer,hour / 1 individual,Salmoniformes,Salmonidae,juvenile,Trait: Digestion Time 99%. Definition: Time taken for 99 percent of the mass of a meal to be digested by a consumer.,v2,-1
Escape Body Deceleration,Deceleration of the whole body of a resource during burst escape movements,meter / (1 second * 1 second),Primates,Hominidae,adult,Trait: Escape Body Deceleration. Definition: Deceleration of the whole body of a resource during burst escape movements.,v2,-1
Voluntary Tongue Flick Cycle Number,Number of up-and-down motions or cycles of the tongue per flick in an organism with no obvious stimulus,event / (1 individual * 1 event),Squamata,Colubridae,adult,Trait: Voluntary Tongue Flick Cycle Number. Definition: Number of up-and-down motions or cycles of the tongue per flick in an organism with no obvious stimulus.,v2,-1
Voluntary Tongue Flick Non-Cycle Time,Time tongue is outside mouth and not moving in an organism with no obvious stimulus,second / 1 individual,Squamata,Colubridae,adult,Trait: Voluntary Tongue Flick Non-Cycle Time. Definition: Time tongue is outside mouth and not moving in an organism with no obvious stimulus.,v2,-1
Foraging Duration,Length of a single foraging bout for a consumer,minute / 1 individual,Aciculata,Nereididae,adult,Trait: Foraging Duration. Definition: Length of a single foraging bout for a consumer.,v2,5
Voluntary Exposure Probability,"Probability that an organism is exposed at time of observation (i.e., body above substrate surface and active)",proportion / 1 individual,Squamata,Phrynosomatidae,adult,"Trait: Voluntary Exposure Probability. Definition: Probability that an organism is exposed at time of observation (i.e., body above substrate surface and active).",v2,2
Voluntary Tail Beat Amplitude,Amplitude of tail beats of an organism during voluntary locomotion,millimeter / 1 individual,Clupeiformes,Clupeidae,larvae,Trait: Voluntary Tail Beat Amplitude. Definition: Amplitude of tail beats of an organism during voluntary locomotion.,v2,6
Consumer Evasion Response Time,"Time taken for a resource to respond (i.e., first body movement) to an attacking predator (times calibrated to quickest response of all resources tested)",second / 1 individual,Clupeiformes,Clupeidae,juvenile,"Trait: Consumer Evasion Response Time. Definition: Time taken for a resource to respond (i.e., first body movement) to an attacking predator (times calibrated to quickest response of all resources tested).",v2,-1
Flee Time,"Duration of flight of a resource when fleeing a predator before stopping (i.e., over Flee Distance)",second / 1 individual,Clupeiformes,Clupeidae,juvenile,"Trait: Flee Time. Definition: Duration of flight of a resource when fleeing a predator before stopping (i.e., over Flee Distance).",v2,-1
Resource Escape Response Probability,"Proportion of attacks in which resource initiate's an escape response (i.e., tries to evade attacking predator)",percent / 1 individual,Clupeiformes,Clupeidae,juvenile,"Trait: Resource Escape Response Probability. Definition: Proportion of attacks in which resource initiate's an escape response (i.e., tries to evade attacking predator).",v2,-1
Consumer Attack Error Probability,The proportion of attacks in which resource failed to respond (a 'no-response attack') relative to the total number of unsuccessful attacks (resources play no active role in this measure so it is a measure of the consumers performance),percent / 1 second,Clupeiformes,Clupeidae,juvenile,Trait: Consumer Attack Error Probability. Definition: The proportion of attacks in which resource failed to respond (a 'no-response attack') relative to the total number of unsuccessful attacks (resources play no active role in this measure so it is a measure of the consumers performance).,v2,-1
'Stand Upright' Defence Probability,"Probability that each resource will stand upright when attacked by a consumer (occurred when the resource mouth-gaped, and when provoked further stood upright with its legs held rigid, body inflated, jaws opened widely and tongue protruding)",proportion / 1 individual,Primates,Hominidae,adult,"Trait: 'Stand Upright' Defence Probability. Definition: Probability that each resource will stand upright when attacked by a consumer (occurred when the resource mouth-gaped, and when provoked further stood upright with its legs held rigid, body inflated, jaws opened widely and tongue protruding).",v2,-1
'Flee' Defence Probability,"Probability that each resource from a population will 'flee' when attacked by a consumer (i.e., resource fled immediately upon approach by the consumer)",proportion / 1 individual,Primates,Hominidae,adult,"Trait: 'Flee' Defence Probability. Definition: Probability that each resource from a population will 'flee' when attacked by a consumer (i.e., resource fled immediately upon approach by the consumer).",v2,-1
Mass-Specific Escape Jump Force,Mass-specific force exerted on the substrate by a resource during an escape jump,newton / 1 kilogram (body mass - wet),NA,NA,NA,Trait: Mass-Specific Escape Jump Force. Definition: Mass-specific force exerted on the substrate by a resource during an escape jump.,v2,6
Mass-Specific Escape Body Jump Power Production,Mass-specific power production during a jump by a resource during escape,watt / 1 kilogram (body mass - wet),NA,NA,NA,Trait: Mass-Specific Escape Body Jump Power Production. Definition: Mass-specific power production during a jump by a resource during escape.,v2,6
Nest Provisioning Probability,The proportion of individuals returning from foraging that are carrying a resource (for itself or its young),proportion,Hymenoptera,Formicidae,adult (worker),Trait: Nest Provisioning Probability. Definition: The proportion of individuals returning from foraging that are carrying a resource (for itself or its young).,v2,-1
'Perch-and-Drop' Foraging Probability,"Proportion of observed foraging time (a fraction of actual foraging time) a consumer spends 'perch-and-dropping' (i.e., consumer drops from a perch to catch resource and then immediately returns to the perch without moving around whilst on the ground)",proportion / 1 individual,Passeriformes,Muscicapidae,adult (female),"Trait: 'Perch-and-Drop' Foraging Probability. Definition: Proportion of observed foraging time (a fraction of actual foraging time) a consumer spends 'perch-and-dropping' (i.e., consumer drops from a perch to catch resource and then immediately returns to the perch without moving around whilst on the ground).",v2,5
'Leaf-Gleaning' Foraging Probability,"Proportion of observed foraging time (a fraction of actual foraging time) a consumer spends 'leaf-gleaning' (i.e., actively searching leaves for resource)",proportion / 1 individual,Passeriformes,Muscicapidae,adult (female),"Trait: 'Leaf-Gleaning' Foraging Probability. Definition: Proportion of observed foraging time (a fraction of actual foraging time) a consumer spends 'leaf-gleaning' (i.e., actively searching leaves for resource).",v2,5
'Bark-Pecking' Foraging Probability,"Proportion of observed foraging time (a fraction of actual foraging time) a consumer spends 'bark-pecking' (i.e., actively searching for food in the bark of vegetation)",proportion / 1 individual,Passeriformes,Muscicapidae,adult (female),"Trait: 'Bark-Pecking' Foraging Probability. Definition: Proportion of observed foraging time (a fraction of actual foraging time) a consumer spends 'bark-pecking' (i.e., actively searching for food in the bark of vegetation).",v2,5
'Fly-Catching' Foraging Probability,"Proportion of observed foraging time (a fraction of actual foraging time) a consumer spends 'fly catching' (i.e., actively searching for resource on the wing)",proportion / 1 individual,Passeriformes,Muscicapidae,adult (female),"Trait: 'Fly-Catching' Foraging Probability. Definition: Proportion of observed foraging time (a fraction of actual foraging time) a consumer spends 'fly catching' (i.e., actively searching for resource on the wing).",v2,5
Attack Probability,Probability of a consumer attacking a resource that comes within its attack field (field size is measured experimentally or estimated from the literature),proportion / 1 individual,Hemiptera,Naucoridae,adult,Trait: Attack Probability. Definition: Probability of a consumer attacking a resource that comes within its attack field (field size is measured experimentally or estimated from the literature).,v2,-1
'Refuge-Seek' Defence Probability,Probability that each resource from a population will seek refuge when attacked by a consumer ('Refuge-Seek' behaviour consisted of actively probing the walls of the arena trying to find a way out),percent / 1 individual,Primates,Hominidae,adult,Trait: 'Refuge-Seek' Defence Probability. Definition: Probability that each resource from a population will seek refuge when attacked by a consumer ('Refuge-Seek' behaviour consisted of actively probing the walls of the arena trying to find a way out).,v2,-1
'Swim Underwater' Defence Probability,Probability that each resource from a population swam underwater when attacked (occurred when the resource fled while submerged),percent / 1 individual,Primates,Hominidae,adult,Trait: 'Swim Underwater' Defence Probability. Definition: Probability that each resource from a population swam underwater when attacked (occurred when the resource fled while submerged).,v2,-1
Strike Stroke Length,Distance covered by the consumer in the last complete stroke of a strike,centimeter / 1 individual,Scorpaeniformes,Cottidae,adult,Trait: Strike Stroke Length. Definition: Distance covered by the consumer in the last complete stroke of a strike.,v2,6
Attack Tail Beat Amplitude,Maximum amplitude of tail motion for locomotion of a consumer during an attack,centimeter / 1 individual,Scorpaeniformes,Cottidae,adult,Trait: Attack Tail Beat Amplitude. Definition: Maximum amplitude of tail motion for locomotion of a consumer during an attack.,v2,6
Attack Body Acceleration,Body acceleration of a consumer during an attack,meter / (1 second * 1 second),Scorpaeniformes,Cottidae,adult,Trait: Attack Body Acceleration. Definition: Body acceleration of a consumer during an attack.,v2,6
Strike Tail Beat Duration,Duration of a tail beat cycle of a consumer during a strike,millisecond / 1 individual,Scorpaeniformes,Cottidae,adult,Trait: Strike Tail Beat Duration. Definition: Duration of a tail beat cycle of a consumer during a strike.,v2,-1
Attack Tail Beat Duration,Duration of a tail beat cycle of a consumer during an attack,millisecond / 1 individual,Scorpaeniformes,Cottidae,adult,Trait: Attack Tail Beat Duration. Definition: Duration of a tail beat cycle of a consumer during an attack.,v2,-1
'Flatten' Defence Probability,Probability that each resource from a population will 'flatten' when attacked by a consumer ('Flatten' occurs when the animal dorsoventrally compresses its body and is often followed by a strike),proportion / 1 individual,Primates,Hominidae,adult,Trait: 'Flatten' Defence Probability. Definition: Probability that each resource from a population will 'flatten' when attacked by a consumer ('Flatten' occurs when the animal dorsoventrally compresses its body and is often followed by a strike).,v2,-1
Population Growth Rate,Intrinsic rate of population growth measured as individuals per individuals per time,event / (1 individual * 24 hour),Ochromonadales,Scarabaeoidea,NA,Trait: Population Growth Rate. Definition: Intrinsic rate of population growth measured as individuals per individuals per time.,v2,-1
In Vitro Heart Beat Rate,Heart beat rate measured in a heart removed from the organism,event / 1 minute,Procellariiformes,Hydrobatidae,embryo,Trait: In Vitro Heart Beat Rate. Definition: Heart beat rate measured in a heart removed from the organism.,v2,-1
Development Time,Time taken by an individual to complete a particular period or life stage,day / 1 individual,Hemiptera,Pseudococcidae,nymph (female),Trait: Development Time. Definition: Time taken by an individual to complete a particular period or life stage.,v2,-1
Longevity,Length of adult life,day / 1 individual,Hemiptera,Pseudococcidae,adult (female),Trait: Longevity. Definition: Length of adult life.,v2,-1
Generation Time,Average interval between the birth of an individual and the birth of its offspring,day / 1 individual,Hemiptera,Pseudococcidae,adult,Trait: Generation Time. Definition: Average interval between the birth of an individual and the birth of its offspring.,v2,-1
Population Size,Number of individuals in the population,individual,Calanoida,Acartiidae,adult,Trait: Population Size. Definition: Number of individuals in the population.,v2,-1
48-hr Hatching Probability,Probability of an egg having hatched at 48 hrs,proportion,Calanoida,Acartiidae,adult,Trait: 48-hr Hatching Probability. Definition: Probability of an egg having hatched at 48 hrs.,v2,-1
