OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,Interactor1Order,Interactor1Family,Interactor1Stage,text,version,cluster_id
metabolic rate (resting),mean oxygen consumption of inactive individuals that produced fewer than 0.3 spikes/sec over several minutes of observation,Ml O2 g thorax-1 h-1,Hymenoptera,Apidae,adult,Trait: metabolic rate (resting). Definition: mean oxygen consumption of inactive individuals that produced fewer than 0.3 spikes/sec over several minutes of observation. Unit: Ml O2 g thorax-1 h-1. Organism order: Hymenoptera. Organism family: Apidae. Life stage: adult.,v6,0
metabolic rate,mean oxygen uptake rate,ml O2 g-1 h-1,Diptera,Helcomyzidae,adult,Trait: metabolic rate. Definition: mean oxygen uptake rate. Unit: ml O2 g-1 h-1. Organism order: Diptera. Organism family: Helcomyzidae. Life stage: adult.,v6,0
metabolic rate (standard),mean CO2 production rate (VCO2),ml CO2 g-1 h-1,Coleoptera,Scarabaeidae,adult (flightless),Trait: metabolic rate (standard). Definition: mean CO2 production rate (VCO2). Unit: ml CO2 g-1 h-1. Organism order: Coleoptera. Organism family: Scarabaeidae. Life stage: adult (flightless).,v6,0
gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,days,Diptera,Culicidae,adult,Trait: gonotrophic cycle 1. Definition: individual-level duration of first gonotrophic cycle. Unit: days. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,1
gonotrophic cycle 2,individual-level duration of second gonotrophic cycle,days,Diptera,Culicidae,adult,Trait: gonotrophic cycle 2. Definition: individual-level duration of second gonotrophic cycle. Unit: days. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,1
fecundity,individual-level mean eggs per gonotrophic cycle,eggs cycle-1,Diptera,Culicidae,adult,Trait: fecundity. Definition: individual-level mean eggs per gonotrophic cycle. Unit: eggs cycle-1. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,3
gonotrophic cycle,individual-level lifetime number of cycles completed,lifetime cycles,Diptera,Culicidae,adult,Trait: gonotrophic cycle. Definition: individual-level lifetime number of cycles completed. Unit: lifetime cycles. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,1
development time,individual-level duration of life stage,days,Diptera,Culicidae,juvenile (not inc egg stage),Trait: development time. Definition: individual-level duration of life stage. Unit: days. Organism order: Diptera. Organism family: Culicidae. Life stage: juvenile (not inc egg stage).,v6,15
longevity,individual-level duration of life stage,days,Diptera,Culicidae,adult (starved),Trait: longevity. Definition: individual-level duration of life stage. Unit: days. Organism order: Diptera. Organism family: Culicidae. Life stage: adult (starved).,v6,13
development rate,individual-level rate of life stage completion,days-1,Acari,Tetranychidae,juvenile (inc egg stage),Trait: development rate. Definition: individual-level rate of life stage completion. Unit: days-1. Organism order: Acari. Organism family: Tetranychidae. Life stage: juvenile (inc egg stage).,v6,15
body size,individual-level mass,mg,Coleoptera,Chrysomelidae,adult,Trait: body size. Definition: individual-level mass. Unit: mg. Organism order: Coleoptera. Organism family: Chrysomelidae. Life stage: adult.,v6,6
body size,individual-level wet mass,mg,Diptera,Culicidae,adult,Trait: body size. Definition: individual-level wet mass. Unit: mg. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,6
viral load,individual-level viral load,PFU (plaque-forming units),Diptera,Culicidae,adult,Trait: viral load. Definition: individual-level viral load. Unit: PFU (plaque-forming units). Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,-1
starvation tolerance,individual-level starvation tolerance as a function of temperature and body size (interactor1size),days,Coleoptera,Tenebrionidae,adult,Trait: starvation tolerance. Definition: individual-level starvation tolerance as a function of temperature and body size (interactor1size). Unit: days. Organism order: Coleoptera. Organism family: Tenebrionidae. Life stage: adult.,v6,-1
recovery time,individual-level duration to recover movement after exposure to extreme temperature,seconds,Diptera,Glossinidae,adult,Trait: recovery time. Definition: individual-level duration to recover movement after exposure to extreme temperature. Unit: seconds. Organism order: Diptera. Organism family: Glossinidae. Life stage: adult.,v6,-1
mortality rate,individual-level per capita daily rate of mortality,indivdual-1 day-1,Diptera,Glossinidae,adult,Trait: mortality rate. Definition: individual-level per capita daily rate of mortality. Unit: indivdual-1 day-1. Organism order: Diptera. Organism family: Glossinidae. Life stage: adult.,v6,11
survival,individual-level binomial survival,1 = survived life stage,Diptera,Culicidae,juvenile (not inc egg stage),Trait: survival. Definition: individual-level binomial survival. Unit: 1 = survived life stage. Organism order: Diptera. Organism family: Culicidae. Life stage: juvenile (not inc egg stage).,v6,-1
juvenile life span,individual-level duration from hatching to death or adult eclosion,days,Diptera,Culicidae,juvenile (not inc egg stage),Trait: juvenile life span. Definition: individual-level duration from hatching to death or adult eclosion. Unit: days. Organism order: Diptera. Organism family: Culicidae. Life stage: juvenile (not inc egg stage).,v6,-1
fecundity,individual-level lifetime eggs,eggs individual-1,Diptera,Culicidae,adult,Trait: fecundity. Definition: individual-level lifetime eggs. Unit: eggs individual-1. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,3
bloodmeal weight,individual-level weight of bloodmeal,mg,Diptera,Culicidae,adult,Trait: bloodmeal weight. Definition: individual-level weight of bloodmeal. Unit: mg. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,-1
knockdown time,mean time for 50% knockdown of femelaes under exposure to deltamethrin concentration (see notes),minutes,Diptera,Culicidae,adult,Trait: knockdown time. Definition: mean time for 50% knockdown of femelaes under exposure to deltamethrin concentration (see notes). Unit: minutes. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,-1
incubation period,mean duration of egg incubation period (lay to hatching),days,Ixodida,Ixodidae,egg,Trait: incubation period. Definition: mean duration of egg incubation period (lay to hatching). Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,14
development time,mean duration of larval attachment developmental phase,days,Ixodida,Ixodidae,larval,Trait: development time. Definition: mean duration of larval attachment developmental phase. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,15
premolt period (nymphal),mean duration of nymphal premolting phase,days,Ixodida,Ixodidae,nymphal,Trait: premolt period (nymphal). Definition: mean duration of nymphal premolting phase. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymphal.,v6,16
feeding time,mean duration of adult female feeding developmental phase,days,Ixodida,Ixodidae,adult,Trait: feeding time. Definition: mean duration of adult female feeding developmental phase. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,17
preoviposition period,mean duration of prereproductive period (end of feeding until oviposition),days,Ixodida,Ixodidae,adult,Trait: preoviposition period. Definition: mean duration of prereproductive period (end of feeding until oviposition). Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,19
ovipositional period,mean duration of reproductive period,days,Ixodida,Ixodidae,adult,Trait: ovipositional period. Definition: mean duration of reproductive period. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,19
body size,mean wet mass on the day feeding was completed,mg,Ixodida,Ixodidae,larval,Trait: body size. Definition: mean wet mass on the day feeding was completed. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,7
weight loss,nymphal weight loss during molting stage,percent,Ixodida,Ixodidae,larval,Trait: weight loss. Definition: nymphal weight loss during molting stage. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,5
egg size,mean weight of egg mass produced by adult female ticks,mg,Ixodida,Ixodidae,adult,Trait: egg size. Definition: mean weight of egg mass produced by adult female ticks. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,7
conversion efficiency index,percentage of adult female weight post feeding that was converted into egg mass,percent,Ixodida,Ixodidae,adult,Trait: conversion efficiency index. Definition: percentage of adult female weight post feeding that was converted into egg mass. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,2
premolt period (larval),mean duration of larval premolting phase,days,Ixodida,Ixodidae,larval,Trait: premolt period (larval). Definition: mean duration of larval premolting phase. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,16
molting time,mean duration of nymphal molting phase,days,Ixodida,Ixodidae,larval,Trait: molting time. Definition: mean duration of nymphal molting phase. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,16
survival rate,percentage of ticks that survived the larval stage,percent,Ixodida,Ixodidae,larval,Trait: survival rate. Definition: percentage of ticks that survived the larval stage. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,12
survival rate,percentage of ticks that survived the larval moult,percent,Ixodida,Ixodidae,larval,Trait: survival rate. Definition: percentage of ticks that survived the larval moult. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,12
survival time,mean survival time of fasting larvae,days,Ixodida,Ixodidae,larval,Trait: survival time. Definition: mean survival time of fasting larvae. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,10
body size,mean weight of nymphs post-feeding,mg,Ixodida,Ixodidae,nymphal,Trait: body size. Definition: mean weight of nymphs post-feeding. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymphal.,v6,7
premolt period (nymphal),mean time to complete nymphal moulting,days,Ixodida,Ixodidae,nymphal,Trait: premolt period (nymphal). Definition: mean time to complete nymphal moulting. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymphal.,v6,16
survival rate,percentage of ticks that survived the nymphal moult,percent,Ixodida,Ixodidae,nymphal,Trait: survival rate. Definition: percentage of ticks that survived the nymphal moult. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymphal.,v6,12
sex ratio,ratio of male ticks to female ticks,ratio,Ixodida,Ixodidae,nymphal,Trait: sex ratio. Definition: ratio of male ticks to female ticks. Unit: ratio. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymphal.,v6,-1
feeding time,mean duration of feeding developmental phase,days,Ixodida,Ixodidae,nymphal,Trait: feeding time. Definition: mean duration of feeding developmental phase. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymphal.,v6,17
body size,mean body weight of engorged adult females,mg,Ixodida,Ixodidae,adult,Trait: body size. Definition: mean body weight of engorged adult females. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,7
fecundity,mean lifetime eggs laid per female,eggs individual-1,Ixodida,Ixodidae,adult,Trait: fecundity. Definition: mean lifetime eggs laid per female. Unit: eggs individual-1. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,3
body size,mean wet mass on the day feeding was completed (engorged),mg,Ixodida,Ixodidae,adult,Trait: body size. Definition: mean wet mass on the day feeding was completed (engorged). Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,7
survival rate,percentage of ticks that survived adult engorgement,percent,Ixodida,Ixodidae,adult,Trait: survival rate. Definition: percentage of ticks that survived adult engorgement. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,12
fecundity,mean lifetime eggs produced by an individual female,eggs individual-1,Ixodida,Ixodidae,adult,Trait: fecundity. Definition: mean lifetime eggs produced by an individual female. Unit: eggs individual-1. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,3
survival rate,percentage of ticks that survived the nymphal stage,percent,Ixodida,Ixodidae,egg,Trait: survival rate. Definition: percentage of ticks that survived the nymphal stage. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,12
premolt period (larval),mean time to complete larval moulting,days,Ixodida,Ixodidae,larval,Trait: premolt period (larval). Definition: mean time to complete larval moulting. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,16
fertility,percentage of females that laid fertile eggs,percent,Ixodida,Ixodidae,adult,Trait: fertility. Definition: percentage of females that laid fertile eggs. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,3
oviposition failure,mean probability of failure to oviposit,probability,Ixodida,Ixodidae,adult,Trait: oviposition failure. Definition: mean probability of failure to oviposit. Unit: probability. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,-1
preoviposition period,mean duration of period before oviposition,days,Ixodida,Ixodidae,adult,Trait: preoviposition period. Definition: mean duration of period before oviposition. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,19
ovipositional period,mean duration of ovipositional period,days,Ixodida,Ixodidae,adult,Trait: ovipositional period. Definition: mean duration of ovipositional period. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,19
conversion efficiency index,total mg eggs produced divided by mg engorged weight,proportion,Ixodida,Ixodidae,adult,Trait: conversion efficiency index. Definition: total mg eggs produced divided by mg engorged weight. Unit: proportion. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,2
fecundity rate,mean weight of egg mass per day,mg eggs day-1,Ixodida,Ixodidae,adult,Trait: fecundity rate. Definition: mean weight of egg mass per day. Unit: mg eggs day-1. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,3
fecundity,individual-level weight of lifetime eggs per individual,mg eggs individual-1,Ixodida,Ixodidae,adult,Trait: fecundity. Definition: individual-level weight of lifetime eggs per individual. Unit: mg eggs individual-1. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,3
hatch rate,mean hatching rate of egg batches,percent,Ixodida,Ixodidae,egg,Trait: hatch rate. Definition: mean hatching rate of egg batches. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,4
incubation period,median time from oviposition to hatching,days,Ixodida,Ixodidae,egg,Trait: incubation period. Definition: median time from oviposition to hatching. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,14
weight loss,cumulative weight loss across time (see notes for time intervals),percent,Ixodida,Ixodidae,egg,Trait: weight loss. Definition: cumulative weight loss across time (see notes for time intervals). Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,5
development rate,mean development rate per day,percent day-1,Ixodida,Ixodidae,egg,Trait: development rate. Definition: mean development rate per day. Unit: percent day-1. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,-1
egg mass,mean egg mass weight,mg,Ixodida,Ixodidae,adult,Trait: egg mass. Definition: mean egg mass weight. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,7
feed conversion rate,ability to produce eggs relative to the weight at detachment of each engorged female,percent,Ixodida,Ixodidae,adult,Trait: feed conversion rate. Definition: ability to produce eggs relative to the weight at detachment of each engorged female. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,2
incubation period,time from start of oviposition until first eggs hatched,days,Ixodida,Ixodidae,adult,Trait: incubation period. Definition: time from start of oviposition until first eggs hatched. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,14
larval hatch rate,percentage of unfertilized eggs that were subsequently fertilized,percent,Ixodida,Ixodidae,adult,Trait: larval hatch rate. Definition: percentage of unfertilized eggs that were subsequently fertilized. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,4
mortality,number of dead individuals per group,individuals,Ixodida,Ixodidae,adult,Trait: mortality. Definition: number of dead individuals per group. Unit: individuals. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,-1
weight loss,mean weight loss,mg,Ixodida,Ixodidae,adult,Trait: weight loss. Definition: mean weight loss. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,5
hatch rate,percentage of unfertilized eggs that were subsequently fertilized,percent,Ixodida,Ixodidae,egg,Trait: hatch rate. Definition: percentage of unfertilized eggs that were subsequently fertilized. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,4
feeding preference,mean number of individual ticks selecting to feed on human (see notes for %),individuals,Ixodida,Ixodidae,nymphal,Trait: feeding preference. Definition: mean number of individual ticks selecting to feed on human (see notes for %). Unit: individuals. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymphal.,v6,-1
survival rate,percent surviving to oviposition,percent,Ixodida,Ixodidae,adult,Trait: survival rate. Definition: percent surviving to oviposition. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,12
preoviposition period,mean duration of life stage,days,Ixodida,Ixodidae,adult,Trait: preoviposition period. Definition: mean duration of life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,19
hatch rate,percentage of egg masses producing larvae,percent,Ixodida,Ixodidae,egg,Trait: hatch rate. Definition: percentage of egg masses producing larvae. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,4
development time,mean duration from when eggs were deposited to hatch,days,Ixodida,Ixodidae,egg,Trait: development time. Definition: mean duration from when eggs were deposited to hatch. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,15
molt success rate (larval),percentage that molted,percent,Ixodida,Ixodidae,larval,Trait: molt success rate (larval). Definition: percentage that molted. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,9
premolt period (larval),mean duration of life stage,days,Ixodida,Ixodidae,larval,Trait: premolt period (larval). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,16
molt success rate (nymphal),percentage that molted,percent,Ixodida,Ixodidae,nymphal,Trait: molt success rate (nymphal). Definition: percentage that molted. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymphal.,v6,9
premolt period,mean duration of life stage,days,Ixodida,Ixodidae,larval,Trait: premolt period. Definition: mean duration of life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,16
premolt period (nymphal),mean duration of life stage,days,Ixodida,Ixodidae,nymphal,Trait: premolt period (nymphal). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymphal.,v6,16
survival rate,percent surviving life stage,percent,Ixodida,Ixodidae,egg,Trait: survival rate. Definition: percent surviving life stage. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,12
fecundity,total number of eggs produced,eggs individual-1,Ixodida,Ixodidae,adult,Trait: fecundity. Definition: total number of eggs produced. Unit: eggs individual-1. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,3
body mass,mean weight of female,mg,Ixodida,Ixodidae,adult,Trait: body mass. Definition: mean weight of female. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,7
longevity,duration for 50% mortality,days,Ixodida,Ixodidae,adult,Trait: longevity. Definition: duration for 50% mortality. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,-1
conversion efficiency,total number of eggs produced divided by engorged weight,eggs individual-1 mg-1,Ixodida,Ixodidae,adult,Trait: conversion efficiency. Definition: total number of eggs produced divided by engorged weight. Unit: eggs individual-1 mg-1. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,2
incubation period,mean duration from oviposition to hatching,days,Ixodida,Ixodidae,egg,Trait: incubation period. Definition: mean duration from oviposition to hatching. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,14
hatch ratio,hatching ratio of eggs,percent,Ixodida,Ixodidae,egg,Trait: hatch ratio. Definition: hatching ratio of eggs. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,4
molting period (larval),mean duration of life stage,days,Ixodida,Ixodidae,larval,Trait: molting period (larval). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,16
molting ratio (larval),percentage that molted during life stage,percent,Ixodida,Ixodidae,larval,Trait: molting ratio (larval). Definition: percentage that molted during life stage. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,9
molting period (nymphal),mean duration of life stage,days,Ixodida,Ixodidae,nymphal,Trait: molting period (nymphal). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymphal.,v6,16
molting ratio (nymphal),percentage that molted during life stage,percent,Ixodida,Ixodidae,nymphal,Trait: molting ratio (nymphal). Definition: percentage that molted during life stage. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymphal.,v6,9
prefeeding period (larval),mean duration of life stage,days,Ixodida,Ixodidae,larval,Trait: prefeeding period (larval). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,17
feeding period (larval),mean duration of life stage,days,Ixodida,Ixodidae,larval,Trait: feeding period (larval). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,17
prefeeding period (nymphal),mean duration of life stage,days,Ixodida,Ixodidae,nymphal,Trait: prefeeding period (nymphal). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymphal.,v6,17
feeding period (nymphal),mean duration of life stage,days,Ixodida,Ixodidae,nymphal,Trait: feeding period (nymphal). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymphal.,v6,17
prefeeding period (adult),mean duration of life stage,days,Ixodida,Ixodidae,adult,Trait: prefeeding period (adult). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,17
feeding period (adult),mean duration of life stage,days,Ixodida,Ixodidae,adult,Trait: feeding period (adult). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,17
lifespan,mean duration of entire life,days,Ixodida,Ixodidae,entire lifespan,Trait: lifespan. Definition: mean duration of entire life. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: entire lifespan.,v6,13
fecundity,mean number of lifetime eggs by a tick,eggs individual-1,Ixodida,Ixodidae,adult,Trait: fecundity. Definition: mean number of lifetime eggs by a tick. Unit: eggs individual-1. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,3
molt success rate (larval),percentage that molted during life stage,percent,Ixodida,Ixodidae,larval,Trait: molt success rate (larval). Definition: percentage that molted during life stage. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,9
molt success rate (nymphal),percentage that molted during life stage,percent,Ixodida,Ixodidae,nymphal,Trait: molt success rate (nymphal). Definition: percentage that molted during life stage. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymphal.,v6,9
reproductive efficiency index,mean number of eggs per mg weight of engorged female,eggs individual-1 mg-1,Ixodida,Ixodidae,adult,Trait: reproductive efficiency index. Definition: mean number of eggs per mg weight of engorged female. Unit: eggs individual-1 mg-1. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,2
pre-hatch period,number of days until hatching,days,Ixodida,Ixodidae,egg,Trait: pre-hatch period. Definition: number of days until hatching. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,-1
mortality (larval),duration for 100% mortality (unfed larvae),weeks,Ixodida,Ixodidae,larval,Trait: mortality (larval). Definition: duration for 100% mortality (unfed larvae). Unit: weeks. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,-1
mortality (nymphal),duration for 50% mortality (unfed nymphs),weeks,Ixodida,Ixodidae,nymphal,Trait: mortality (nymphal). Definition: duration for 50% mortality (unfed nymphs). Unit: weeks. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymphal.,v6,-1
mortality (adult),mean duration for 100% mortality (unfed adults),weeks,Ixodida,Ixodidae,adult,Trait: mortality (adult). Definition: mean duration for 100% mortality (unfed adults). Unit: weeks. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,-1
fecundity rate,mean eggs produced by an individual female per day,eggs individual-1 day-1,Ixodida,Ixodidae,adult,Trait: fecundity rate. Definition: mean eggs produced by an individual female per day. Unit: eggs individual-1 day-1. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,3
development time,mean time to complete nymphal devlopment,days,Ixodida,Ixodidae,nymphal,Trait: development time. Definition: mean time to complete nymphal devlopment. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymphal.,v6,15
fecundity rate,peak number of eggs per day per individual,eggs individual-1 day-1,Ixodida,Ixodidae,adult,Trait: fecundity rate. Definition: peak number of eggs per day per individual. Unit: eggs individual-1 day-1. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,3
reproductive efficiency index,ratio of lifetime eggs to engorged female weight,eggs individual-1 day-1,Ixodida,Ixodidae,adult,Trait: reproductive efficiency index. Definition: ratio of lifetime eggs to engorged female weight. Unit: eggs individual-1 day-1. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,2
survival rate,percentage of ticks that survived the adult stage,percent,Ixodida,Ixodidae,larval,Trait: survival rate. Definition: percentage of ticks that survived the adult stage. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,12
survival time,mean survival time of larvae post hatch,days,Ixodida,Ixodidae,larval,Trait: survival time. Definition: mean survival time of larvae post hatch. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,10
longevity,mean duration of life stage as a function of body size,days,Coleoptera,Tenebrionidae,adult,Trait: longevity. Definition: mean duration of life stage as a function of body size. Unit: days. Organism order: Coleoptera. Organism family: Tenebrionidae. Life stage: adult.,v6,13
body size,mean dry mass. relationship between dry mass and wing length,mg,Diptera,Culicidae,adult,Trait: body size. Definition: mean dry mass. relationship between dry mass and wing length. Unit: mg. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,6
mortality,time taken for 50% of adults to die,days,Diptera,Culicidae,adult,Trait: mortality. Definition: time taken for 50% of adults to die. Unit: days. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,-1
survival,proportion of individuals surviving life stage (emergence rate),proportion,Diptera,Culicidae,juvenile (L1 to pupa),Trait: survival. Definition: proportion of individuals surviving life stage (emergence rate). Unit: proportion. Organism order: Diptera. Organism family: Culicidae. Life stage: juvenile (L1 to pupa).,v6,11
body size,dry mass,mg,Diptera,Culicidae,adult,Trait: body size. Definition: dry mass. Unit: mg. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,6
body size,mean wing length,mm,Diptera,Culicidae,adult,Trait: body size. Definition: mean wing length. Unit: mm. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,6
mortality,percentage not surviving life stage,percent,Diptera,Culicidae,juvenile (L1 to pupa),Trait: mortality. Definition: percentage not surviving life stage. Unit: percent. Organism order: Diptera. Organism family: Culicidae. Life stage: juvenile (L1 to pupa).,v6,11
survival,percentage of individuals surviving life stage (emergence rate),individuals,Diptera,Culicidae,juvenile (L1 to pupa),Trait: survival. Definition: percentage of individuals surviving life stage (emergence rate). Unit: individuals. Organism order: Diptera. Organism family: Culicidae. Life stage: juvenile (L1 to pupa).,v6,11
reproductive capacity,proportion of individuals that laid eggs after first blood meal,proportion,Diptera,Culicidae,adult,Trait: reproductive capacity. Definition: proportion of individuals that laid eggs after first blood meal. Unit: proportion. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,-1
fertility,mean number of hatched eggs in an individuals lifetime,eggs individual-1,Diptera,Culicidae,adult,Trait: fertility. Definition: mean number of hatched eggs in an individuals lifetime. Unit: eggs individual-1. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,3
survival rate,mean percentage surviving life stage,percent,Hymenoptera,Eulophidae,juvenile (egg to adult),Trait: survival rate. Definition: mean percentage surviving life stage. Unit: percent. Organism order: Hymenoptera. Organism family: Eulophidae. Life stage: juvenile (egg to adult).,v6,12
