OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,Interactor1Order,Interactor1Family,text,version,cluster_id,,,,,,,,,,,
survival,probability of survival after exposure to extreme temperatures,probability,Diptera,Glossinidae,Trait: survival. Definition: probability of survival after exposure to extreme temperatures. Unit: probability. Organism order: Diptera. Organism family: Glossinidae.,v5,-1,,,,,,,,,,,
survival,individual-level binomial survival,1 = survived life stage,Diptera,Culicidae,Trait: survival. Definition: individual-level binomial survival. Unit: 1 = survived life stage. Organism order: Diptera. Organism family: Culicidae.,v5,-1,,,,,,,,,,,
survival,percentage of individuals surviving life stage (emergence rate),individuals,Diptera,Culicidae,Trait: survival. Definition: percentage of individuals surviving life stage (emergence rate). Unit: individuals. Organism order: Diptera. Organism family: Culicidae.,v5,-1,,,,,,,,,,,
survival,cumulative daily survival,lx,Hemiptera,Aphididae,Trait: survival. Definition: cumulative daily survival. Unit: lx. Organism order: Hemiptera. Organism family: Aphididae.,v5,-1,,,,,,,,,,,
temperature thresholds for oviposition,number of psyllid eggs laid over a 48 hour period at temperatures at which female psyllids were held,number of eggs,Hemiptera,Liviidae,Trait: temperature thresholds for oviposition. Definition: number of psyllid eggs laid over a 48 hour period at temperatures at which female psyllids were held. Unit: number of eggs. Organism order: Hemiptera. Organism family: Liviidae.,v5,-1,,,,,,,,,,,
total preoviposition period,mean duration from egg to onset of reproduction,days,Hymenoptera,Eulophidae,Trait: total preoviposition period. Definition: mean duration from egg to onset of reproduction. Unit: days. Organism order: Hymenoptera. Organism family: Eulophidae.,v5,-1,,,,,,,,,,,
transmission potential,percent of individuals with transmission potential,percent,Diptera,Culicidae,Trait: transmission potential. Definition: percent of individuals with transmission potential. Unit: percent. Organism order: Diptera. Organism family: Culicidae.,v5,-1,,,,,,,,,,,
viral load,individual-level viral load,PFU (plaque-forming units),Diptera,Culicidae,Trait: viral load. Definition: individual-level viral load. Unit: PFU (plaque-forming units). Organism order: Diptera. Organism family: Culicidae.,v5,-1,,,,,,,,,,,
weight loss,proportionate weight loss in relation to temperature and population,proportion,Coleoptera,Chrysomelidae,Trait: weight loss. Definition: proportionate weight loss in relation to temperature and population. Unit: proportion. Organism order: Coleoptera. Organism family: Chrysomelidae.,v5,-1,,,,,,,,,,,
metabolic heat rate,mean metabolic heat rate (or 455RCO2),uW mg-1,Coleoptera,Coccinellidae,Trait: metabolic heat rate. Definition: mean metabolic heat rate (or 455RCO2). Unit: uW mg-1. Organism order: Coleoptera. Organism family: Coccinellidae.,v5,0,,,,,,,,,,,
metabolic rate,mean CO2 production (VCO2) (RMR: resting metabolic rate),uL h-1,Diptera,Glossinidae,Trait: metabolic rate. Definition: mean CO2 production (VCO2) (RMR: resting metabolic rate). Unit: uL h-1. Organism order: Diptera. Organism family: Glossinidae.,v5,0,,,,,,,,,,,
metabolic rate,mean CO2 production rate as a function of exposure temperature and acclimation temperature (secondstressor),ml CO2 h-1,Diptera,Glossinidae,Trait: metabolic rate. Definition: mean CO2 production rate as a function of exposure temperature and acclimation temperature (secondstressor). Unit: ml CO2 h-1. Organism order: Diptera. Organism family: Glossinidae.,v5,0,,,,,,,,,,,
metabolic rate,mean CO2 production rate,ul CO2 h-1,Diptera,Glossinidae,Trait: metabolic rate. Definition: mean CO2 production rate. Unit: ul CO2 h-1. Organism order: Diptera. Organism family: Glossinidae.,v5,0,,,,,,,,,,,
metabolic rate,mean respiratory CO2 rate (RCO2),pmol mg-1 s-1,Coleoptera,Coccinellidae,Trait: metabolic rate. Definition: mean respiratory CO2 rate (RCO2). Unit: pmol mg-1 s-1. Organism order: Coleoptera. Organism family: Coccinellidae.,v5,0,,,,,,,,,,,
metabolic rate,mean oxygen uptake rate,ml O2 g-1 h-1,Diptera,Helcomyzidae,Trait: metabolic rate. Definition: mean oxygen uptake rate. Unit: ml O2 g-1 h-1. Organism order: Diptera. Organism family: Helcomyzidae.,v5,0,,,,,,,,,,,
metabolic rate (active),mean active metabolic rate (AMR),ml CO2 h-1,Blattodea,Blaberidae,Trait: metabolic rate (active). Definition: mean active metabolic rate (AMR). Unit: ml CO2 h-1. Organism order: Blattodea. Organism family: Blaberidae.,v5,0,,,,,,,,,,,
metabolic rate (resting),mean oxygen consumption of inactive individuals that produced fewer than 0.3 spikes/sec over several minutes of observation,Ml O2 g thorax-1 h-1,Hymenoptera,Apidae,Trait: metabolic rate (resting). Definition: mean oxygen consumption of inactive individuals that produced fewer than 0.3 spikes/sec over several minutes of observation. Unit: Ml O2 g thorax-1 h-1. Organism order: Hymenoptera. Organism family: Apidae.,v5,0,,,,,,,,,,,
metabolic rate (standard),mean CO2 production rate (VCO2),ml CO2 g-1 h-1,Coleoptera,Scarabaeidae,Trait: metabolic rate (standard). Definition: mean CO2 production rate (VCO2). Unit: ml CO2 g-1 h-1. Organism order: Coleoptera. Organism family: Scarabaeidae.,v5,0,,,,,,,,,,,
gonotrophic cycle,mean number of gonotrophic cycles completed in individuals lifetime,days,Diptera,Culicidae,Trait: gonotrophic cycle. Definition: mean number of gonotrophic cycles completed in individuals lifetime. Unit: days. Organism order: Diptera. Organism family: Culicidae.,v5,1,,,,,,,,,,,
gonotrophic cycle,mean duration of gonotrophic cycle (7th),days,Diptera,Culicidae,Trait: gonotrophic cycle. Definition: mean duration of gonotrophic cycle (7th). Unit: days. Organism order: Diptera. Organism family: Culicidae.,v5,1,,,,,,,,,,,
gonotrophic cycle,individual-level lifetime number of cycles completed,lifetime cycles,Diptera,Culicidae,Trait: gonotrophic cycle. Definition: individual-level lifetime number of cycles completed. Unit: lifetime cycles. Organism order: Diptera. Organism family: Culicidae.,v5,1,,,,,,,,,,,
gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,days,Diptera,Culicidae,Trait: gonotrophic cycle 1. Definition: individual-level duration of first gonotrophic cycle. Unit: days. Organism order: Diptera. Organism family: Culicidae.,v5,1,,,,,,,,,,,
gonotrophic cycle 2,individual-level duration of second gonotrophic cycle,days,Diptera,Culicidae,Trait: gonotrophic cycle 2. Definition: individual-level duration of second gonotrophic cycle. Unit: days. Organism order: Diptera. Organism family: Culicidae.,v5,1,,,,,,,,,,,
Efficency,Percent weight transfered from engorged female at constant temperature to mass of eggs,percent,Ixodida,Ixodidae,Trait: Efficency. Definition: Percent weight transfered from engorged female at constant temperature to mass of eggs. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,2,,,,,,,,,,,
conversion efficiency,total number of eggs produced divided by engorged weight,eggs individual-1 mg-1,Ixodida,Ixodidae,Trait: conversion efficiency. Definition: total number of eggs produced divided by engorged weight. Unit: eggs individual-1 mg-1. Organism order: Ixodida. Organism family: Ixodidae.,v5,2,,,,,,,,,,,
conversion efficiency,the ratio of laid eggs to engorged female body mass calculated as the sum of all eggs laid divided by the sum of all females laying eggs,ratio,Ixodida,Ixodidae,Trait: conversion efficiency. Definition: the ratio of laid eggs to engorged female body mass calculated as the sum of all eggs laid divided by the sum of all females laying eggs. Unit: ratio. Organism order: Ixodida. Organism family: Ixodidae.,v5,2,,,,,,,,,,,
conversion efficiency,Mean index of conversion efficiency- (cumulative egg weight (g)/ replete female tick wt (g) )*100,percent,Ixodida,Ixodidae,Trait: conversion efficiency. Definition: Mean index of conversion efficiency- (cumulative egg weight (g)/ replete female tick wt (g) )*100. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,2,,,,,,,,,,,
conversion efficiency index,percentage of adult female weight post feeding that was converted into egg mass,percent,Ixodida,Ixodidae,Trait: conversion efficiency index. Definition: percentage of adult female weight post feeding that was converted into egg mass. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,2,,,,,,,,,,,
conversion efficiency index,total mg eggs produced divided by mg engorged weight,proportion,Ixodida,Ixodidae,Trait: conversion efficiency index. Definition: total mg eggs produced divided by mg engorged weight. Unit: proportion. Organism order: Ixodida. Organism family: Ixodidae.,v5,2,,,,,,,,,,,
egg conversion ratio,mean weight of eggs / mean weight of engorged females,percent,Ixodida,Ixodidae,Trait: egg conversion ratio. Definition: mean weight of eggs / mean weight of engorged females. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,2,,,,,,,,,,,
feed conversion rate,ability to produce eggs relative to the weight at detachment of each engorged female,percent,Ixodida,Ixodidae,Trait: feed conversion rate. Definition: ability to produce eggs relative to the weight at detachment of each engorged female. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,2,,,,,,,,,,,
reproductive efficiency index,mean number of eggs per mg weight of engorged female,eggs individual-1 mg-1,Ixodida,Ixodidae,Trait: reproductive efficiency index. Definition: mean number of eggs per mg weight of engorged female. Unit: eggs individual-1 mg-1. Organism order: Ixodida. Organism family: Ixodidae.,v5,2,,,,,,,,,,,
reproductive efficiency index,ratio of lifetime eggs to engorged female weight,eggs individual-1 day-1,Ixodida,Ixodidae,Trait: reproductive efficiency index. Definition: ratio of lifetime eggs to engorged female weight. Unit: eggs individual-1 day-1. Organism order: Ixodida. Organism family: Ixodidae.,v5,2,,,,,,,,,,,
body size,mean wet mass,mg,Hemiptera,Aphididae,Trait: body size. Definition: mean wet mass. Unit: mg. Organism order: Hemiptera. Organism family: Aphididae.,v5,3,,Cluster 3: Body size split across 2 clusters (Cluster 6),,,,,,,,,
body size,mean wing length (mm),mm,Diptera,Culicidae,Trait: body size. Definition: mean wing length (mm). Unit: mm. Organism order: Diptera. Organism family: Culicidae.,v5,3,,,,,,,,,,,
body size,mean wet mass (waxless and gravid),mg,Homoptera,Pseudococcidae,Trait: body size. Definition: mean wet mass (waxless and gravid). Unit: mg. Organism order: Homoptera. Organism family: Pseudococcidae.,v5,3,,,,,,,,,,,
body size,mean length,mm,Coleoptera,Coccinellidae,Trait: body size. Definition: mean length. Unit: mm. Organism order: Coleoptera. Organism family: Coccinellidae.,v5,3,,,,,,,,,,,
body size,mean dry mass,mg,Diptera,Culicidae,Trait: body size. Definition: mean dry mass. Unit: mg. Organism order: Diptera. Organism family: Culicidae.,v5,3,,,,,,,,,,,
body size,mean body weight,mg,Coleoptera,Chrysomelidae,Trait: body size. Definition: mean body weight. Unit: mg. Organism order: Coleoptera. Organism family: Chrysomelidae.,v5,3,,,,,,,,,,,
body size,individual-level mass,mg,Coleoptera,Chrysomelidae,Trait: body size. Definition: individual-level mass. Unit: mg. Organism order: Coleoptera. Organism family: Chrysomelidae.,v5,3,,,,,,,,,,,
body size,individual-level wet mass,mg,Diptera,Culicidae,Trait: body size. Definition: individual-level wet mass. Unit: mg. Organism order: Diptera. Organism family: Culicidae.,v5,3,,,,,,,,,,,
body size,mean dry mass. relationship between dry mass and wing length,mg,Diptera,Culicidae,Trait: body size. Definition: mean dry mass. relationship between dry mass and wing length. Unit: mg. Organism order: Diptera. Organism family: Culicidae.,v5,3,,,,,,,,,,,
body size,dry mass,mg,Diptera,Culicidae,Trait: body size. Definition: dry mass. Unit: mg. Organism order: Diptera. Organism family: Culicidae.,v5,3,,,,,,,,,,,
body size,mean wing length,mm,Diptera,Culicidae,Trait: body size. Definition: mean wing length. Unit: mm. Organism order: Diptera. Organism family: Culicidae.,v5,3,,,,,,,,,,,
body size (alate nymph),mean wet mass,days,Hemiptera,Aphididae,Trait: body size (alate nymph). Definition: mean wet mass. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,3,,,,,,,,,,,
body size (alate),mean wet mass,mg,Homoptera,Aphididae,Trait: body size (alate). Definition: mean wet mass. Unit: mg. Organism order: Homoptera. Organism family: Aphididae.,v5,3,,,,,,,,,,,
body size (apterous nymph),mean wet mass,days,Hemiptera,Aphididae,Trait: body size (apterous nymph). Definition: mean wet mass. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,3,,,,,,,,,,,
body size (apterous),mean wet mass,mg,Homoptera,Aphididae,Trait: body size (apterous). Definition: mean wet mass. Unit: mg. Organism order: Homoptera. Organism family: Aphididae.,v5,3,,,,,,,,,,,
body size (length),mean body length,mm,Hemiptera,Aphididae,Trait: body size (length). Definition: mean body length. Unit: mm. Organism order: Hemiptera. Organism family: Aphididae.,v5,3,,,,,,,,,,,
body size (length),mean body length (adult),mm,Hemiptera,Aphididae,Trait: body size (length). Definition: mean body length (adult). Unit: mm. Organism order: Hemiptera. Organism family: Aphididae.,v5,3,,,,,,,,,,,
body size (mass),mean wet mass,mg,Hemiptera,Aphididae,Trait: body size (mass). Definition: mean wet mass. Unit: mg. Organism order: Hemiptera. Organism family: Aphididae.,v5,3,,,,,,,,,,,
weight loss,nymphal weight loss during molting stage,percent,Ixodida,Ixodidae,Trait: weight loss. Definition: nymphal weight loss during molting stage. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,4,,,,,,,,,,,
weight loss,cumulative weight loss across time (see notes for time intervals),percent,Ixodida,Ixodidae,Trait: weight loss. Definition: cumulative weight loss across time (see notes for time intervals). Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,4,,,,,,,,,,,
weight loss,mean weight loss,mg,Ixodida,Ixodidae,Trait: weight loss. Definition: mean weight loss. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae.,v5,4,,,,,,,,,,,
weight loss,Percentage loss in body weight during larval prefeeding period,percent,Ixodida,Ixodidae,Trait: weight loss. Definition: Percentage loss in body weight during larval prefeeding period. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,4,,,,,,,,,,,
weight loss,Percentage loss in body weight during larval molting period,percent,Ixodida,Ixodidae,Trait: weight loss. Definition: Percentage loss in body weight during larval molting period. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,4,,,,,,,,,,,
weight loss,Percentage loss in body weight during nymphal prefeeding period,percent,Ixodida,Ixodidae,Trait: weight loss. Definition: Percentage loss in body weight during nymphal prefeeding period. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,4,,,,,,,,,,,
weight loss,Percentage loss in body weight during nymphal molting period,percent,Ixodida,Ixodidae,Trait: weight loss. Definition: Percentage loss in body weight during nymphal molting period. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,4,,,,,,,,,,,
weight loss,Percentage loss in body weight during female prefeeding period,percent,Ixodida,Ixodidae,Trait: weight loss. Definition: Percentage loss in body weight during female prefeeding period. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,4,,,,,,,,,,,
Reproductive average daily fecundity,the number of newborn nymphs (N1) per female per day,nymphs per day,Hemiptera,Aphididae,Trait: Reproductive average daily fecundity. Definition: the number of newborn nymphs (N1) per female per day. Unit: nymphs per day. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
Reproductive average total fecundity,the number of newborn nymphs (N1) per female,nymphs,Hemiptera,Aphididae,Trait: Reproductive average total fecundity. Definition: the number of newborn nymphs (N1) per female. Unit: nymphs. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
age specific fecundity,mean number of female offspring individual-1 at specific age,females individual-1,Acari,Tetranychidae,Trait: age specific fecundity. Definition: mean number of female offspring individual-1 at specific age. Unit: females individual-1. Organism order: Acari. Organism family: Tetranychidae.,v5,5,,,,,,,,,,,
age-specific daily fecundity,new nymphs produced each day,mean number of nymphs,Hemiptera,Aphididae,Trait: age-specific daily fecundity. Definition: new nymphs produced each day. Unit: mean number of nymphs. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
average daily fecundity,daily fecundity of female aphids,mx,Hemiptera,Aphididae,Trait: average daily fecundity. Definition: daily fecundity of female aphids. Unit: mx. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
effective fecundity,mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time,nymphs unit time-1,Homoptera,Aphididae,Trait: effective fecundity. Definition: mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time. Unit: nymphs unit time-1. Organism order: Homoptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fecundity,mean lifetime offspring,offspring individual-1,Hemiptera,Aphididae,Trait: fecundity. Definition: mean lifetime offspring. Unit: offspring individual-1. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fecundity,mean lifetime nymphs individual-1,nymphs individual-1,Homoptera,Aphididae,Trait: fecundity. Definition: mean lifetime nymphs individual-1. Unit: nymphs individual-1. Organism order: Homoptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fecundity,mean number of progeny in a reproductive period equal to development time,progeny indidividual-1,Hemiptera,Aphididae,Trait: fecundity. Definition: mean number of progeny in a reproductive period equal to development time. Unit: progeny indidividual-1. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fecundity,mean lifetime eggs individual-1,eggs individual-1,Lepidoptera,Gelechiidae,Trait: fecundity. Definition: mean lifetime eggs individual-1. Unit: eggs individual-1. Organism order: Lepidoptera. Organism family: Gelechiidae.,v5,5,,,,,,,,,,,
fecundity,mean eggs produced per plant,eggs plant-1,Coleoptera,Curculionidae,Trait: fecundity. Definition: mean eggs produced per plant. Unit: eggs plant-1. Organism order: Coleoptera. Organism family: Curculionidae.,v5,5,,,,,,,,,,,
fecundity,mean number of eggs per cycle,eggs individual-1 cycle-1,Diptera,Culicidae,Trait: fecundity. Definition: mean number of eggs per cycle. Unit: eggs individual-1 cycle-1. Organism order: Diptera. Organism family: Culicidae.,v5,5,,,,,,,,,,,
fecundity,mean lifetime egg punctures,egg punctures individual-1,Coleoptera,Curculionidae,Trait: fecundity. Definition: mean lifetime egg punctures. Unit: egg punctures individual-1. Organism order: Coleoptera. Organism family: Curculionidae.,v5,5,,,,,,,,,,,
fecundity,mean lifetime eggs per 10 individuals,eggs 10 individuals-1,Diptera,Culicidae,Trait: fecundity. Definition: mean lifetime eggs per 10 individuals. Unit: eggs 10 individuals-1. Organism order: Diptera. Organism family: Culicidae.,v5,5,,,,,,,,,,,
fecundity,mean number of female offspring individual-1,females individual-1,Acari,Tetranychidae,Trait: fecundity. Definition: mean number of female offspring individual-1. Unit: females individual-1. Organism order: Acari. Organism family: Tetranychidae.,v5,5,,,,,,,,,,,
fecundity,mean lifetime eggs per individual (across all humdity levels),eggs individual-1,Coleoptera,Chrysomelidae,Trait: fecundity. Definition: mean lifetime eggs per individual (across all humdity levels). Unit: eggs individual-1. Organism order: Coleoptera. Organism family: Chrysomelidae.,v5,5,,,,,,,,,,,
fecundity,mean lifetime eggs per individual,eggs individual-1,Coleoptera,Chrysomelidae,Trait: fecundity. Definition: mean lifetime eggs per individual. Unit: eggs individual-1. Organism order: Coleoptera. Organism family: Chrysomelidae.,v5,5,,,,,,,,,,,
fecundity,mean number of eggs per cycle (1st),eggs individual-1 cycle-1,Diptera,Culicidae,Trait: fecundity. Definition: mean number of eggs per cycle (1st). Unit: eggs individual-1 cycle-1. Organism order: Diptera. Organism family: Culicidae.,v5,5,,,,,,,,,,,
fecundity,mean offspring per reproduction day,offspring individual-1 day-1,Homoptera,Aphididae,Trait: fecundity. Definition: mean offspring per reproduction day. Unit: offspring individual-1 day-1. Organism order: Homoptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fecundity,mean lifetime offspring as a function of size and adult and growth temperature,offspring individual-1,Coleoptera,Tenebrionidae,Trait: fecundity. Definition: mean lifetime offspring as a function of size and adult and growth temperature. Unit: offspring individual-1. Organism order: Coleoptera. Organism family: Tenebrionidae.,v5,5,,,,,,,,,,,
fecundity,mean lifetime eggs,eggs individual-1,Diptera,Culicidae,Trait: fecundity. Definition: mean lifetime eggs. Unit: eggs individual-1. Organism order: Diptera. Organism family: Culicidae.,v5,5,,,,,,,,,,,
fecundity,individual-level mean eggs per gonotrophic cycle,eggs cycle-1,Diptera,Culicidae,Trait: fecundity. Definition: individual-level mean eggs per gonotrophic cycle. Unit: eggs cycle-1. Organism order: Diptera. Organism family: Culicidae.,v5,5,,,,,,,,,,,
fecundity,individual-level lifetime eggs,eggs individual-1,Diptera,Culicidae,Trait: fecundity. Definition: individual-level lifetime eggs. Unit: eggs individual-1. Organism order: Diptera. Organism family: Culicidae.,v5,5,,,,,,,,,,,
fecundity,mean lifetime eggs laid per female,eggs individual-1,Ixodida,Ixodidae,Trait: fecundity. Definition: mean lifetime eggs laid per female. Unit: eggs individual-1. Organism order: Ixodida. Organism family: Ixodidae.,v5,5,,,,,,,,,,,
fecundity,mean lifetime eggs produced by an individual female,eggs individual-1,Ixodida,Ixodidae,Trait: fecundity. Definition: mean lifetime eggs produced by an individual female. Unit: eggs individual-1. Organism order: Ixodida. Organism family: Ixodidae.,v5,5,,,,,,,,,,,
fecundity,individual-level weight of lifetime eggs per individual,mg eggs individual-1,Ixodida,Ixodidae,Trait: fecundity. Definition: individual-level weight of lifetime eggs per individual. Unit: mg eggs individual-1. Organism order: Ixodida. Organism family: Ixodidae.,v5,5,,,,,,,,,,,
fecundity,total number of eggs produced,eggs individual-1,Ixodida,Ixodidae,Trait: fecundity. Definition: total number of eggs produced. Unit: eggs individual-1. Organism order: Ixodida. Organism family: Ixodidae.,v5,5,,,,,,,,,,,
fecundity,mean number of lifetime eggs by a tick,eggs individual-1,Ixodida,Ixodidae,Trait: fecundity. Definition: mean number of lifetime eggs by a tick. Unit: eggs individual-1. Organism order: Ixodida. Organism family: Ixodidae.,v5,5,,,,,,,,,,,
fecundity,mean eggs individual-1,eggs,Hymenoptera,Eulophidae,Trait: fecundity. Definition: mean eggs individual-1. Unit: eggs. Organism order: Hymenoptera. Organism family: Eulophidae.,v5,5,,,,,,,,,,,
fecundity,mean lifetime total number of nymphs,progeny individual-1,Hemiptera,Liviidae,Trait: fecundity. Definition: mean lifetime total number of nymphs. Unit: progeny individual-1. Organism order: Hemiptera. Organism family: Liviidae.,v5,5,,,,,,,,,,,
fecundity,mean liftetime eggs,eggs individual-1,Hemiptera,Liviidae,Trait: fecundity. Definition: mean liftetime eggs. Unit: eggs individual-1. Organism order: Hemiptera. Organism family: Liviidae.,v5,5,,,,,,,,,,,
fecundity,mean lifetime progeny,progeny individual-1,Hemiptera,Aphididae,Trait: fecundity. Definition: mean lifetime progeny. Unit: progeny individual-1. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fecundity,mean duration of life stage,progeny individual-1,Hemiptera,Aphididae,Trait: fecundity. Definition: mean duration of life stage. Unit: progeny individual-1. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fecundity,mean population-level offspring (100 individuals),days,Hemiptera,Aphididae,Trait: fecundity. Definition: mean population-level offspring (100 individuals). Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fecundity,total population-level number of offspring produced,offspring,Hemiptera,Aphididae,Trait: fecundity. Definition: total population-level number of offspring produced. Unit: offspring. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fecundity,mean lifetime progeny per female,progeny individual-1,Homoptera,Aphididae,Trait: fecundity. Definition: mean lifetime progeny per female. Unit: progeny individual-1. Organism order: Homoptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fecundity,mean of daily newborn nymph counts,mean number of nymphs,Hemiptera,Aphididae,Trait: fecundity. Definition: mean of daily newborn nymph counts. Unit: mean number of nymphs. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fecundity,number of aphids produced,number of offspring,Hemiptera,Aphididae,Trait: fecundity. Definition: number of aphids produced. Unit: number of offspring. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fecundity (alate),mean lifetime offspring,days,Hemiptera,Aphididae,Trait: fecundity (alate). Definition: mean lifetime offspring. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fecundity (apterous),mean lifetime offspring,days,Hemiptera,Aphididae,Trait: fecundity (apterous). Definition: mean lifetime offspring. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fecundity rate,mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time,nymphs unit time-1,Homoptera,Aphididae,Trait: fecundity rate. Definition: mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time. Unit: nymphs unit time-1. Organism order: Homoptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fecundity rate,mean eggs individual-1 day-1,eggs individual-1 day-1,Diptera,Sciomyzidae,Trait: fecundity rate. Definition: mean eggs individual-1 day-1. Unit: eggs individual-1 day-1. Organism order: Diptera. Organism family: Sciomyzidae.,v5,5,,,,,,,,,,,
fecundity rate,mean offspring per day,eggs individual-1 day-1,Acari,Tetranychidae,Trait: fecundity rate. Definition: mean offspring per day. Unit: eggs individual-1 day-1. Organism order: Acari. Organism family: Tetranychidae.,v5,5,,,,,,,,,,,
fecundity rate,mean eggs per unit time,eggs individual-1 day-1,Coleoptera,Tenebrionidae,Trait: fecundity rate. Definition: mean eggs per unit time. Unit: eggs individual-1 day-1. Organism order: Coleoptera. Organism family: Tenebrionidae.,v5,5,,,,,,,,,,,
fecundity rate,mean offspring per unit time,offspring individual-1 day-1,Hemiptera,Aphididae,Trait: fecundity rate. Definition: mean offspring per unit time. Unit: offspring individual-1 day-1. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fecundity rate,maximum progengy individual-1 day-1,progeny individual-1 day-1,Hymenoptera,Pteromalidae,Trait: fecundity rate. Definition: maximum progengy individual-1 day-1. Unit: progeny individual-1 day-1. Organism order: Hymenoptera. Organism family: Pteromalidae.,v5,5,,,,,,,,,,,
fecundity rate,mean lifetime offspring,offspring individual-1 day-1,Hemiptera,Aphididae,Trait: fecundity rate. Definition: mean lifetime offspring. Unit: offspring individual-1 day-1. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fecundity rate,mean number of eggs individual-1 day-1,eggs individual-1 day-1,Coleoptera,Coccinellidae,Trait: fecundity rate. Definition: mean number of eggs individual-1 day-1. Unit: eggs individual-1 day-1. Organism order: Coleoptera. Organism family: Coccinellidae.,v5,5,,,,,,,,,,,
fecundity rate,mean number of offspring per reproductive cycle,offspring individual-1 cycle-1,Diptera,Glossinidae,Trait: fecundity rate. Definition: mean number of offspring per reproductive cycle. Unit: offspring individual-1 cycle-1. Organism order: Diptera. Organism family: Glossinidae.,v5,5,,,,,,,,,,,
fecundity rate,mean weight of egg mass per day,mg eggs day-1,Ixodida,Ixodidae,Trait: fecundity rate. Definition: mean weight of egg mass per day. Unit: mg eggs day-1. Organism order: Ixodida. Organism family: Ixodidae.,v5,5,,,,,,,,,,,
fecundity rate,mean eggs produced by an individual female per day,eggs individual-1 day-1,Ixodida,Ixodidae,Trait: fecundity rate. Definition: mean eggs produced by an individual female per day. Unit: eggs individual-1 day-1. Organism order: Ixodida. Organism family: Ixodidae.,v5,5,,,,,,,,,,,
fecundity rate,peak number of eggs per day per individual,eggs individual-1 day-1,Ixodida,Ixodidae,Trait: fecundity rate. Definition: peak number of eggs per day per individual. Unit: eggs individual-1 day-1. Organism order: Ixodida. Organism family: Ixodidae.,v5,5,,,,,,,,,,,
fecundity rate,mean progeny per unit time,progeny individual-1 day-1,Hemiptera,Aphididae,Trait: fecundity rate. Definition: mean progeny per unit time. Unit: progeny individual-1 day-1. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fecundity rate,mean maximum progeny per unit time,progeny individual-1 day-1,Hemiptera,Aphididae,Trait: fecundity rate. Definition: mean maximum progeny per unit time. Unit: progeny individual-1 day-1. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
fecundity rate,maximum number of offspring per female per day,nymphs individual-1 day-1,Hemiptera,Aphididae,Trait: fecundity rate. Definition: maximum number of offspring per female per day. Unit: nymphs individual-1 day-1. Organism order: Hemiptera. Organism family: Aphididae.,v5,5,,,,,,,,,,,
